Geneid	species	chr	gstart	gend	gstrand	Length	mhf1	mhf2	mhm1	mhm2	mlf1	mlf2	mlm1	mlm2
1110004F10Rik	mmu	chr7	115680596	115704445	+	1853	32.6993660651067	30.886842871833256	30.514431094474748	35.68087848911003	39.5239827808657	33.91718248258924	39.29818390685305	38.97624920010248
1110006O24Rik	mmu	chr5	115769108	NA	-	768	0.20774692544540474	0.21040083700158893	0.2198446044270515	0.616706541787087	0.7036910880866297	0.6846636215429505	0.37734881666388387	0.6306836440146033
1110008P14Rik	mmu	chr2	32269113	32271927	-	657	13.62819830921855	11.319565030685485	11.387950509321268	21.40852709346602	16.184895025992486	11.533948701377396	11.320464499916515	16.082432922372384
1110018N20Rik	mmu	chr2	167030466	167044916	+	9204	17.824686203215727	5.302101092440041	8.002343601144675	2.0263214944432857	1.9351504922382319	1.3166608106595201	1.3476743452281565	1.8920509320438097
1110019D14Rik	mmu	chr6	13871568	13896420	+	1498	2.534512490433938	2.6510505462200205	4.704674534738903	4.140743923427584	4.046223756498121	3.791983134699418	3.719581192829712	3.153418220073016
1110020A21Rik	mmu	chr17	85224610	85265138	-	1220	0.789438316692538	0.5470421762041312	0.7914405759373855	3.0835327089354347	3.3425326684114913	4.634646053521511	2.3719068476015557	3.468760042080318
1110025M09Rik	mmu	chr15	81468372	NA	-	2251	1.1633827824942664	0.589122343604449	0.9673162594790267	1.1453121490331615	1.7005867962093553	1.6853258376441858	0.8625115809460202	2.081256025248191
1110028F11Rik	mmu	chr11	87590350	87596153	+	2705	0.041549385089080945	0.08416033480063558	0	1.4096149526561987	2.814764352346519	2.106657297055232	2.7492556642654393	3.9102385928905403
1110032A03Rik	mmu	chr9	50672674	50679484	-	5581	10.221148731913912	13.970615576905505	10.992230221352576	36.12138316181509	44.21525670144324	41.86981377897274	38.920835090189165	43.01262452179594
1110038B12Rik	mmu	chr17	35169211	35171447	-	590	3.1993026518592327	1.7673670308133471	1.6268500727601811	18.324994384530584	17.299072582129646	7.320634107266931	14.447068980845838	18.352894040824953
1110038F14Rik	mmu	chr15	76832453	76834934	+	1661	10.179599346824832	7.700670634258155	9.497286911248626	7.312377566904031	8.972061373104529	8.057964161236264	4.851627642821364	7.126725177365016
1110046J04Rik	mmu	chr13	34120015	34144164	+	777	0.706339546514376	0.46288184140349564	0.6595338132811546	0.17620186908202484	0.058640924007219146	0.36866502698466563	0.21562789523650505	0.2522734576058413
1110051M20Rik	mmu	chr2	91103585	91275059	-	5946	6.19085837827306	9.29971699547023	7.958374680259265	0.7929084108691118	1.2901003281588213	1.7906587024969474	1.1859534238007778	1.765914203240889
1110059E24Rik	mmu	chr19	21574677	21630155	-	1428	2.0774692544540474	2.0619282026155714	1.758756835416412	3.524037381640497	4.632632996570313	3.3179852428619907	4.90553461663049	4.099443686094921
1110059G10Rik	mmu	chr9	122774154	122780065	-	3361	8.143679477459866	7.1536284580540235	7.29884086697811	11.365020555790602	16.712663342057457	10.217287890717877	15.309580561791858	13.748903439518351
1110065P20Rik	mmu	chr4	124743278	124744523	-	928	8.517623943261594	5.89122343604449	7.035027341665648	18.236893449989573	14.894794697833664	9.79595643130683	10.08060410230661	15.893227829168001
1190005I06Rik	mmu	chr8	121335341	121361129	-	742	1.537327248295995	0.8836835154066736	1.7147879145310019	5.5503588760837825	3.8116600604692445	3.1073195131564675	2.857069611883692	3.9733069572920003
1190007I07Rik	mmu	chr10	82455685	82459062	-	748	6.897197924787437	5.8070631012438545	7.1669341043218795	8.545790650478205	10.32080262527057	8.215963458515406	7.277441464232045	9.397186295817589
1300002E11Rik	mmu	chr16	21613097	21627790	+	3960	7.3542411607673275	7.868991303859426	6.947089499894828	28.01609718404195	16.947227038086332	19.855245024745564	18.75962688557594	15.956296193569463
1300017J02Rik	mmu	chr9	103127722	103165496	-	2282	2.4098643351666946	0.25248100440190674	0.0439689208854103	847.5309902845395	838.4479314552193	509.231735130676	846.9863724889918	853.0626968941524
1500002F19Rik	mmu	chr7	132476343	132535739	-	5349	0.9140864719597808	0.3787215066028601	0.5276270506249237	0.26430280362303726	0.23456369602887658	0.6846636215429505	0.21562789523650505	0.12613672880292065
1500004A13Rik	mmu	chr3	88712596	88739854	-	7194	0.789438316692538	1.7252868634130294	2.1544771233851048	0.3524037381640497	0.35184554404331486	0.21066572970552322	0.21562789523650505	0.18920509320438098
1500009L16Rik	mmu	chr10	83558560	83598626	+	1363	1.8281729439195615	1.4728058590111226	2.7260730948954386	0.08810093454101242	0	0	0.05390697380912626	0
1500011B03Rik	mmu	chr5	114946257	114952037	-	1739	2.1190186395431283	1.6411265286123937	1.45097438921854	1.8501196253612608	1.641945872202136	1.2113279458067585	2.048465004746798	2.333529482854032
1500015A07Rik	mmu	chr18	61859461	NA	+	1865	2.1190186395431283	1.178244687208898	1.6708189936455915	3.7002392507225217	2.462918808303204	3.1599859455828483	1.8328371095102929	3.4056916776788575
1500026H17Rik	mmu	chr10	89522225	89536728	+	3035	1.1633827824942664	1.2203248546092158	0.7474716550519751	2.8192299053123975	2.1110732642598893	2.0539908646288514	1.6711161880829142	2.144324389649651
1600012H06Rik	mmu	chr17	15163446	15166201	+	2756	17.866235588304807	14.307256916108047	15.91674936051853	37.707199983553316	32.89755836804994	39.28915859008008	36.3333003473511	29.894404726292194
1600014C10Rik	mmu	chr7	37882642	37896992	+	3453	33.530353766888325	35.89438279247107	45.06814390754556	173.8231438494175	191.05213041551997	129.77008949860232	196.0057567699831	197.21477548336642
1600020E01Rik	mmu	chr6	86504312	86541431	+	681	4.238037279086257	2.6931307136203384	2.8140109366662593	10.748314014003515	8.737497677075654	8.900627080058356	5.067255538057869	7.69434045697816
1600023N17Rik	mmu	chr5	45826043	NA	-	1008	0.041549385089080945	0	0.1319067626562309	0.616706541787087	0.23456369602887658	0.6319971891165697	0.37734881666388387	0.37841018640876195
1700001C19Rik	mmu	chr17	47723659	47748690	-	1980	0.20774692544540474	0.04208016740031779	0	12.774635508446801	9.61711153718394	14.746601079386625	10.24232502373399	9.90173321102927
1700001J03Rik	mmu	chr5	146119251	146126997	-	4070	1.6204260184741568	1.0520041850079447	0.9673162594790267	0.17620186908202484	0.2932046200360957	0.6846636215429505	0.10781394761825253	0.567615279613143
1700001L05Rik	mmu	chr15	83238048	83251498	-	6003	0.830987701781619	0.7153628458054024	0.39572028796869274	12.157928966659714	6.802347184837421	5.161310377785319	5.444604354721752	6.685246626554794
1700007L15Rik	mmu	chr16	33200224	33201106	-	747	1.1633827824942664	0.8836835154066736	0.7035027341665648	2.0263214944432857	1.7592277202165745	1.7906587024969474	1.024232502373399	1.4505723812335876
1700008J07Rik	mmu	chr7	127109610	NA	-	2432	1.578876633385076	1.2203248546092158	1.1431919430206678	1.7620186908202484	1.5246640241876979	2.211990161907994	1.5633022404646617	1.5136407456350478
1700010I14Rik	mmu	chr17	9207152	9227150	+	1976	0.041549385089080945	0.08416033480063558	0.1319067626562309	2.290624298066323	1.7005867962093553	1.4219936755122817	1.5633022404646617	2.3965978472554923
1700012D01Rik	mmu	chr10	127502992	127504720	+	695	1.2049321675833473	0.8416033480063557	0.7035027341665648	2.8192299053123975	3.283891744404272	2.0539908646288514	1.9406510571285454	2.5227345760584132
1700012D14Rik	mmu	chr7	110716880	110721882	-	629	0.33239508071264756	0.2945611718022245	0.439689208854103	0.3524037381640497	0.5277683160649723	0.6846636215429505	0.2695348690456313	0.37841018640876195
1700017B05Rik	mmu	chr9	57159605	57169882	-	6115	11.42608089949726	10.940843524082625	8.002343601144675	23.875353260614368	15.129358393862539	7.1626348099877895	19.083068728430696	16.713116566386987
1700018L02Rik	mmu	chr19	29024883	NA	+	1247	0.2908456956235666	0.04208016740031779	0.2198446044270515	1.673917756279236	11.72818480144383	5.477308972343604	7.654790280895929	11.415373956664318
1700019D03Rik	mmu	chr1	52961483	53031816	-	4304	1.0387346272270237	1.0520041850079447	1.011285180364437	0.08810093454101242	0	0.263332162131904	0	0
1700022N22Rik	mmu	chr17	26204804	26210004	+	1536	0.08309877017816189	0.42080167400317786	0.1758756835416412	0.08810093454101242	0.7623320120938489	0.7899964863957121	0.6468836857095152	0.9460254660219048
1700023D09Rik	mmu	chr19	8732153	8734333	-	621	0.5816913912471332	0.3366413392025423	0.3517513670832824	1.1453121490331615	0.820972936101068	0.5793307566901889	0.5929767119003889	1.0721621948248254
1700025G04Rik	mmu	chr1	151760275	151967941	-	11114	48.03108916297757	44.85745844873876	43.17748030947292	3.7002392507225217	3.107968972382615	3.1073195131564675	3.450046323784081	3.4056916776788575
1700028E10Rik	mmu	chr5	151292140	151337548	+	2718	0.041549385089080945	0.16832066960127115	0.1758756835416412	0.3524037381640497	2.462918808303204	0.8953293512484737	1.455488292846409	2.0181876608467304
1700028J19Rik	mmu	chr7	43879353	43885546	-	1188	0.4154938508908095	0.5049620088038135	0.439689208854103	0.26430280362303726	0.5864092400721914	0.42133145941104644	0.808604607136894	0.37841018640876195
1700029I15Rik	mmu	chr2	92213263	92213948	+	364	0.2908456956235666	0.21040083700158893	0.2638135253124618	2.3787252326073354	0.820972936101068	2.422655891613517	0.6468836857095152	0.9460254660219048
1700029J07Rik	mmu	chr8	46387980	46428290	-	4450	5.069024980867876	5.007539920637817	2.1105082024996946	1.4096149526561987	1.8178686442237935	2.949320215877325	1.239860397609904	2.4596662116569528
1700030C10Rik	mmu	chr12	20854390	20865780	-	1727	1.0387346272270237	0.3787215066028601	0.2638135253124618	2.6430280362303726	0.9968957081227254	1.6853258376441858	0.48516276428213634	0.7568203728175239
1700030K09Rik	mmu	chr8	73197724	73214385	+	2703	5.858463297560413	5.596662264242266	5.759928635988749	5.81466167970682	6.15729702075801	7.741965566677978	4.366464878539228	7.189793541766477
1700034H15Rik	mmu	chr1	191626184	191639639	-	4362	0.6647901614252951	0.3787215066028601	0.39572028796869274	1.057211214492149	0.9382547841155063	0.6319971891165697	0.37734881666388387	0.7568203728175239
1700034P13Rik	mmu	chr1	9817873	9841481	+	1494	0.12464815526724284	0	0.0439689208854103	0.5286056072460745	1.1728184801443828	1.3166608106595201	0.8625115809460202	0.8829571016204445
1700037C18Rik	mmu	chr16	3723662	3726553	-	1097	1.4542284781178332	1.388645524210487	1.2311297847914884	0.17620186908202484	0.5277683160649723	0.9479957836748545	0.5390697380912626	0.37841018640876195
1700037H04Rik	mmu	chr2	130988235	131002001	-	1975	5.193673136135118	5.344181259840359	4.748643455624313	5.021753268837708	1.8178686442237935	6.214639026312935	2.7492556642654393	2.333529482854032
1700047M11Rik	mmu	chr1	182128399	182130854	+	686	0.5401420061580523	0.46288184140349564	0.2638135253124618	0.9691102799511366	0.9382547841155063	1.3166608106595201	0.8625115809460202	0.8829571016204445
1700048O20Rik	mmu	chr9	121766341	121776082	+	1848	0.4570432359798904	0.5470421762041312	0.3517513670832824	6.871872894198969	3.8116600604692445	1.2639943782331393	6.576650804713404	4.667058965708064
1700052K11Rik	mmu	chr11	105069846	NA	-	2414	2.866907571146585	4.292177074832415	3.165762303749542	3.0835327089354347	4.925837616606408	1.6853258376441858	3.234418428547576	4.351717143700762
1700055D16Rik	mmu	chr6	134769323	134798383	+	2237	0.789438316692538	0.46288184140349564	0.48365812973951333	0.3524037381640497	0.8796138601082872	0.526664324263808	0.48516276428213634	0.6306836440146033
1700055D18Rik	mmu	chr4	45012810	NA	+	1542	0.33239508071264756	0.2945611718022245	0.39572028796869274	1.8501196253612608	1.9351504922382319	1.3166608106595201	2.1562789523650503	1.4505723812335876
1700056E22Rik	mmu	chr1	183765229	NA	-	967	0.3739444658017285	0.2945611718022245	0.2638135253124618	1.4977158871972112	0.46912739205775317	1.053328648527616	0.37734881666388387	0.31534182200730165
1700061I17Rik	mmu	chr3	116854171	116871414	-	1962	0.12464815526724284	0	0	2.114422428984298	0.2932046200360957	1.369327243085901	0.4312557904730101	0.6306836440146033
1700066M21Rik	mmu	chr1	57416755	57424587	+	4239	3.864092813284528	3.787215066028601	3.9572028796869274	28.01609718404195	35.00863163230983	26.70188124017507	37.19581192829712	34.62453205640172
1700082M22Rik	mmu	chr8	105368405	105388124	+	3711	0.041549385089080945	0.08416033480063558	0.0439689208854103	0.616706541787087	0.7036910880866297	0.47399789183742724	0.21562789523650505	0.31534182200730165
1700084J12Rik	mmu	chr15	33405355	NA	-	731	0.3739444658017285	0.3787215066028601	0.439689208854103	0.7048074763280994	0.7623320120938489	0.47399789183742724	1.239860397609904	1.0090938304233652
1700086O06Rik	mmu	chr18	38371458	38383618	-	1931	1.412679093028752	0.46288184140349564	0.9673162594790267	2.8192299053123975	3.4011735924187105	3.001986648303706	1.7250231618920404	2.964213126868635
1700086P04Rik	mmu	chr4	128943880	128951860	-	7323	0.2908456956235666	0.2945611718022245	0.2198446044270515	0.08810093454101242	0.8796138601082872	1.5273265403650433	0.5929767119003889	0.7568203728175239
1700088E04Rik	mmu	chr15	79018855	79025451	-	1365	1.2049321675833473	1.2203248546092158	1.0992230221352575	0.26430280362303726	0.11728184801443829	0.21066572970552322	0.1617209214273788	0.37841018640876195
1700094D03Rik	mmu	chr3	89970115	89975654	+	3085	8.39297578799435	5.7229027664432195	5.144363743593005	13.655644853856925	14.601590077797567	10.217287890717877	8.78683673088758	14.253450354730033
1700096K18Rik	mmu	chr5	25735016	NA	+	1449	2.20211740972129	2.1040083700158894	1.8466946771872328	3.2597345780174596	2.5215597323104233	3.4233181077147523	1.9945580309376718	2.4596662116569528
1700101I11Rik	mmu	chr6	129508910	129510247	-	1043	0.706339546514376	0.7574430132057202	0.39572028796869274	0.4405046727050621	0.11728184801443829	0.052666432426380805	0.1617209214273788	0.06306836440146033
1700102P08Rik	mmu	chr9	108270023	108275416	+	1933	0.6232407763362142	0.42080167400317786	0.6595338132811546	0.4405046727050621	0.23456369602887658	0.36866502698466563	0.1617209214273788	0.37841018640876195
1700109H08Rik	mmu	chr5	3621716	3634341	+	715	1.2049321675833473	1.1361645198085804	0.8354094968227957	0.9691102799511366	1.5246640241876979	1.5799929727914241	1.239860397609904	1.3244356524306669
1700113A16Rik	mmu	chr3	88078867	88085092	-	983	0.33239508071264756	0.589122343604449	0.2198446044270515	3.347835512558472	4.222146528519779	2.7913209185981827	2.425813821410682	3.0272814912700956
1700119H24Rik	mmu	chr16	34756225	34759699	-	587	0	0.08416033480063558	0	1.5858168217382236	0.35184554404331486	1.5799929727914241	0.1617209214273788	0.18920509320438098
1700120C14Rik	mmu	chr15	99149669	99159922	+	388	6.5232534589857085	4.418417577033368	4.440861009426441	0	0.410486468050534	0.15799929727914241	0.05390697380912626	0.2522734576058413
1700123M08Rik	mmu	chr4	11966574	11994295	+	1066	2.160568024632209	2.1460885374162073	3.077824461978721	0.17620186908202484	0.058640924007219146	0.21066572970552322	0.1617209214273788	0
1700123O20Rik	mmu	chr14	54923628	54928201	+	1891	8.517623943261594	7.99523180606038	7.4747165505197515	32.68544671471561	29.144539231587917	23.383895997313076	28.894137961691676	32.417139302350606
1810008I18Rik	mmu	chr7	65452785	65455981	+	840	0.20774692544540474	0.04208016740031779	0.0879378417708206	51.803349510115304	88.37187247887925	254.74753364640395	109.05380801586243	93.4673160429642
1810009A15Rik	mmu	chr19	8866247	8868123	+	813	7.811284396747218	7.40610946245593	7.1669341043218795	14.360452330185025	15.539844861913073	13.903938160564532	11.6978133165804	12.929014702299366
1810010H24Rik	mmu	chr11	106913499	106921269	+	3417	2.0359198693649665	1.388645524210487	1.4949433101039502	4.845551399755683	3.518455440433149	6.635970485723981	2.857069611883692	2.144324389649651
1810013D15Rik	mmu	chr3	157630845	157643992	+	2218	0.041549385089080945	0.04208016740031779	0.1758756835416412	0.616706541787087	0.7036910880866297	1.9486579997760898	0.4312557904730101	0.8198887372189843
1810013L24Rik	mmu	chr16	8647964	8676788	+	4074	35.026131630095236	40.859842545708574	34.9992610247866	30.92342802389536	39.58262370487292	35.918506914791706	39.405997854471295	38.85011247129956
1810014B01Rik	mmu	chr10	86521391	86525818	+	1620	6.440154688807547	6.816987118851482	7.078996262551058	3.4359364470994844	4.222146528519779	3.475984540141133	2.425813821410682	3.468760042080318
1810019D21Rik	mmu	chr8	106862032	106865355	+	1647	0.5401420061580523	0.25248100440190674	0.3517513670832824	74.26908781807347	76.05727843736324	314.9452659097572	36.71064916401499	76.75419947657721
1810021B22Rik	mmu	chr15	88955401	88960057	-	654	1.7866235588304806	1.8515273656139826	2.1105082024996946	1.233413083574174	2.462918808303204	2.738654486171802	1.7250231618920404	2.5227345760584132
1810030O07Rik	mmu	chrX	12521118	12539878	-	3516	17.367642967235835	20.91384319795794	20.181734686403328	10.307809341298453	7.506038272924051	10.059288593438733	8.409487914223696	8.261955736591302
1810034E14Rik	mmu	chr13	64396514	64415959	+	1802	5.193673136135118	6.017463938245443	7.34280978786352	8.01718504323213	9.61711153718394	10.638619350128923	7.3313484380411715	8.009682278985462
1810037I17Rik	mmu	chr3	122718046	122719843	+	976	27.63034108423883	19.98807951515095	21.149050945882355	17.79638877728451	21.34529633862777	18.696583511365187	18.16665017367555	23.2091580997374
1810041H14Rik	mmu	chr14	122114223	122116820	-	764	0.08309877017816189	0.16832066960127115	0.0879378417708206	1.233413083574174	0.410486468050534	0.31599859455828483	0.8625115809460202	0.8198887372189843
1810044D09Rik	mmu	chr6	91417969	91418737	+	486	1.578876633385076	1.0520041850079447	2.066539281614284	3.4359364470994844	2.873405276353738	3.0546530807300867	2.857069611883692	3.468760042080318
1810046K07Rik	mmu	chr9	51200986	51240224	-	1455	0	0	0	0.3524037381640497	1.0555366321299446	6.951969080282266	1.617209214273788	0.6306836440146033
1810053B23Rik	mmu	chr16	93140604	93156399	-	2583	0	0.04208016740031779	0	1.4977158871972112	0.23456369602887658	3.791983134699418	1.024232502373399	0.31534182200730165
1810055G02Rik	mmu	chr19	3758293	3767882	+	2352	5.858463297560413	7.658590466857837	5.80389755687416	63.873177542234004	47.909634913898046	18.22258561952776	44.688881287765675	50.580828249971184
1810058I24Rik	mmu	chr6	35229645	35238574	+	1165	59.00012682649494	47.5505891623591	55.00512002764829	91.62497192265292	55.767518730865405	61.83039166857107	37.57316074496101	54.23879338525588
1810062G17Rik	mmu	chr3	36530086	36536448	+	911	0.16619754035632378	0.21040083700158893	0.2638135253124618	1.1453121490331615	1.231459404151602	1.5799929727914241	0.6468836857095152	0.7568203728175239
1810064F22Rik	mmu	chr9	22118082	22125156	-	2302	0.041549385089080945	0	0	0.9691102799511366	2.286996036281547	5.213976810211699	3.072697507120197	2.775008033664254
1810073O08Rik	mmu	chr17	84225363	84229038	+	1859	0.6232407763362142	0.25248100440190674	0.7474716550519751	0.08810093454101242	0.11728184801443829	0.21066572970552322	0.10781394761825253	0
2010001A14Rik	mmu	chr11	57686325	57692293	-	764	1.1633827824942664	0.8416033480063557	0.879378417708206	4.052642988886571	4.339428376534217	4.739978918374272	2.910976585692818	3.468760042080318
2010003K11Rik	mmu	chr19	4546816	4548611	-	1167	0.12464815526724284	0.08416033480063558	0.0439689208854103	72.59517006179424	4.456710224548655	18.3805849168069	7.007906595186414	5.486947702927048
2010010A06Rik	mmu	chr18	75421731	75430388	-	1204	0	0	0	1.7620186908202484	1.9937914162454509	1.4219936755122817	1.239860397609904	1.8920509320438097
2010204K13Rik	mmu	chrX	7278056	7289227	-	946	0.20774692544540474	1.977767867814936	0.1319067626562309	0.7929084108691118	0.17592277202165743	0.15799929727914241	0.1617209214273788	0.18920509320438098
2010315B03Rik	mmu	chr9	124054432	124075349	-	2786	12.007772290744393	10.520041850079448	10.948261300467165	23.52294952245032	32.7802765200355	27.544544158997162	33.09888191880353	32.73248112435791
2010320M18Rik	mmu	chr8	71229506	NA	+	745	7.9774819371035415	4.292177074832415	6.287555686613673	10.395910275839466	6.391860716786887	5.161310377785319	5.0133485642487425	7.505135363773778
2200002D01Rik	mmu	chr7	28946946	28947892	-	507	0.6232407763362142	1.8515273656139826	1.011285180364437	2.6430280362303726	14.249744533754253	5.1086439453589385	9.487627390406223	15.830159464766542
2210016F16Rik	mmu	chr13	58527860	58533039	-	2822	22.602865488460033	18.389033153938872	18.90663598072643	35.15227288186396	34.36358146823042	38.34116280640522	34.015300473558675	35.948967708832384
2210016L21Rik	mmu	chr5	115080213	115086610	+	1388	15.331723097870869	12.287408880892794	12.223360006144064	12.862736442987813	8.854779525090091	16.642592646736333	8.94855765231496	10.532416855043873
2210039B01Rik	mmu	chr12	73595257	73598760	+	1039	0.08309877017816189	0.08416033480063558	0.1758756835416412	3.0835327089354347	4.80855576859197	6.4779711884448385	3.1266044809293234	4.288648779299302
2210406O10Rik	mmu	chr5	36604955	36622198	-	1705	0	0.21040083700158893	0.1319067626562309	0.8810093454101242	0.7623320120938489	0.8953293512484737	0.48516276428213634	0.6306836440146033
2210408F21Rik	mmu	chr6	31197286	31314330	+	1042	14.459186011000169	13.086932061498832	11.60779511374832	9.426799995888329	6.978269956859078	5.89864043175465	8.463394888032823	7.69434045697816
2210408I21Rik	mmu	chr13	77283636	77761798	+	20413	1.7450741737413997	2.524810044019067	2.5062284904683874	1.5858168217382236	2.7561234283392997	0.7373300539693313	2.641441716647187	2.5858029404598732
2210417A02Rik	mmu	chr5	148678650	148679949	+	550	0.08309877017816189	0.04208016740031779	0	5.374157007001758	1.1141775561371638	4.213314594110464	0.8625115809460202	0.6937520084160635
2210418O10Rik	mmu	chr2	175968358	176003665	+	8751	11.301432744230016	11.698286537288345	9.057597702394522	15.153360741054136	18.120045518230715	40.184487941328555	26.737859009326627	16.019364557970924
2300009A05Rik	mmu	chr9	63301729	63306526	-	598	10.428895657359318	3.6188943964273297	4.792612376509723	10.836414948544528	9.734393385198379	9.690623566454068	6.900092647568162	9.71252811782489
2310001H17Rik	mmu	chr6	129209586	129215445	-	769	1.9943704842758854	1.556966193811758	1.4070054683331297	9.603001864970354	20.289759706497826	12.271278755346728	14.393162007036713	19.992671515262924
2310002D06Rik	mmu	chr12	80553980	80564728	+	508	0.5816913912471332	0.2945611718022245	0.48365812973951333	0	0	0	0	0
2310002L09Rik	mmu	chr4	73857608	73869111	-	2186	21.93807532703474	26.67882613180148	49.28916031254495	0	0	0.10533286485276161	0	0
2310009B15Rik	mmu	chr1	138779717	138784592	-	571	1.9528210991868045	1.9356877004146182	1.582881151874771	3.4359364470994844	2.7561234283392997	2.475322324039898	1.8328371095102929	2.4596662116569528
2310010J17Rik	mmu	chr7	89774044	89779144	-	538	1.3295803228505902	0.8416033480063557	0.9233473385936164	3.964542054345559	2.9320462003609573	5.055977512932557	3.1805114547384497	4.9193324233139055
2310011J03Rik	mmu	chr10	80154089	80156382	-	1659	14.666932936445574	14.138936246506777	14.245930366872939	14.096149526561987	13.487412521660403	14.430602484828341	11.482185421343894	15.010270727547557
2310015A10Rik	mmu	chr12	80167320	80179618	-	4845	24.306390277112353	24.995619435788765	25.282129509110923	6.519469156034919	14.660231001804787	50.823107291457475	11.158743578489137	16.334706379978225
2310015A16Rik	mmu	chr17	32126851	32131417	-	1916	2.7422594158793423	1.2203248546092158	2.7260730948954386	32.59734578017459	4.10486468050534	32.12652378009229	3.1266044809293234	5.234674245321207
2310015D24Rik	mmu	chr16	13331995	13338971	-	3047	2.20211740972129	1.2203248546092158	1.7147879145310019	0	0	0	0	0
2310015K22Rik	mmu	chr1	80185706	80207331	+	2439	3.157753266770152	1.009924017607627	0.879378417708206	0	0	0	0	0
2310016D03Rik	mmu	chr12	30460558	30517357	-	1547	0.041549385089080945	0.8836835154066736	0.5715959715103339	0	0	0	0	0
2310016G11Rik	mmu	chr7	44317657	44327659	+	1050	1.0802840123161046	0.8836835154066736	0.8354094968227957	0.17620186908202484	0	0.42133145941104644	0.1617209214273788	0
2310020H05Rik	mmu	chr13	99213036	99224429	-	718	0.49859262106897134	0.799523180606038	2.4182906486975666	0	0	0	0	0
2310022A10Rik	mmu	chr7	27252482	27281047	+	2976	34.19514392831362	34.80029844006281	37.505489515254986	5.638459810624795	6.15729702075801	7.215301242414171	6.037581066622142	7.252861906167937
2310022B05Rik	mmu	chr8	125362495	125390108	-	3307	75.453683321771	67.2020273383075	73.29619111597897	16.915379431874385	16.5367405700358	27.228545564438875	18.543998990339436	17.46993693920451
