geneid	refseqacc	start	end	strand	chr	chrlen	fibroblastF	fibroblastM	heartF	heartM	liverF	liverM
VCAN	NC_041728.1	19114399	19238192	-	chr1	186506016	449.7176926415523	729.6304787995737	44.97892843802329	30.351787993230438	4.4579715137874185	2.636051942586982
XRCC4	NC_041728.1	19282135	19527140	-	chr1	186506016	4.91434399227677	4.231994964628209	5.065194643921542	4.466866912211272	2.40588938839321	1.3556838561875906
TMEM167A	NC_041728.1	19517402	19551350	+	chr1	186506016	42.406923438972576	57.650135487537334	7.091272501490159	12.36978529535429	13.869244709560858	16.795416662768485
ATG10	NC_041728.1	20104896	20297456	-	chr1	186506016	3.036954152530588	3.109220790339092	0.8104311430274467	2.63430612771434	0.9198988837974038	1.4309996259757902
SSBP2	NC_041728.1	20489777	20784049	+	chr1	186506016	42.43453211308649	30.703555304598535	21.78033696886263	26.686666424236574	6.297769281382227	5.422735424750362
ACOT12	NC_041728.1	20803971	20862577	+	chr1	186506016	4.003257746517593	3.800158743747779	1.0130389287843085	4.008726716087039	460.2324877091011	445.9446729159291
ZCCHC9	NC_041728.1	20863888	20874329	-	chr1	186506016	15.43324882967817	13.04145387058897	4.9638907510431105	11.338969854074767	7.571475428178632	3.0126307915279793
MSH3	NC_041728.1	21161361	21270381	-	chr1	186506016	53.75408849979141	39.64256507682342	12.25777103829013	18.89828309012461	25.544884388527908	19.35615283556727
DHFR	NC_041728.1	21270501	21285821	+	chr1	186506016	50.247786887324274	26.21245860744207	7.395184180125451	15.233161521130748	133.45609960322335	81.56697868062004
ANKRD34B	NC_041728.1	21313465	21333658	+	chr1	186506016	2.650432714935786	5.13885102847711	14.992976146007763	16.951187256596622	21.016151422140688	13.782785871240506
LOC114810073	NC_041728.1	21333890	21336145	-	chr1	186506016	2.208693929113155	1.2955086626412884	1.5195583931764625	3.206981372869631	5.873200565783424	5.949945813267759
FAM151B	NC_041728.1	21336249	21366236	-	chr1	186506016	1.4908684021513796	0.6477543313206442	0.8104311430274467	0.8017453432174078	3.821118440389216	5.422735424750362
ZFYVE16	NC_041728.1	21368932	21421189	-	chr1	186506016	40.39149022865682	40.46305389649624	14.385152788737178	17.18025735465874	15.567519571956066	13.933417410816904
CCDC125	NC_041728.1	21432883	21468824	-	chr1	186506016	16.75846518714606	13.084637492677013	5.571714108313696	6.643032843801379	15.425996666756465	7.531576978819948
AK6	NC_041728.1	21466728	21477687	-	chr1	186506016	93.40014452737253	64.81861675415246	50.854554224972276	64.71230270254792	72.95505763039411	39.61609490859293
RAD17	NC_041728.1	21477926	21502603	+	chr1	186506016	67.58603423086254	76.56456196210014	44.47240897363114	85.90128677329369	72.03515874659671	47.222987657201074
OCLN	NC_041728.1	21548038	21581724	+	chr1	186506016	4.41738785822631	2.418282836930405	9.62386982345093	6.52849779477032	18.044170412949075	15.439732806580894
GTF2H2	NC_041728.1	21587042	21605769	+	chr1	186506016	26.752805216383088	26.68747845041054	22.692072004768505	30.351787993230438	19.10559220194608	10.09231315161873
LOC100081724	NC_041728.1	21606702	21616025	-	chr1	186506016	95.80209917528309	85.84904071102937	26.136404362635155	46.38669485757859	48.1177877678642	26.43583519565802
SERF1A	NC_041728.1	21620459	21626400	-	chr1	186506016	163.82987219196826	155.72014124948285	154.38713274672858	419.31281450270427	489.45696763281865	320.84517929772977
BDP1	NC_041728.1	21633913	21709539	+	chr1	186506016	36.27779778568357	49.35888004663309	19.65295521841558	18.783748041093553	42.73991737027938	26.360519425869818
MCCC2	NC_041728.1	21714352	21767480	+	chr1	186506016	71.81016137029145	71.08024195691868	189.13436800403036	223.22881056153253	143.9287945879938	110.94012889801783
MAP1B	NC_041728.1	21959875	22061212	+	chr1	186506016	183.51485683518925	336.05494708915023	23.401199254917522	10.995364706981592	14.22305197255986	39.23951605965193
MRPS27	NC_041728.1	22069072	22137064	-	chr1	186506016	41.716706586124715	43.183622088042945	89.85655298316816	129.65367550315796	50.806722966656615	70.94745514048391
PTCD2	NC_041728.1	22137144	22156408	+	chr1	186506016	15.874987615500801	14.941533242462858	9.82647760920779	25.884921081019165	22.502141926736495	15.590364346157292
TNPO1	NC_041728.1	22403692	22482786	+	chr1	186506016	89.75579954433583	103.94297836591937	13.068202181317577	16.49304706047239	38.918798929890166	37.13067450558235
FCHO2	NC_041728.1	22499941	22593559	+	chr1	186506016	22.749547469865497	27.723885380523573	34.24071579290962	37.223890935093934	34.956157584301344	41.875568002238914
LOC120638243	NC_041728.1	22574867	22591774	-	chr1	186506016	1.8497811656322674	2.331915592754319	3.140420679231356	3.8941916670559804	2.193605030593809	1.3556838561875906
FOXD1	NC_041728.1	22876712	22879280	-	chr1	186506016	1.4908684021513796	1.0364069301130308	1.4182545002980316	1.6034906864348155	2.193605030593809	2.636051942586982
BTF3	NC_041728.1	22907458	22917780	+	chr1	186506016	292.4310762145817	344.8212223730229	187.51350571797548	323.79058361080166	191.8342979980586	132.4051232876547
ANKRA2	NC_041728.1	22923894	22935622	-	chr1	186506016	7.5371680330986415	7.125297644527086	10.738212645113668	10.995364706981592	15.284473761556864	10.468892000559729
UTP15	NC_041728.1	22936020	22950056	+	chr1	186506016	162.58748185684212	165.04780362050013	86.10830894666621	95.63676594093364	98.92451073452081	71.39934975921311
ARHGEF28	NC_041728.1	22979568	23256926	+	chr1	186506016	3.6443449830367056	1.9864466160499754	10.029085394964653	8.59012867732937	5.094824587185621	4.36831464771557
ENC1	NC_041728.1	23805713	23821116	-	chr1	186506016	126.806640205209	218.2932096550571	25.528581005364572	17.75293259981403	55.83078610124243	32.837675627654974
HEXB	NC_041728.1	23859947	23882326	+	chr1	186506016	124.79120699489326	155.76332487157092	30.49247175640768	49.36460613238611	129.91802697323334	101.2997103651283
GFM2	NC_041728.1	23883718	23913457	-	chr1	186506016	13.30738092290676	20.037200648851925	6.787360822854866	9.16280392248466	12.666300015364254	10.468892000559729
NSA2	NC_041728.1	23913608	23920622	+	chr1	186506016	165.18269722355006	166.30012866105338	42.54763500894095	67.46114387929332	41.536972676082776	29.674413296550597
FAM169A	NC_041728.1	23923697	23971950	-	chr1	186506016	1.8221724915183528	1.9864466160499754	2.2286856433254782	3.436051470931748	4.033402798188617	2.485420403010583
HMGCR	NC_041728.1	24240059	24270125	+	chr1	186506016	64.68712344890153	42.75178586716252	21.172513611592045	19.70002843334202	21.65300449553889	508.7580249192875
CERT1	NC_041728.1	24277425	24378794	-	chr1	186506016	135.91750266280079	130.6304568163299	39.50851822258802	43.523318631802134	373.76199263214517	285.37145172748785
POLK	NC_041728.1	24379580	24437925	+	chr1	186506016	31.335845119292884	31.696778612623522	3.2417245721097867	3.0924463238385727	19.24711510714568	13.858101641028705
LOC100083097	NC_041728.1	24441817	24457937	+	chr1	186506016	1.076738290442663	1.7273448835217178	11.548643788141115	26.686666424236574	17.973408960349275	14.7618908784871
POC5	NC_041728.1	24497572	24531908	-	chr1	186506016	16.78607386125998	13.732391823997657	3.2417245721097867	4.695937010273388	3.538072629990015	2.711367712375181
IQGAP2	NC_041728.1	24787387	25016220	+	chr1	186506016	7.288689966073411	11.789128830035724	7.395184180125451	6.070357598646088	315.3837942373099	235.2864648183352
F2R	NC_041728.1	25029904	25048275	+	chr1	186506016	73.16298640187325	96.25629363424773	13.979937217223455	19.356423286248845	32.69179110110774	56.48682734114961
AGGF1	NC_041728.1	25183874	25220613	+	chr1	186506016	32.937148217899924	36.36060979813216	27.75726664869005	39.514591915715094	43.23524753847798	31.105412922526387
WDR41	NC_041728.1	25409162	25444843	-	chr1	186506016	12.285859980691924	8.982193394312933	20.362082468564598	31.38260343450996	14.57685923555886	16.720100892980284
TBCA	NC_041728.1	25534317	25579969	-	chr1	186506016	84.89667290028689	78.37827408979794	31.40420679231356	63.223347065144154	63.18997717162166	36.22688526812395
AP3B1	NC_041728.1	25759305	26008735	-	chr1	186506016	83.93036930629988	92.15384953588365	47.71413354574092	40.08726716087039	117.2517269578691	85.40808293981821
SCAMP1	NC_041728.1	26051892	26124768	+	chr1	186506016	83.40580449813551	93.49254182061298	63.4162369418977	75.93673750759162	75.21942411358772	43.6078307073675
LHFPL2	NC_041728.1	26128857	26312354	-	chr1	186506016	141.99141096786195	168.02747354457512	16.309926753427366	20.845378923652603	50.52367715625741	75.31576978819949
ARSB	NC_041728.1	26314718	26442846	-	chr1	186506016	63.637993832572775	73.41215754967301	8.104311430274468	10.193619363764185	28.44610394511972	29.222518677821398
BHMT2	NC_041728.1	26504250	26519563	+	chr1	186506016	0.5797821563922032	0.777305197584773	2.026077857568617	2.8633762257764563	1083.216316397743	966.9791683106931
JMY	NC_041728.1	26604182	26693959	+	chr1	186506016	40.419098902770735	52.16581548235588	62.707109691748684	60.016365692274526	124.89396383864752	177.06737477205698
HOMER1	NC_041728.1	26706611	26796118	-	chr1	186506016	11.236730364363176	10.752721899922694	8.914742573301913	8.475593628298311	10.755740795169645	12.653049324417513
TENT2	NC_041728.1	26829007	26893536	+	chr1	186506016	19.243245857398364	21.7213619102856	10.94082043087053	11.911645099230059	21.016151422140688	17.47325859086228
CMYA5	NC_041728.1	26897180	26969524	+	chr1	186506016	4.362170509998481	10.839089144098779	2383.4779916437205	2165.5141720302186	3.8918798929890164	4.744893496656568
THBS4	NC_041728.1	26971159	27097879	+	chr1	186506016	0.9663035939870053	7.038930400351	188.12132907524605	202.49796668691098	18.114931865548876	32.91299139744317
MTX3	NC_041728.1	27018582	27034861	-	chr1	186506016	8.889993064680448	4.879749295948853	4.153459608015664	4.466866912211272	4.316448608587818	5.121472345597565
SERINC5	NC_041728.1	27100092	27128808	-	chr1	186506016	102.5110069849643	136.93526564118417	34.949843043058635	20.730843874621545	143.7872716827942	110.03633966055945
LOC120638267	NC_041728.1	27166424	27168420	-	chr1	186506016	1.1871729868983207	1.4682431509934601	0.8104311430274467	1.374420588372699	1.698274862395207	1.3556838561875906
MRPS36	NC_041728.1	27169761	27180349	-	chr1	186506016	16.97933458005738	16.10749103884002	40.4202532584939	45.8140196124233	37.29128552009475	31.632623311043783
CENPH	NC_041728.1	27183708	27203812	-	chr1	186506016	53.422784410424434	31.653594990535478	6.280841358462712	8.017453432174078	12.666300015364254	7.004366590302552
SLC30A5	NC_041728.1	27222978	27256126	-	chr1	186506016	83.81993460984422	144.14693052988736	102.72214737872886	61.04718113355405	213.20425668319828	255.39577535178444
GPR132	NC_041728.1	27298815	27337739	+	chr1	186506016	0.6902168528478609	0.4750198429684724	3.4443323578666485	4.2377968141491555	10.118887721771442	10.16762892140693
MERTK	NC_041728.1	27347864	27439061	-	chr1	186506016	4.638257251137626	2.461466459018448	9.927781502086221	11.797110050199	72.2474431043961	62.51208892420557
ANAPC1	NC_041728.1	27456304	27553665	+	chr1	186506016	53.53321910688009	56.22507595863191	29.074217256109648	18.21107279593826	26.25249891452591	29.975676375703394
LOC120638269	NC_041728.1	27564377	27898399	+	chr1	186506016	18.387376959867016	41.715378937049486	1.5195583931764625	1.374420588372699	1.2737061467964053	1.2050523166111917
BCL2L11	NC_041728.1	28148333	28197900	-	chr1	186506016	2.92651945607493	4.318362208804294	2.2286856433254782	2.4052360296522233	4.81177877678642	5.498051194538562
BUB1	NC_041728.1	28457949	28508370	+	chr1	186506016	82.96406571231289	18.007570410713907	2.1273817504470474	2.290700980621165	2.40588938839321	2.334788863434184
CCDC177	NC_041728.1	28522526	28524889	+	chr1	186506016	0.441738785822631	0.3886525987923865	3.6469401436235103	2.9779112748075147	5.236347492385222	5.949945813267759
PLEKHD1	NC_041728.1	28546030	28576304	-	chr1	186506016	1.2976076833539785	0.8636724417608589	3.4443323578666485	1.832560784496932	3.1842653669910135	2.9373150217397797
SLC39A9	NC_041728.1	28577951	28610537	-	chr1	186506016	151.32314281836503	176.92329969471194	64.22666808492515	78.34197353724385	729.8336221143403	533.6875447191816
ERH	NC_041728.1	28613691	28624411	+	chr1	186506016	137.62924045786346	127.08939980511039	95.83348266299556	117.51296030586576	137.56026385401177	154.77390691474994
GALNT16	NC_041728.1	28628480	28663696	-	chr1	186506016	4.444996532340224	2.8933026798988775	11.244732109505822	5.154077206397622	6.014723470983025	6.175893122632358
EXD2	NC_041728.1	28675444	28699132	-	chr1	186506016	27.553456765686608	24.61466459018448	18.437308503874412	18.21107279593826	23.280517905334296	27.41494020290461
DCAF5	NC_041728.1	28701703	28790259	+	chr1	186506016	17.779986129360896	23.232788683367104	37.48244036501941	27.832016914547154	25.898691651526907	34.41930679320716
ACTN1	NC_041728.1	28838445	28928083	+	chr1	186506016	1418.2299805576706	1557.7627995819732	144.8645668161561	113.61876863880978	40.75859669748497	53.92609116835083
ZFP36L1	NC_041728.1	29003095	29009283	+	chr1	186506016	321.11648861893883	455.4144785405009	116.39817291731703	96.20944118608894	255.44884388527908	405.0482099209368
ZFYVE26	NC_041728.1	30065196	30151741	+	chr1	186506016	15.654118222589485	21.24634206731713	33.73419632851747	21.64712426687001	43.23524753847798	80.88913675252624
LOC100092853	NC_041728.1	30156675	30171947	-	chr1	186506016	7.426733336642983	12.782352138060713	13.878633324345024	12.827925491478524	33.257882721906135	35.85030641918296
LOC100092857	NC_041728.1	30176484	30190670	+	chr1	186506016	31.832801253343344	46.50876098882225	31.80942236382728	27.259341669391866	119.7991392514619	171.19274472857742
VTI1B	NC_041728.1	30193427	30213577	+	chr1	186506016	36.22258043745574	35.281019245931084	51.259769796486005	80.05999927270972	79.74815707997493	67.78419280937953
ARG2	NC_041728.1	30213652	30247952	-	chr1	186506016	27.608674113914436	23.535074037983406	66.65796151400748	72.50068603665987	35.94681792069855	62.36145738462917
PIGH	NC_041728.1	30253483	30261237	+	chr1	186506016	27.19454400220572	23.535074037983406	39.407214329709596	30.351787993230438	41.60773412868257	45.79198803122529
GPHN	NC_041728.1	30352247	31037115	+	chr1	186506016	57.5640855275116	35.7992227109876	74.96488073003881	65.51404804576532	414.0960206140313	321.1464423768826
PALS1	NC_041728.1	31107423	31228389	+	chr1	186506016	20.954983652461056	22.325932619518202	13.574721645709731	12.140715197292176	47.1978888840668	49.78372382999986
ATP6V1D	NC_041728.1	31233476	31255246	-	chr1	186506016	142.93010588773504	126.05299287499736	168.46837385683048	178.10200124329558	111.94461801288406	105.96928809199667
EIF2S1	NC_041728.1	31255371	31269585	+	chr1	186506016	135.7794592922312	138.23077430382546	49.84151529618797	66.6593985360759	69.34622354780429	62.210825845052774
TMEM229B	NC_041728.1	31340465	31387307	-	chr1	186506016	16.261509053095605	14.336962533230258	27.85857054156848	23.479685051366943	16.20437264535427	22.820678245824443
MTHFD1	NC_041728.1	31387951	31478073	+	chr1	186506016	260.2945795459853	282.76635743250523	54.501494368595786	49.02100098529293	749.1514986740857	681.7583481227817
