chr	start	end	strand	coverage	numCs	numTs
NC_041728.1	7750001	7800000	*	2322	1945	377
NC_041728.1	7800001	7850000	*	861	747	114
NC_041728.1	7850001	7900000	*	81	58	23
NC_041728.1	7900001	7950000	*	144	135	9
NC_041728.1	7950001	8000000	*	161	139	22
NC_041728.1	8000001	8050000	*	264	224	40
NC_041728.1	8050001	8100000	*	540	479	61
NC_041728.1	8100001	8150000	*	210	181	29
NC_041728.1	8150001	8200000	*	903	372	531
NC_041728.1	8200001	8250000	*	39	34	5
NC_041728.1	8250001	8300000	*	89	58	31
NC_041728.1	8300001	8350000	*	223	169	54
NC_041728.1	8350001	8400000	*	589	552	37
NC_041728.1	8400001	8450000	*	3114	1464	1650
NC_041728.1	8450001	8500000	*	1126	966	160
NC_041728.1	8500001	8550000	*	245	216	29
NC_041728.1	8550001	8600000	*	349	277	72
NC_041728.1	8600001	8650000	*	83	72	11
NC_041728.1	8650001	8700000	*	621	508	113
NC_041728.1	8700001	8750000	*	300	218	82
NC_041728.1	8750001	8800000	*	316	262	54
NC_041728.1	8800001	8850000	*	340	303	37
NC_041728.1	8850001	8900000	*	684	531	153
NC_041728.1	8900001	8950000	*	104	83	21
NC_041728.1	8950001	9000000	*	362	282	80
NC_041728.1	9000001	9050000	*	1233	1087	146
NC_041728.1	9050001	9100000	*	838	748	90
NC_041728.1	9100001	9150000	*	2555	581	1974
NC_041728.1	9150001	9200000	*	312	291	21
NC_041728.1	9200001	9250000	*	2878	2086	792
NC_041728.1	9250001	9300000	*	165	106	59
NC_041728.1	9300001	9350000	*	80	74	6
NC_041728.1	9350001	9400000	*	432	356	76
NC_041728.1	9400001	9450000	*	60	48	12
NC_041728.1	9450001	9500000	*	511	416	95
NC_041728.1	9500001	9550000	*	594	457	137
NC_041728.1	9550001	9600000	*	605	546	59
NC_041728.1	9600001	9650000	*	556	398	158
NC_041728.1	9650001	9700000	*	203	185	18
NC_041728.1	9700001	9750000	*	478	417	61
NC_041728.1	9750001	9800000	*	268	234	34
NC_041728.1	9800001	9850000	*	279	229	50
NC_041728.1	9850001	9900000	*	836	477	359
NC_041728.1	9900001	9950000	*	456	345	111
NC_041728.1	9950001	10000000	*	611	550	61
NC_041728.1	10000001	10050000	*	417	315	102
NC_041728.1	10050001	10100000	*	1242	413	829
NC_041728.1	10100001	10150000	*	327	305	22
NC_041728.1	10150001	10200000	*	652	306	346
NC_041728.1	10200001	10250000	*	279	221	58
NC_041728.1	10250001	10300000	*	239	195	44
NC_041728.1	10300001	10350000	*	746	345	401
NC_041728.1	10350001	10400000	*	2052	623	1429
NC_041728.1	10400001	10450000	*	755	593	162
NC_041728.1	10450001	10500000	*	109	108	1
NC_041728.1	10500001	10550000	*	555	301	254
NC_041728.1	10550001	10600000	*	194	141	53
NC_041728.1	10600001	10650000	*	71	70	1
NC_041728.1	10650001	10700000	*	85	67	18
NC_041728.1	10700001	10750000	*	650	199	451
NC_041728.1	10750001	10800000	*	247	213	34
NC_041728.1	10800001	10850000	*	448	310	138
NC_041728.1	10850001	10900000	*	719	410	309
NC_041728.1	10900001	10950000	*	898	105	793
NC_041728.1	10950001	11000000	*	137	126	11
NC_041728.1	11000001	11050000	*	2156	656	1500
NC_041728.1	11050001	11100000	*	797	282	515
NC_041728.1	11100001	11150000	*	92	87	5
NC_041728.1	11150001	11200000	*	91	82	9
NC_041728.1	11200001	11250000	*	547	215	332
NC_041728.1	11250001	11300000	*	68	41	27
NC_041728.1	11350001	11400000	*	21	14	7
NC_041728.1	11400001	11450000	*	112	99	13
NC_041728.1	11450001	11500000	*	10	9	1
NC_041728.1	11500001	11550000	*	78	39	39
NC_041728.1	11550001	11600000	*	77	42	35
NC_041728.1	11600001	11650000	*	273	232	41
NC_041728.1	11650001	11700000	*	199	189	10
NC_041728.1	11700001	11750000	*	486	382	104
NC_041728.1	11750001	11800000	*	22	20	2
NC_041728.1	11800001	11850000	*	96	91	5
NC_041728.1	11850001	11900000	*	86	71	15
NC_041728.1	11900001	11950000	*	60	57	3
NC_041728.1	11950001	12000000	*	10	10	0
NC_041728.1	12000001	12050000	*	137	118	19
NC_041728.1	12050001	12100000	*	607	433	174
NC_041728.1	12100001	12150000	*	83	83	0
NC_041728.1	12150001	12200000	*	59	55	4
NC_041728.1	12200001	12250000	*	36	36	0
NC_041728.1	12250001	12300000	*	54	54	0
NC_041728.1	12300001	12350000	*	72	70	2
NC_041728.1	12350001	12400000	*	313	304	9
NC_041728.1	12400001	12450000	*	3512	773	2739
NC_041728.1	12450001	12500000	*	3336	935	2401
NC_041728.1	12500001	12550000	*	20	16	4
NC_041728.1	12550001	12600000	*	39	27	12
NC_041728.1	12600001	12650000	*	94	86	8
NC_041728.1	12700001	12750000	*	30	27	3
NC_041728.1	12750001	12800000	*	26	24	2
NC_041728.1	12850001	12900000	*	20	14	6
NC_041728.1	12900001	12950000	*	22	18	4
NC_041728.1	13050001	13100000	*	21	13	8
NC_041728.1	13200001	13250000	*	46	40	6
NC_041728.1	13250001	13300000	*	140	91	49
NC_041728.1	13300001	13350000	*	10	8	2
NC_041728.1	13350001	13400000	*	102	80	22
NC_041728.1	13500001	13550000	*	54	33	21
NC_041728.1	13550001	13600000	*	60	50	10
NC_041728.1	13600001	13650000	*	111	67	44
NC_041728.1	13750001	13800000	*	10	5	5
NC_041728.1	13800001	13850000	*	13	6	7
NC_041728.1	13900001	13950000	*	127	109	18
NC_041728.1	13950001	14000000	*	334	94	240
NC_041728.1	14000001	14050000	*	10	8	2
NC_041728.1	14050001	14100000	*	101	87	14
NC_041728.1	14100001	14150000	*	214	197	17
NC_041728.1	14150001	14200000	*	140	87	53
NC_041728.1	14200001	14250000	*	123	119	4
NC_041728.1	14250001	14300000	*	101	72	29
NC_041728.1	14300001	14350000	*	11	9	2
NC_041728.1	14350001	14400000	*	100	87	13
NC_041728.1	14400001	14450000	*	172	120	52
NC_041728.1	14450001	14500000	*	10	6	4
NC_041728.1	14500001	14550000	*	22	17	5
NC_041728.1	14550001	14600000	*	2323	367	1956
NC_041728.1	14600001	14650000	*	1271	769	502
NC_041728.1	14650001	14700000	*	116	50	66
NC_041728.1	14700001	14750000	*	416	364	52
NC_041728.1	14800001	14850000	*	40	35	5
NC_041728.1	14900001	14950000	*	61	60	1
NC_041728.1	14950001	15000000	*	10	10	0
NC_041728.1	15100001	15150000	*	26	21	5
NC_041728.1	15450001	15500000	*	46	45	1
NC_041728.1	15500001	15550000	*	22	13	9
NC_041728.1	15550001	15600000	*	23	13	10
NC_041728.1	15600001	15650000	*	33	31	2
NC_041728.1	15650001	15700000	*	12	11	1
NC_041728.1	15750001	15800000	*	788	157	631
NC_041728.1	15900001	15950000	*	286	206	80
NC_041728.1	15950001	16000000	*	2598	548	2050
NC_041728.1	16000001	16050000	*	763	150	613
NC_041728.1	16200001	16250000	*	143	88	55
NC_041728.1	16250001	16300000	*	994	142	852
NC_041728.1	16300001	16350000	*	49	46	3
NC_041728.1	16350001	16400000	*	407	183	224
NC_041728.1	16400001	16450000	*	63	56	7
NC_041728.1	16450001	16500000	*	21	17	4
NC_041728.1	16500001	16550000	*	20	14	6
NC_041728.1	16550001	16600000	*	60	42	18
NC_041728.1	16700001	16750000	*	46	30	16
NC_041728.1	16750001	16800000	*	308	220	88
NC_041728.1	16800001	16850000	*	704	431	273
NC_041728.1	16850001	16900000	*	130	118	12
NC_041728.1	16900001	16950000	*	2203	587	1616
NC_041728.1	17000001	17050000	*	106	92	14
NC_041728.1	17050001	17100000	*	55	24	31
NC_041728.1	17100001	17150000	*	38	28	10
NC_041728.1	17150001	17200000	*	13	13	0
NC_041728.1	17200001	17250000	*	134	106	28
NC_041728.1	17250001	17300000	*	593	146	447
NC_041728.1	17300001	17350000	*	53	40	13
NC_041728.1	17350001	17400000	*	207	184	23
NC_041728.1	17450001	17500000	*	23	20	3
NC_041728.1	17550001	17600000	*	34	34	0
NC_041728.1	17600001	17650000	*	130	104	26
NC_041728.1	17650001	17700000	*	59	56	3
NC_041728.1	17700001	17750000	*	293	283	10
NC_041728.1	17750001	17800000	*	15	11	4
NC_041728.1	17800001	17850000	*	146	129	17
NC_041728.1	17850001	17900000	*	54	50	4
NC_041728.1	17900001	17950000	*	109	101	8
NC_041728.1	17950001	18000000	*	78	66	12
NC_041728.1	18000001	18050000	*	87	68	19
NC_041728.1	18050001	18100000	*	63	57	6
NC_041728.1	18100001	18150000	*	45	35	10
NC_041728.1	18150001	18200000	*	112	87	25
NC_041728.1	18200001	18250000	*	46	40	6
NC_041728.1	18250001	18300000	*	109	93	16
NC_041728.1	18300001	18350000	*	113	109	4
NC_041728.1	18350001	18400000	*	31	23	8
NC_041728.1	18400001	18450000	*	132	93	39
NC_041728.1	18450001	18500000	*	125	95	30
NC_041728.1	18500001	18550000	*	66	53	13
NC_041728.1	18550001	18600000	*	1187	260	927
NC_041728.1	18600001	18650000	*	28	22	6
NC_041728.1	18650001	18700000	*	106	91	15
NC_041728.1	18700001	18750000	*	75	71	4
NC_041728.1	18750001	18800000	*	188	133	55
NC_041728.1	18800001	18850000	*	33	12	21
NC_041728.1	18850001	18900000	*	12	11	1
NC_041728.1	18900001	18950000	*	68	57	11
NC_041728.1	18950001	19000000	*	22	15	7
NC_041728.1	19000001	19050000	*	405	126	279
NC_041728.1	19050001	19100000	*	23	22	1
NC_041728.1	19100001	19150000	*	137	78	59
NC_041728.1	19150001	19200000	*	62	56	6
NC_041728.1	19200001	19250000	*	1891	336	1555
NC_041728.1	19250001	19300000	*	296	253	43
NC_041728.1	19300001	19350000	*	77	76	1
NC_041728.1	19350001	19400000	*	59	59	0
NC_041728.1	19400001	19450000	*	62	59	3
NC_041728.1	19450001	19500000	*	133	125	8
NC_041728.1	19500001	19550000	*	661	400	261
NC_041728.1	19550001	19600000	*	60	49	11
NC_041728.1	19600001	19650000	*	87	84	3
NC_041728.1	19650001	19700000	*	25	25	0
NC_041728.1	19700001	19750000	*	111	91	20
NC_041728.1	19750001	19800000	*	39	27	12
NC_041728.1	19850001	19900000	*	174	120	54
NC_041728.1	19900001	19950000	*	48	44	4
NC_041728.1	19950001	20000000	*	25	24	1
NC_041728.1	20000001	20050000	*	43	31	12
NC_041728.1	20050001	20100000	*	214	186	28
NC_041728.1	20100001	20150000	*	150	136	14
NC_041728.1	20150001	20200000	*	15	14	1
NC_041728.1	20200001	20250000	*	196	181	15
NC_041728.1	20250001	20300000	*	364	71	293
NC_041728.1	20300001	20350000	*	139	101	38
NC_041728.1	20350001	20400000	*	1130	554	576
NC_041728.1	20400001	20450000	*	10	10	0
NC_041728.1	20450001	20500000	*	599	246	353
NC_041728.1	20600001	20650000	*	192	181	11
NC_041728.1	20650001	20700000	*	87	74	13
NC_041728.1	20700001	20750000	*	87	87	0
NC_041728.1	20750001	20800000	*	10	10	0
NC_041728.1	20800001	20850000	*	811	148	663
NC_041728.1	20850001	20900000	*	56	32	24
NC_041728.1	20900001	20950000	*	146	121	25
NC_041728.1	21000001	21050000	*	39	39	0
NC_041728.1	21100001	21150000	*	441	118	323
NC_041728.1	21250001	21300000	*	789	138	651
NC_041728.1	21300001	21350000	*	531	239	292
NC_041728.1	21350001	21400000	*	186	11	175
NC_041728.1	21400001	21450000	*	830	106	724
NC_041728.1	21450001	21500000	*	1213	257	956
NC_041728.1	21500001	21550000	*	927	405	522
NC_041728.1	21550001	21600000	*	294	61	233
NC_041728.1	21600001	21650000	*	2073	280	1793
NC_041728.1	21650001	21700000	*	167	150	17
NC_041728.1	21700001	21750000	*	671	332	339
NC_041728.1	21750001	21800000	*	283	146	137
NC_041728.1	21800001	21850000	*	31	28	3
NC_041728.1	21850001	21900000	*	285	226	59
NC_041728.1	21900001	21950000	*	123	100	23
NC_041728.1	21950001	22000000	*	578	293	285
NC_041728.1	22000001	22050000	*	1571	1317	254
NC_041728.1	22050001	22100000	*	2898	2525	373
NC_041728.1	22100001	22150000	*	873	446	427
NC_041728.1	22150001	22200000	*	281	262	19
NC_041728.1	22200001	22250000	*	753	645	108
NC_041728.1	22250001	22300000	*	54	44	10
NC_041728.1	22300001	22350000	*	105	96	9
NC_041728.1	22350001	22400000	*	124	89	35
NC_041728.1	22400001	22450000	*	2008	386	1622
NC_041728.1	22450001	22500000	*	216	51	165
NC_041728.1	22500001	22550000	*	287	70	217
NC_041728.1	22550001	22600000	*	409	343	66
NC_041728.1	22600001	22650000	*	640	408	232
NC_041728.1	22650001	22700000	*	323	243	80
NC_041728.1	22700001	22750000	*	683	208	475
NC_041728.1	22750001	22800000	*	705	557	148
NC_041728.1	22800001	22850000	*	577	499	78
NC_041728.1	22850001	22900000	*	3852	1132	2720
NC_041728.1	22900001	22950000	*	401	227	174
NC_041728.1	22950001	23000000	*	524	280	244
NC_041728.1	23050001	23100000	*	89	86	3
NC_041728.1	23100001	23150000	*	35	27	8
NC_041728.1	23150001	23200000	*	105	68	37
NC_041728.1	23200001	23250000	*	674	544	130
NC_041728.1	23250001	23300000	*	429	367	62
NC_041728.1	23300001	23350000	*	14	14	0
NC_041728.1	23350001	23400000	*	295	284	11
NC_041728.1	23400001	23450000	*	386	301	85
NC_041728.1	23450001	23500000	*	67	62	5
NC_041728.1	23500001	23550000	*	33	31	2
NC_041728.1	23550001	23600000	*	28	26	2
NC_041728.1	23650001	23700000	*	40	31	9
NC_041728.1	23700001	23750000	*	80	62	18
NC_041728.1	23750001	23800000	*	92	87	5
NC_041728.1	23800001	23850000	*	394	302	92
NC_041728.1	23850001	23900000	*	1192	285	907
NC_041728.1	23900001	23950000	*	403	247	156
NC_041728.1	23950001	24000000	*	393	142	251
NC_041728.1	24000001	24050000	*	47	43	4
NC_041728.1	24050001	24100000	*	500	229	271
NC_041728.1	24100001	24150000	*	64	59	5
NC_041728.1	24150001	24200000	*	101	59	42
NC_041728.1	24200001	24250000	*	980	311	669
NC_041728.1	24250001	24300000	*	217	175	42
NC_041728.1	24300001	24350000	*	68	11	57
NC_041728.1	24350001	24400000	*	622	116	506
NC_041728.1	24400001	24450000	*	87	86	1
NC_041728.1	24450001	24500000	*	93	88	5
NC_041728.1	24500001	24550000	*	435	164	271
NC_041728.1	24600001	24650000	*	184	67	117
NC_041728.1	24650001	24700000	*	22	21	1
NC_041728.1	24700001	24750000	*	135	130	5
NC_041728.1	24750001	24800000	*	964	219	745
NC_041728.1	24800001	24850000	*	41	22	19
NC_041728.1	24850001	24900000	*	30	14	16
NC_041728.1	24900001	24950000	*	98	80	18
NC_041728.1	24950001	25000000	*	60	36	24
NC_041728.1	25000001	25050000	*	305	194	111
NC_041728.1	25050001	25100000	*	389	162	227
NC_041728.1	25100001	25150000	*	200	150	50
NC_041728.1	25150001	25200000	*	1060	166	894
NC_041728.1	25200001	25250000	*	868	394	474
NC_041728.1	25250001	25300000	*	662	224	438
NC_041728.1	25300001	25350000	*	125	117	8
NC_041728.1	25350001	25400000	*	454	396	58
NC_041728.1	25400001	25450000	*	430	110	320
NC_041728.1	25450001	25500000	*	1092	333	759
NC_041728.1	25500001	25550000	*	2514	636	1878
NC_041728.1	25550001	25600000	*	60	53	7
NC_041728.1	25600001	25650000	*	152	85	67
NC_041728.1	25700001	25750000	*	21	17	4
NC_041728.1	25750001	25800000	*	586	538	48
NC_041728.1	25800001	25850000	*	91	84	7
NC_041728.1	25850001	25900000	*	238	179	59
NC_041728.1	25900001	25950000	*	640	612	28
NC_041728.1	25950001	26000000	*	55	55	0
NC_041728.1	26000001	26050000	*	72	37	35
NC_041728.1	26050001	26100000	*	132	66	66
NC_041728.1	26100001	26150000	*	2780	1849	931
NC_041728.1	26150001	26200000	*	751	558	193
NC_041728.1	26200001	26250000	*	228	146	82
NC_041728.1	26250001	26300000	*	1009	703	306
NC_041728.1	26300001	26350000	*	730	669	61
NC_041728.1	26350001	26400000	*	228	161	67
NC_041728.1	26400001	26450000	*	1744	889	855
NC_041728.1	26450001	26500000	*	387	310	77
NC_041728.1	26500001	26550000	*	887	398	489
NC_041728.1	26550001	26600000	*	394	330	64
NC_041728.1	26600001	26650000	*	919	386	533
NC_041728.1	26650001	26700000	*	1695	1555	140
NC_041728.1	26700001	26750000	*	793	742	51
NC_041728.1	26750001	26800000	*	705	286	419
NC_041728.1	26800001	26850000	*	975	629	346
NC_041728.1	26850001	26900000	*	1242	753	489
NC_041728.1	26900001	26950000	*	721	638	83
NC_041728.1	26950001	27000000	*	1296	1046	250
NC_041728.1	27000001	27050000	*	3396	3053	343
NC_041728.1	27050001	27100000	*	7406	6097	1309
NC_041728.1	27100001	27150000	*	4849	4286	563
NC_041728.1	27150001	27200000	*	5283	3556	1727
NC_041728.1	27200001	27250000	*	4474	3849	625
NC_041728.1	27250001	27300000	*	2522	1928	594
NC_041728.1	27300001	27350000	*	1346	1107	239
NC_041728.1	27350001	27400000	*	282	248	34
NC_041728.1	27400001	27450000	*	602	345	257
NC_041728.1	27450001	27500000	*	6341	5684	657
NC_041728.1	27500001	27550000	*	4433	4140	293
NC_041728.1	27550001	27600000	*	2123	1618	505
NC_041728.1	27600001	27650000	*	1409	1312	97
NC_041728.1	27650001	27700000	*	827	704	123
NC_041728.1	27700001	27750000	*	120	111	9
NC_041728.1	27750001	27800000	*	164	159	5
NC_041728.1	27800001	27850000	*	596	428	168
NC_041728.1	27850001	27900000	*	435	256	179
NC_041728.1	27900001	27950000	*	842	741	101
NC_041728.1	27950001	28000000	*	485	442	43
NC_041728.1	28000001	28050000	*	247	222	25
NC_041728.1	28050001	28100000	*	340	279	61
NC_041728.1	28100001	28150000	*	757	700	57
NC_041728.1	28150001	28200000	*	1694	1610	84
NC_041728.1	28200001	28250000	*	1421	1299	122
NC_041728.1	28250001	28300000	*	427	378	49
NC_041728.1	28300001	28350000	*	255	222	33
NC_041728.1	28350001	28400000	*	113	85	28
NC_041728.1	28400001	28450000	*	219	195	24
NC_041728.1	28450001	28500000	*	526	439	87
NC_041728.1	28500001	28550000	*	3029	2583	446
NC_041728.1	28550001	28600000	*	2919	2606	313
NC_041728.1	28600001	28650000	*	3123	2287	836
NC_041728.1	28650001	28700000	*	3039	2435	604
NC_041728.1	28700001	28750000	*	3863	2448	1415
NC_041728.1	28750001	28800000	*	3491	2953	538
NC_041728.1	28800001	28850000	*	1309	836	473
NC_041728.1	28850001	28900000	*	726	597	129
NC_041728.1	28900001	28950000	*	1578	1379	199
NC_041728.1	28950001	29000000	*	636	395	241
NC_041728.1	29000001	29050000	*	740	188	552
NC_041728.1	29050001	29100000	*	674	613	61
NC_041728.1	29100001	29150000	*	329	303	26
NC_041728.1	29150001	29200000	*	1264	978	286
NC_041728.1	29200001	29250000	*	895	795	100
NC_041728.1	29250001	29300000	*	528	468	60
NC_041728.1	29300001	29350000	*	689	527	162
NC_041728.1	29350001	29400000	*	830	752	78
NC_041728.1	29400001	29450000	*	641	594	47
NC_041728.1	29450001	29500000	*	1602	1434	168
NC_041728.1	29500001	29550000	*	491	462	29
NC_041728.1	29550001	29600000	*	540	491	49
NC_041728.1	29600001	29650000	*	2574	2262	312
NC_041728.1	29650001	29700000	*	875	723	152
NC_041728.1	29700001	29750000	*	375	261	114
NC_041728.1	29750001	29800000	*	553	496	57
NC_041728.1	29800001	29850000	*	255	243	12
NC_041728.1	29850001	29900000	*	559	387	172
NC_041728.1	29900001	29950000	*	386	357	29
NC_041728.1	29950001	30000000	*	729	691	38
NC_041728.1	30000001	30050000	*	433	387	46
NC_041728.1	30050001	30100000	*	3675	3350	325
NC_041728.1	30100001	30150000	*	3502	3352	150
NC_041728.1	30150001	30200000	*	6147	4259	1888
NC_041728.1	30200001	30250000	*	9330	7509	1821
NC_041728.1	30250001	30300000	*	1940	1418	522
NC_041728.1	30300001	30350000	*	503	374	129
NC_041728.1	30350001	30400000	*	1738	527	1211
NC_041728.1	30400001	30450000	*	347	323	24
NC_041728.1	30450001	30500000	*	357	341	16
NC_041728.1	30500001	30550000	*	615	551	64
NC_041728.1	30550001	30600000	*	173	166	7
NC_041728.1	30600001	30650000	*	105	89	16
NC_041728.1	30650001	30700000	*	83	78	5
