Geneid	species	chr	gstart	gend	gstrand	Length	ghf1	ghf2	ghf3	ghm1	ghm2	ghm3	glf2	glf3	glm2	glm5
AARS	gga	chr11	1173205	1185611	+	3189	107.62965710184953	129.49143313290847	108.24107777349401	110.7976478369138	108.76084592734856	93.31503818244134	356.9818062323325	445.5741483094798	509.1823457095129	536.7913320499088
AARS2	gga	chr3	30320135	30336532	+	3357	23.45774577860823	31.430416994050198	25.638581200133043	26.26564509400523	23.46831665572373	24.392798112428267	24.638222000434006	27.99837556702297	25.426849709701912	26.377284300324796
AARSD1	gga	chr27	7907878	7912241	-	1672	52.06345839098343	57.48891863979197	44.28920323857569	49.97701644492371	43.67595311796482	66.03903879218385	47.46035884113086	56.79670472167517	58.2752418473625	47.914200966157004
AASDHPPT	gga	chr1	182414225	182437182	-	1098	3.608883965939728	2.8744459319895985	3.6626544571618633	3.4699567830612414	1.844858530523072	1.6475435873309898	2.300374535667057	2.8665003556713993	1.8715193948765365	2.121059974665293
AASS	gga	chr1	23007392	23039846	+	7188	178.00289443767423	149.80104291467103	158.50619091586012	131.28003162581695	150.84936263532842	149.74340604852773	113.80800334352809	109.86029270108061	179.60132675660006	279.5448274302463
AATF	gga	chr19	8547252	8588663	+	2477	16.239977846728774	17.717896236526048	14.409653719623646	16.771457784796	12.141743352047195	11.670100410261178	12.77313229015129	15.132455365986225	15.165760613654694	18.545678240022177
AATK	gga	chr18	9278846	9298907	+	9527	9.659071791191625	9.1416805050161	14.313268076014124	6.7953320334949305	9.138485279102659	10.983623915539932	9.201498142668228	5.666337912373696	9.163991519740282	4.8403676344925914
ABAT	gga	chr14	10464930	10508353	-	9251	10.030574552391302	11.30929547012301	19.036164612880736	7.5664335408418735	9.052677905589958	7.139355545100956	279.37443373956495	367.1120339228464	427.351773547325	673.7356657988115
ABCA1	gga	chrZ	54811100	54902448	-	7072	53.28411032063951	38.310238405041694	31.614491103923452	80.82107673880141	138.70761928328122	45.3532137512503	48.48947376498191	58.92991428868644	66.21306548770092	96.10033269829674
ABCA12	gga	chr7	4265632	4364777	-	12937	0.37150276119967784	0.6125868379649964	0.38554257443809087	0.4337445978826552	0.5577479278325567	0.5034160961289136	61.98904011902806	52.0636459948689	26.91115819529365	19.035153618791092
ABCA13	gga	chr2	79956135	80135269	+	14595	4.51110495742466	2.7802018030719067	0.14457846541428407	0.09638768841836781	0.6864589881016082	0.22882549824041526	2.481983051640772	0.1999883969073069	3.0331521227309386	0.8701784511447356
ABCA2	gga	chr17	781755	814963	-	10061	220.67264015260864	211.24821496900606	213.68697188231187	165.16030410487323	240.77549007663907	382.96235385515894	38.13778835448016	42.397540144349065	35.10712244182193	36.16679187570307
ABCA3	gga	chr14	13971700	14006418	-	7932	121.74676202743728	129.9155317130381	88.77117776437042	94.07438389632698	127.76717916041183	71.71391114854613	89.8356792349977	77.39550960312778	83.31488064777962	92.40207428093161
ABCA4	gga	chr8	14048452	14135935	+	9071	0.7430055223993557	0.5183427090473046	0.3373497526333295	0.7711015073469425	0.3003258072944536	0.32035569753658133	0.544825547921145	0.46663959278371614	0.5162812123797342	0.27193076598272986
ABCA5	gga	chr18	7947756	7973945	-	7879	19.530430874497352	21.534783457692566	26.843401745252077	26.169257405586862	32.39228350104464	35.51371732691245	27.72556677198716	19.465537298977875	21.03845940447417	17.784272095270534
ABCA7	gga	chr28	3001421	3013989	-	7588	1.1145082835990336	1.2722957403888386	2.698798021066636	0.6747138189285746	0.8580737351270102	2.0136643845156543	0.9685787518598135	0.7332907886601254	0.8389569701170682	0.5982476851620057
ABCA8	gga	chr18	7902390	7923428	-	5798	41.236806493164245	59.79789979827542	43.22896115887094	64.62794508451562	46.121463263076805	61.32523352843128	486.7713589815475	503.6374462115679	538.6749099667052	537.0088766626949
ABCA9	gga	chr18	7924790	7947210	-	5283	9.659071791191625	6.879821410991498	7.80723713237134	4.915772109336759	2.359702771599278	5.446046858121883	8.656672594747082	4.33308193299165	4.323855153680274	1.903515361879109
ABCB1	gga	chr2	20713386	20763533	-	15495	89.42602180306531	70.07050985030382	55.22897378825652	60.00133604043396	71.7778679433744	82.83483036303032	373.99247056187045	234.0530871805182	292.27970135847704	348.23453891748386
ABCB10	gga	chr3	40129065	40156117	-	2977	22.449381141066247	23.89088668063486	24.53014629862353	30.45850954020423	23.167990848429277	17.894153962400473	27.907175287960875	29.99825953609604	26.84662304374618	43.835239476416056
ABCB11	gga	chr7	18842986	18914423	+	9739	3.025093912625948	4.617962316966896	5.5903673293523175	2.072335300994908	4.9768276637366595	3.478147573254312	531.9313432870113	564.5005816703583	521.3149542004367	528.1983198448545
ABCB1LA	gga	chr2	20663717	20706392	-	5358	4.935679541652863	4.335229930213821	3.855425744380909	3.8555075367347125	4.333272362391402	5.079926060937218	91.83337291070856	115.99327020623801	54.01592184522969	78.69676367540202
ABCB5	gga	chr2	30046438	30103231	+	5722	0.21228729211410163	0.28273238675307527	1.0602420797047498	0.048193844209183906	0.21451843378175256	0.32035569753658133	3.8137788354480153	1.1999303814438416	2.5814060618986714	0.8157922979481896
ABCB6	gga	chr7	22232635	22238106	+	2764	41.71445290042097	50.420608970965084	45.301252496475676	32.771814062245056	37.798148032344805	44.30061645934439	20.40068996104732	18.598920912379544	38.14027456455287	28.552730428186635
ABCB7	gga	chr4	12509698	12557249	-	6150	40.17537003259373	38.16887221166516	39.614499523513835	43.85639823035736	46.33598169685855	30.433791265975227	57.87258042362385	53.530227572189155	48.46589881214755	61.4019669589004
ABCB8	gga	chr2	338106	344022	-	2235	16.239977846728774	20.827952490809878	16.77110198805695	12.578593338596999	14.28692768986472	12.402342004630507	27.483422084022205	25.265200809289773	33.171067895397925	26.21412584073516
ABCB9	gga	chr15	5509893	5523324	+	4128	25.845977814891874	25.917135452365233	24.8193032294521	20.193220723648057	19.34956272711408	56.47413296573448	38.198324526471396	42.33087734537997	43.10948123370781	42.4755856465024
ABCC1	gga	chr14	8040974	8088595	+	5904	148.9195354180423	122.04614694841082	229.30144614705455	217.78798198130207	110.51989708435892	247.45189379718505	12.894204634133766	6.532954298972026	5.485487881534676	16.587776724946522
ABCC10	gga	chr3	31108306	31129178	-	7238	20.857226450210486	20.68658629743334	23.71086832794259	22.410137557270517	16.68953414822035	35.42218712761628	34.68722655097957	35.73126024743884	33.429208501587794	22.461481270173486
ABCC13	gga	chr1	99420905	99455043	+	4382	4.988751364681389	2.7802018030719067	6.554223765447545	3.228987562015322	2.745835952406433	3.706973071494727	72.52233404550353	48.13054085569187	50.98276972249876	44.43348716157806
ABCC2	gga	chr6	23037302	23051728	-	5609	0.7430055223993557	1.3194178048476846	0.3373497526333295	0.6265199747193908	0.5577479278325567	0.3661207971846644	165.9296474279843	233.7197731856727	221.22649950471612	274.1062121105917
ABCC3	gga	chr18	10138140	10181604	-	6127	21.812519264723942	17.199553527478745	17.927729711371224	15.132867081683747	18.577296365499773	12.814227901463253	20.03747292909989	10.866036231963676	19.941361828167235	10.768458332916103
ABCC4	gga	chr1	147470494	147695961	+	12066	30.197867303230957	25.634403065612158	61.01211240482788	23.22943290882664	42.088516707979856	50.79926060937218	10.412221582492995	24.198596025784138	11.487256975449087	16.805321337732707
ABCC5	gga	chr9	15882584	15921083	-	10148	232.34844121888423	167.04771850660862	849.7358340615523	456.9258369472726	146.73060870671875	881.0239333252467	207.33638906999133	306.5822124589015	486.53050751635203	181.21466245089118
ABCC6	gga	chr14	8088066	8116496	-	9626	14.170176748616283	10.225487987569554	20.24098515799977	18.843793085790907	12.013032291778144	20.319704243748873	194.86593763979621	237.78620392278793	233.55271345028228	144.06891981765028
ABCC8	gga	chr5	12069804	12136146	-	6609	122.70205484195074	106.2131332902386	137.30134932176512	154.2684953135977	122.10389250857357	97.80001794795348	55.81435057592175	42.73085413919458	20.264037585904568	22.2439366573873
ABCC9	gga	chr1	66872468	66946405	+	6682	96.74993338100182	109.46455573789898	204.67491420482148	149.6900801137252	185.94457840202313	163.51870104260072	11.925625882273954	9.53278025258163	5.872698790819477	2.5561492002376607
ABCD2	gga	chr1	15407886	15449742	+	2204	33.96596673825626	49.1954352950351	41.97594779194714	52.0975455901278	56.20382965081917	24.667388710316764	47.76303970108705	70.86255530415575	50.91823457095129	72.8774452833716
ABCD3	gga	chr8	13947631	13974017	-	4112	34.07211038431331	27.943384224095606	43.42173244608998	35.229700116913435	39.47139181584247	32.17286505260238	144.37877019910346	225.8535629073186	200.31711040333687	202.316489891151
ABCD4	gga	chr5	38063988	38077396	-	2508	57.42371251686449	76.66759887454224	72.5783896379706	71.37508327380137	53.50089738516909	125.67096363363605	71.6748276376262	89.99477860828812	94.35039156239642	72.44235605779923
ABCE1	gga	chr4	31010873	31024704	+	2448	100.19960187785597	108.5692365131809	100.81938321556076	112.19526931898014	118.11384964023296	84.16201825282472	109.69154364812387	110.66024628870983	124.35923703196849	132.43028303358943
ABCF2	gga	chr2	159572	170332	+	2859	54.13325948909592	64.74571656645423	56.43379433337555	71.66424633905646	66.45781078558694	52.44680419670318	42.072639533910646	49.39713403610481	74.92531094660893	72.00726683222688
ABCF3	gga	chr9	15995985	16005071	+	4018	205.5471705894789	222.22765598791716	196.0483991017692	190.1729092494397	187.9610516795716	197.15604928394177	182.87977558553104	181.72278998977288	211.67529707569105	196.66032995871024
ABCG1	gga	chr1	110622734	110682578	+	9215	84.27805496929835	50.2321207131297	65.87958740710877	56.0012469710717	94.30230349045843	62.65242141822569	4.055923523412969	2.133209567011274	2.5814060618986714	3.1543968853996667
ABCG2	gga	chr6	18374408	18392256	+	3463	86.18864059832526	72.09675862203419	84.04828122750381	88.67667334489839	66.88684765315045	82.37717936654948	57.50936339167642	108.52703672169855	79.89451761576387	120.24778471756315
ABCG4	gga	chr24	4301378	4311330	-	5583	5.254110479824015	2.8744459319895985	1.9759056939952158	2.1205291452040917	3.3893912537516906	3.706973071494727	7.5064853269135545	3.066488752578706	10.261089096047218	5.384229166458051
ABCG5	gga	chr3	25330988	25347218	-	2877	0.26535911514262706	0.5654647735061505	0.2409641090238068	0.19277537683673562	0.38613318080715464	0.5491811957769965	117.19802897503743	136.99205188150523	119.0673546050762	168.70584721568562
ABCG8	gga	chr3	25347338	25362632	+	5464	0.10614364605705082	0.6125868379649964	0.14457846541428407	0.048193844209183906	0.12871106026905155	0.04576509964808305	156.42546842535987	212.52100311349815	106.09578914403538	172.51287793944383
ABHD1	gga	chr3	104475598	104477759	+	1449	3.025093912625948	4.240985801296129	2.987954951895204	1.4458153262755171	3.1319691332135875	2.745905978884983	9.44364283063318	6.4662915000029235	8.84131576200295	11.257933711685016
ABHD10	gga	chr1	89812141	89820285	+	4218	9.446784499077523	11.167929276746472	10.98796337148559	9.205024243954126	9.138485279102659	5.354516658825717	12.40991525820386	18.998897706194157	16.520998796151495	21.047441287063293
ABHD11	gga	chr19	851482	854896	-	1284	11.463513774161488	12.393102952676465	8.53012945944276	10.168901128137804	8.966870532077257	13.546469495832582	11.441336506344047	9.199466257736118	15.617506674486961	12.617587541598667
ABHD12	gga	chr3	4209073	4236900	-	3256	31.31237558682999	32.51422447660365	30.84340595504727	35.27789396112262	33.4648756699534	29.747314771253983	46.189099229314856	58.26328629899542	50.01474244928676	52.80895475384614
ABHD12B	gga	chr5	58110017	58114840	+	1241	7.74848616216471	6.17299044410881	7.469887379738011	7.132688942959218	3.6468133742897937	9.702201125393607	13.378494010063674	22.798677247432988	25.943130922081647	35.78608880332725
ABHD13	gga	chr1	141644840	141655299	-	5231	37.99942528842419	37.509163309241316	35.80726660093769	37.543004638954265	37.75524434558845	33.54581804204488	49.51858868883296	52.59694838662172	42.98041093061288	48.89315172369483
ABHD14A	gga	chr12	3539630	3541599	-	1575	2.175944744169542	1.9791267072715268	3.7108472789666247	0.9156830399744942	1.759051157010371	3.1120267760696474	5.145574619255259	7.6662218814467655	7.744218185696013	6.689496843175155
ABHD17A	gga	chr28	2319159	2324426	+	1671	44.42111587487577	51.08031787338893	43.9036606641376	35.952607780051196	44.40531579282278	39.083395099462926	22.156238948793234	23.198654041247604	33.04199759230299	23.712362793694044
ABHD17B	gga	chrZ	35613521	35630494	-	2729	9.181425383934895	8.623337795968796	10.554227975242737	14.891897860637826	11.583995424214638	10.525972919059102	17.010664329537974	17.06567653609019	24.45882243648991	20.82989667427711
ABHD17C	gga	chr10	12795872	12836704	-	5800	17.513701599413384	22.147370295657563	18.4578507512236	18.89198693000009	19.22085166684503	17.939919062048556	29.844332791680504	23.331979639185807	25.62045516434431	18.49129208682563
ABHD18	gga	chr4	34368752	34388913	+	7691	109.16873996967676	98.24950439669365	101.06034732458457	108.19518024961786	90.69839380292498	126.12861463011689	67.67944028620447	87.79490624230773	62.14735094021051	64.88268076347934
ABHD2	gga	chr10	13423187	13462876	-	7818	211.2258556535311	294.60714699670444	318.8919018821059	674.1354927980644	211.00033146773183	145.12113098407136	95.94983260611276	187.1224767062702	140.42848976728772	232.28326030244784
ABHD3	gga	chr2	102443790	102465927	-	3240	21.334872857467214	20.545220104056803	42.89161140623761	23.374014441454193	30.547424970521565	29.610019472309734	5.145574619255259	18.19894411856493	5.80816363927201	9.57196296259209
ABHD5	gga	chr2	40792849	40822455	-	3411	55.40698324178052	42.645468335255515	74.0723671139182	83.5681258587249	61.65259786887569	44.620972156880974	40.982988438068354	83.26183591240878	73.89274852184946	66.242334593393
ABHD6	gga	chr12	9340623	9350942	+	2430	3.7150276119967787	2.7802018030719067	5.204824754914227	4.4820275114541035	3.089065446457237	3.9357985697351423	49.51858868883296	45.13071490208226	85.50907580039349	58.0844116139111
ABI1	gga	chr2	16014525	16094754	+	3382	40.706088262878986	33.78652021699249	49.06029259724706	36.62732159897977	29.94677335593266	46.817696939988956	106.96741590851815	124.72609687119042	87.50966549836495	113.83021864037072
ABI2	gga	chr7	13596743	13668476	-	16282	110.01788913813317	110.1242646403228	106.8916787629607	111.76152472109747	135.48984277655492	86.26721283663655	42.01210336191941	48.26386645363007	30.331521227309388	50.14403324721539
ABI3	gga	chr27	6040152	6048694	-	5003	17.725988891527486	18.2833610100322	16.289173770009338	18.554630020535804	10.72592168908763	24.804684009261013	26.091090128223726	29.064980350528607	26.91115819529365	14.901805975853597
ABI3BP	gga	chr1	86110406	86243541	-	6036	8.650707153649641	4.759328510343433	3.8072329225761474	3.036212185178586	4.590694482929505	1.3271878897944085	22.216775120784472	37.064516226820885	24.58789273958484	35.894861109720345
ABL1	gga	chr17	6271111	6336808	+	6384	107.25815434064985	104.75234929201439	96.48202925313224	99.80945135721987	123.73423260531489	87.04521953065397	38.44046921443635	43.73079612373111	33.88095456242006	61.13003619291767
ABL2	gga	chr8	6586512	6623428	+	12261	58.0605743932068	55.60403606143814	58.50608567098029	68.53164646545952	63.19713059210431	78.0294948999816	30.75237537154908	30.06492233506514	29.04081819636005	27.41062121105917
ABLIM1	gga	chr6	28773464	28951447	-	5553	187.5558225828088	153.5708080713787	185.2050141956979	207.8600500742102	247.16813940333532	185.34865357473635	41.164596954042075	61.19644945363592	23.03904910244564	34.80713804578942
ABLIM2	gga	chr4	80649183	80786660	-	4301	2.1228729211410164	7.728018571250724	12.38555520382367	10.650839570229643	10.382692195036825	5.079926060937218	1.8160851597371503	1.066604783505637	1.0325624247594685	1.4140399831101953
ABLIM3	gga	chr13	9262728	9297985	-	2587	27.915778913004363	32.796956863356726	33.73497526333295	29.10908190234708	37.58362959856305	40.13599239136883	4.298068211377922	2.3331979639185807	6.195374548556811	2.338604587451477
ABR	gga	chr19	6458820	6489326	+	5454	39.37929268716585	34.16349673266326	36.2891948189853	31.518774112806273	39.98623605691868	46.771931840340876	31.4182732634527	26.065154396919002	23.748935769467774	22.84218434254931
ABRA	gga	chr2	131585439	131592519	-	3142	5.413325948909591	4.57084025250805	1.493977475947602	2.409692210459195	3.904235494827897	1.6933086869790728	0	0	0	0.054386153196545974
ABRACL	gga	chr3	54176654	54179502	-	739	8.491491684564066	9.660023214063404	12.144591094799862	10.024319595510253	8.065893110193896	14.644831887386577	24.638222000434006	29.264968747435912	24.716963042679776	26.75798737270062
ABTB1	gga	chr12	10069634	10096797	-	4916	65.64984508628594	74.82983836064726	48.24101462656612	82.70063666295958	74.30918546199909	47.41264323541404	41.164596954042075	42.99750533507099	22.84544364780324	51.01421169836012
ABTB2	gga	chr5	18776582	18904783	-	5594	5.519469594966642	9.989877665275326	5.012053467695181	4.000089069362264	6.778782507503381	4.668040164104471	60.717780507212055	35.39794625259333	51.821726692615826	30.29308733047611
ACAA1	gga	chr2	4788891	4796965	-	2404	34.762044083684145	45.75552458953935	53.349453737870824	36.28996468951548	49.29633608304674	33.17969724486021	119.61947585468697	132.8589583454209	155.2070394716576	284.4395812179354
ACAA2	gga	chrZ	985735	998075	+	1760	261.7502311766873	331.92782204811033	284.6268055789206	599.6278096506661	464.90434969181416	305.298979752362	148.07147669056897	274.1840921599178	326.61240198172936	439.54889013448457
ACACA	gga	chr19	8590889	8700783	-	11540	103.1716239674534	88.07113847358295	184.53031469043125	139.13562823191393	104.899514119277	164.25094263697005	581.3893958038531	1448.2493076037476	1524.0621389449755	1281.2833831574267
ACACB	gga	chr15	6951098	6972442	+	8373	92.61033118477684	125.62742384728311	85.63864434706093	288.006412994083	87.4806172961987	175.05150615391767	1.6950128157546736	1.2665931804129438	2.904081819636005	3.9158030301513103
ACAD11	gga	chr2	42247127	42275271	-	2680	20.857226450210486	36.47247789114671	26.457859170813986	21.34987298466847	18.748911112525175	15.788959378588652	184.39317988531198	148.52471610315993	147.01107522512933	206.01474830851615
ACAD6L	gga	chr2	23312763	23406447	+	3313	136.65994429845293	146.64386459592836	135.03628669694132	127.13536102382714	146.47318658618065	105.90044058566417	79.96828320042584	82.06190553096494	76.60322488684307	64.8282946102828
ACAD8	gga	chr24	2590723	2597448	+	1780	59.122010853777304	67.3845521761496	74.89164508459915	49.06133340494922	66.2432923518052	40.95976418503433	24.880366688398958	42.66419134022548	39.10830183776487	43.563308710433326
ACAD9	gga	chr12	5621661	5646169	-	2133	398.46324729816877	506.4679488036755	442.5064898113188	705.2687161571973	481.8084022738163	357.0593074543439	349.5358570774102	545.2350327682877	351.1357595697667	547.4510180764318
ACADL	gga	chr7	2771949	2785638	-	1755	734.5671025378202	918.456158367365	839.1816060863096	1028.2156662029386	731.8510886898271	666.0652602782006	713.9030762926737	1000.9419265210712	707.6924718695207	928.4804073714329
ACADS	gga	chr15	9463298	9470871	-	2428	129.495248189602	157.0578408413333	190.9399599904645	167.52180247112327	141.0673220548805	118.2570174906466	70.34303185381896	108.19372272685304	91.5108448943079	127.5355292459003
ACADSB	gga	chr6	32401488	32418776	+	4660	89.3729499800368	101.35956065097749	116.28927901488916	113.7856661778832	120.21613029129414	44.89556275476947	75.91235967701287	74.72899764436369	59.953155787596636	117.85479397691512
ACAP1L	gga	chrCHRUN_26	653908	673247	+	2672	0.9552928145134574	0.9424412891769175	1.0602420797047498	0.6747138189285746	0.8580737351270102	1.5102482883867405	3.026808599561917	3.066488752578706	2.904081819636005	2.7193076598272987
ACAP2	gga	chr9	12850505	12907211	+	3441	73.23911577936506	65.54679166225462	63.8554888913088	58.12177611627579	60.02225777213437	99.6306219338768	23.30642621662676	14.932466969078916	24.84603334577471	19.14392592518418
ACAP3	gga	chr21	2384236	2451686	+	7777	26.058265107005976	21.770393779986794	37.92775076034719	24.241503637219505	33.93681622427326	39.72410649453609	23.488034732600475	9.132803458767016	19.360545464240033	8.593012205054263
ACAT1	gga	chr1	181673273	181685648	-	1563	385.77908159435117	451.8063540314143	471.4221828941756	353.50184727436397	359.14676183741017	302.9649596703098	768.2645587408058	970.0103877994077	795.7184185802654	1117.254745116644
ACAT2	gga	chr3	45699631	45707572	-	1422	4.404961311367609	4.193863736837283	5.349403220328511	4.144670601989816	3.3035838802389894	4.759570363400637	255.40210963103456	306.5155496599324	469.29962205317844	299.2326148873959
ACBD3	gga	chr3	17207830	17230131	+	7990	36.3541987745399	37.60340743815901	38.26510051298052	36.38635237793385	33.507779356709754	26.7268181944805	31.29720091947022	33.531387881458464	22.651838193160838	36.656267254471985
ACBD4	gga	chr27	3749765	3755333	+	2467	4.988751364681389	6.361478701944193	4.192775497014238	2.6988552757142985	6.864589881016082	4.851100562696804	15.194579169800823	19.06556050516326	26.717552740651247	13.161449073564125
ACBD5	gga	chr2	15965513	15992634	-	3880	46.80934791115941	52.68246806498969	50.45788442958514	66.70028038551052	66.0716776047798	53.7282269868495	151.82471935402575	150.79125126810942	134.2331152187309	172.56726409264039
ACBD7	gga	chr2	20620092	20629145	+	4636	11.941160181418217	12.016126437005699	11.277120302314158	14.940091704847012	11.669802797727339	7.871597139470285	24.09339645251286	9.599443051550733	15.746576977581894	5.057912247278775
ACCS	gga	chr5	21945455	21960042	+	3950	10.932795543876233	10.97944101891109	11.228927480509396	9.494187309209229	7.765567302899443	12.676932602519004	38.44046921443635	28.998317551559502	30.912337591236586	19.361470537970366
ACCSL	gga	chr2	22633136	22652583	-	6608	37.150276119967785	55.274181610226215	29.10846437007586	111.27958627900564	24.583812511388846	76.93113250842761	0.8475064078773368	0.5999651907219208	1.6779139402341363	0.7614061447516436
ACD	gga	chr11	1157316	1164555	-	2682	16.98298336912813	16.681210818431442	18.409657929418838	17.205202382678653	15.145001424991731	17.98568416169664	26.151626300214964	30.664887525787062	42.59320002132807	24.20183817246296
ACE	gga	chr27	5066557	5082805	+	4539	210.1113473699321	169.30957760063325	78.12056414551816	168.6302608879345	48.35245497440703	115.0076954156327	1.5134042997809585	1.1332675824747391	0.9680272732120017	0.9789507575378276
ACE2	gga	chr1	123308711	123331184	+	3151	0	0	0.28915693082856814	0.24096922104591953	0.12871106026905155	0.0915301992961661	1.6344766437634353	2.6665119587640924	0.19360545464240034	1.1421092171274654
ACER1	gga	chr28	1806851	1817869	-	1700	0.21228729211410163	0.28273238675307527	0.3373497526333295	0.28916306525510344	0.3432294940508041	0.22882549824041526	20.884979336977228	24.198596025784138	29.944310318024584	30.673790402851928
ACER2	gga	chrZ	33744069	33764641	+	3905	4.882607718624338	5.466159477226122	6.554223765447545	8.289341203979632	6.907493567772432	12.265046705686258	11.865089710282716	12.99924579897495	15.488436371392027	12.56320138840212
ACER3	gga	chr1	194760383	194819421	-	6995	46.33170150390268	45.00157155819781	48.57836437919945	52.19393327854617	62.510671604002695	62.51512611928145	29.904868963671742	40.33099337630689	23.748935769467774	41.387862582571486
ACHE	gga	chr31	2206372	2215401	+	3096	0.7430055223993557	2.733079738613061	0.7710851488761817	2.602467587295931	1.4587253497159174	4.439214665864056	1.5739404717721968	0.7999535876292276	1.0325624247594685	0.5982476851620057
ACHRB	gga	chrCHRUN_43	163624	173367	+	2103	1.0083646375419828	0.9895633536357634	0.28915693082856814	0	0.8151700483706598	0.5949462954250796	2.17930219168458	2.8665003556713993	3.0976872742784054	2.7193076598272987
ACKR1	gga	chr25	3856453	3859311	+	2124	3.0781657356544736	3.864009285625362	4.048197031599954	3.2771814062245057	3.3464875669953402	4.1646240679755575	10.17007689452804	4.666395927837161	8.84131576200295	7.668447600712982
