chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
3	79511095	79536074	-	NC_000069.7	Q921G7	Etfdh	0.340408190602741
5	115248358	115257405	-	NC_000071.7	Q07417	Acads	0.54075432530389
15	4055910	4184826	+	NC_000081.7	Q9D0K2	Oxct1	0.724435961824544
X	95139651	95212159	+	NC_000086.8	P26041	Msn	1.81551569493631
7	105240818	105249323	-	NC_000073.7	Q91X72	Hpx	8.26037960679051
1	55116992	55127402	-	NC_000067.7	P63038	Hspd1	0.734513880434355
13	74470374	74498359	-	NC_000079.7	Q8K2B3	Sdha	0.829850756449568
7	28524763	28531664	+	NC_000073.7	O35459	Ech1	0.301300600918717
6	125138815	125143430	-	NC_000072.7	D2KHZ9	Gapdh	2.69773937962692
6	124787549	124791121	-	NC_000072.7	P17751	Tpi1	0.765596604870531
9	53491822	53521650	-	NC_000075.7	Q8QZT1	Acat1	0.703072314767013
1	175428944	175453201	-	NC_000067.7	P97807	Fh	1.16680960953432
7	120234412	120258746	+	NC_000073.7	Q9DB77	Uqcrc2	0.326587831734969
15	76899687	76934868	-	NC_000081.7	Q3UVB1	Mb	0.285759049932991
11	5751637	5753796	-	NC_000077.7	Q5NCI4	Pgam2	0.97498967065717
5	30360251	30389591	+	NC_000071.7	Q99JY0	Hadhb	0.460256574767309
14	55179378	55205553	-	NC_000080.7	B2RQQ1	Myh6	2.6181830045466
8	46660205	46664099	-	NC_000074.7	P48962	Slc25a4	0.799834255183762
1	135763933	135780006	+	NC_000067.7	Q6P3Z7	Tnnt2	0.574116452852965
9	46139928	46141767	+	NC_000075.7	Q3V2G1	Apoa1	2.04644463216365
2	113877763	113883356	-	NC_000068.8	Q9CXK3	Actc1	1.20503596750905
11	6241597	6309094	+	NC_000077.7	Z4YJV4	Ogdh	0.885115619560042
4	130202531	130209256	+	NC_000070.7	Q5EBJ0	Fabp3	0.365594796107122
9	110592746	110598870	+	NC_000075.7	P09542	Myl3	0.384591778532538
19	43488191	43514743	-	NC_000085.7	P05201	Got1	1.97696965828972
13	100085040	100152147	-	NC_000079.7	B2RUK5	Mccc2	0.599791081742488
9	55361720	55419528	-	NC_000075.7	Q99LC5	Etfa	0.503500616528187
9	54493795	54511946	+	NC_000075.7	A0A1L1STE6	Idh3a	0.479733452079722
11	52251678	52280224	+	NC_000077.7	Q60932	Vdac1	0.792501333844157
14	34248656	34312276	-	NC_000080.7	Q9JKS4	Ldb3	1.11686325872369
7	43093496	43107224	+	NC_000073.7	Q9DCW4	Etfb	0.403645392694368
3	94840394	94852069	+	NC_000069.7	P17563	Selenbp1	1.08143394591228
7	126394406	126400166	-	NC_000073.7	A6ZI44	Aldoa	1.00461577797173
11	70543973	70553339	+	NC_000077.7	P21550	Eno3	0.772680578335
14	30930269	30933686	+	NC_000080.7	P19123	Tnnc1	0.729457505223464
11	21506692	21521934	-	NC_000077.7	P14152	Mdh1	0.682338690525704
2	103284249	103315498	-	NC_000068.8	Q8C6E3	Cat	0.885115628272852
9	59563859	59586655	+	NC_000075.7	P52480	Pkm	0.933254302280997
9	40712572	40716498	+	NC_000075.7	Q3TEK2	Hspa8	1.02801631647779
17	66385790	66408554	-	NC_000083.7	Q9D6J6	Ndufv2	0.753355561422383
6	142435975	142453683	-	NC_000072.7	P16125	Ldhb	0.968277860472007
18	35070467	35087404	-	NC_000084.7	P38647	Hspa9	0.818464791418003
9	108765716	108778709	+	NC_000075.7	Q9CZ13	Uqcrc1	0.31695674697202
7	4521304	4526228	-	NC_000073.7	Q497F1	Tnni3	0.421696505292001
7	33900752	33929761	-	NC_000073.7	P06745	Gpi	0.622300286931034
6	50539543	50543549	-	NC_000072.7	Q56A15	Cycs	0.571478638497304
7	139685623	139696334	-	NC_000073.7	Q8BH95	Echs1	0.427562889993177
9	57423012	57439710	+	NC_000075.7	P12787	Cox5a	0.395366619599519
14	73790226	73833584	+	NC_000080.7	Q3UCC6	Sucla2	0.490907879346827
12	85157597	85180865	+	NC_000078.7	Q9D2G2	Dlst	0.384591785433153
11	6365867	6369817	+	NC_000077.7	Q5SVY2	Ppia	2.33345802200507
10	128173596	128198351	+	NC_000076.7	Q9CZU6	Cs	0.797994676868906
3	20011097	20063914	+	NC_000069.7	G3X9T8	Cp	1.29419584536738
10	77997900	78005589	-	NC_000076.7	Q9D172	Gatd3	0.582103227742687
12	104304745	104311998	+	NC_000078.7	A0A0R4J0I1	Serpina3k	1.58489316511521
12	111635789	111638772	-	NC_000078.7	Q04447	Ckb	2.17270116243746
16	91722111	91728518	-	NC_000082.7	Q3TF25	Atp5o	0.699841987610231
1	36730568	36732469	+	NC_000067.7	Q9D881	Cox5b-ps	0.353997335027978
13	25091562	25121740	-	NC_000079.7	B2RS41	Aldh5a1	0.679203627554709
16	22876970	22900828	+	NC_000082.7	A0A0R4J038	Kng1	1.80301773386947
X	158905215	158921426	-	NC_000086.8	Q3UFJ3	Pdha1	0.403645394294249
13	30724295	30729299	-	NC_000079.7	Q9CR68	Uqcrfs1	0.597035300364149
6	34280865	34294424	-	NC_000072.7	Q3UDY1	Akr1b3	0.391741871898423
5	121736340	121757001	-	NC_000071.7	D3Z7X0	Acad12	0.282487995136349
11	5846637	5848782	-	NC_000077.7	Q5SVI8	Myl7	12.1059815133463
4	140688582	140706509	+	NC_000070.7	Q9CQA3	Sdhb	0.438530703134353
2	90948459	90966861	+	NC_000068.8	Q3UIK0	Mybpc3	0.855066731245475
10	90952436	90959902	-	NC_000076.7	G5E902	Slc25a3	1.05925375080876
4	116542796	116557197	+	NC_000070.7	B1AXW6	Prdx1	1.11429453949615
4	15917240	15945377	-	NC_000070.7	Q4FJK0	Decr1	0.377572192020853
13	52989143	53083742	-	NC_000079.7	A0A0R4J023	Auh	0.558470194480932
2	90724971	90735065	-	NC_000068.8	Q9DCT2	Ndufs3	0.375837395424377
8	85696251	85701440	+	NC_000074.7	Q61171	Prdx2	2.27509743075298
14	14296470	14303782	+	NC_000080.7	Q9D051	Pdhb	1.36772880483273
14	25693998	25700892	+	NC_000080.7	Q99KR7	Ppif	0.642687722253133
1	161067682	161078780	-	NC_000067.7	Q6GT24	Prdx6	0.707945762480498
3	101993731	102053830	+	NC_000069.7	O09161	Casq2	0.639734832799959
12	103694415	103704448	-	NC_000078.7	P22599	Serpina1b	2.46603927683848
6	34453291	34482071	+	NC_000072.7	P15327	Bpgm	2.2646443058903
15	36770505	36803228	-	NC_000081.7	P63101	Ywhaz	1.03992018746918
11	115306517	115310745	-	NC_000077.7	Q9DCX2	Atp5pd	0.334195037021162
2	25112170	25114714	-	NC_000068.8	P68372	Tubb4b	1.03992017226205
7	30316396	30325539	-	NC_000073.7	P56391	Cox6b1	0.5093308652712
11	69901009	69906254	-	NC_000077.7	P50544	Acadvl	0.481947803669388
17	24941034	24943397	-	NC_000083.7	Q9DCS9	Ndufb10	0.433510880374192
19	6884065	6887474	-	NC_000085.7	Q3UWS9	Prdx5	0.474241983318928
1	55127307	55130476	+	NC_000067.7	Q4KL76	Hspe1	0.494310676088312
7	30251961	30254868	+	NC_000073.7	Q5EBG6	Hspb6	0.454988057367595
2	35926336	35939350	-	NC_000068.8	Q9DCJ5	Ndufa8	0.774461806275358
16	84624759	84634932	-	NC_000082.7	P97450	Atp5pf	0.354813382428716
8	46924074	46989088	+	NC_000074.7	D3Z041	Acsl1	0.381065828334064
16	90017650	90023221	+	NC_000082.7	P08228	Sod1	1.26182753045454
19	3958863	3962774	-	NC_000085.7	Q8VC72	Ndufs8	1.01391138715155
10	44943312	45038847	+	NC_000076.7	Q8C6A3	Prep	1.30918190870143
2	32511770	32525070	+	NC_000068.8	Q9R0Y5	Ak1	0.647142624726397
16	4294843	4359772	-	NC_000082.7	Q7TQ48	Srl	1.18576874597653
3	10269402	10273676	-	NC_000069.7	Q542H7	Fabp4	0.729457503686659
19	6434438	6448494	+	NC_000085.7	Q9WUB3	Pygm	1.65576995290435
5	135916773	135918417	+	NC_000071.7	Q545F4	Hspb1	1.04231742751628
9	108216279	108217541	+	NC_000075.7	P11352	Gpx1	3.36511570269976
5	17986688	18093957	-	NC_000071.7	Q3UAI3	Cd36	0.503500614387717
5	89565370	89605757	-	NC_000071.7	P21614	Gc	1.33352144372918
14	122408289	122639646	+	NC_000080.7	Q8R4N0	Clybl	0.629506190468206
6	32769142	33037206	-	NC_000072.7	Q9CRB9	Chchd3	0.414954041463293
4	107761179	107780786	-	NC_000070.7	Q3UN55	Cpt2	0.519995994707226
10	81012465	81018343	+	NC_000076.7	Q8C153	Eef2	0.86099375615579
3	133015842	133083996	+	NC_000069.7	Q91VM9	Ppa2	0.712853014013548
5	117420716	117425629	-	NC_000071.7	Q5EBQ2	Pebp1	0.657657828540015
7	48480146	48497799	-	NC_000073.7	Q545C7	Csrp3	0.814704311047596
1	171062422	171078956	-	NC_000067.7	Q91WD5	Ndufs2	0.564936967732512
7	141929647	141941564	-	NC_000073.7	Q8C243	Ctsd	0.58076441446
9	50657251	50667936	+	NC_000075.7	Q52L78	Cryab	0.872971371601602
4	148085179	148086531	+	NC_000070.7	P05125	Nppa	11.6412605142054
7	132159204	132178127	-	NC_000073.7	Q3UKT3	Oat	0.897428808830292
12	100165694	100176083	+	NC_000078.7	P0DP28	Calm3	1.11429453479822
9	100864085	100916993	-	NC_000075.7	Q7TMF4	Pccb	0.818464793223187
17	24645657	24658290	+	NC_000083.7	P42125	Eci1	0.501187236970473
9	119956832	119961435	+	NC_000075.7	B2CY77	Rpsa	1.11173172323714
2	10060841	10085321	-	NC_000068.8	Q8C2Q8	Atp5c1	0.60534087777026
2	30061421	30064081	+	NC_000068.8	Q3UN47	Endog	1.03992014288938
9	46152142	46154756	+	NC_000075.7	Q9DBN0	Apoa4	1.97696970707811
3	105850014	105866579	-	NC_000069.7	Q5I0W0	Atp5pb	0.459198007149644
13	67048640	67053414	-	NC_000079.7	Q9CQB4	Uqcrb	0.553350112499567
17	30811835	30831633	-	NC_000083.7	A5GZX3	Glo1	3.41979450280015
5	121704090	121731887	-	NC_000071.7	Q544B1	Aldh2	0.946237178945769
7	46491698	46505051	+	NC_000073.7	Q564E2	Ldha	1.37088179457006
4	150981590	150994378	-	NC_000070.7	Q99LX0	Park7	0.933254290488587
6	73225488	73253890	+	NC_000072.7	Q9WUM5	Suclg1	0.731139079615161
2	180783551	180798808	-	NC_000068.8	P62631	Eef1a2	0.909913266687876
19	60852504	60862976	-	NC_000085.7	P20108	Prdx3	0.434510225691282
12	112586481	112607789	+	NC_000078.7	Q3UBP0	Adssl1	0.970509960461786
15	76227711	76230460	+	NC_000081.7	Q9D0M3	Cyc1	0.613762015585673
3	122799855	122828649	-	NC_000069.7	Q9JJW5	Myoz2	0.928966370101729
9	50545933	50571080	-	NC_000075.7	Q8BMF4	Dlat	1.03276141968995
8	121394964	121400948	+	NC_000074.7	A2RSV8	Cox4i1	0.594292148614874
16	22710765	22718201	+	NC_000082.7	Q3UEK9	Ahsg	1.49623567015499
11	120468925	120472450	-	NC_000077.7	Q99PT1	Arhgdia	1.18304156507909
8	119010150	120051668	+	NC_000074.7	Q8VDK4	Cdh13	1.16949938100115
2	118692440	118713390	+	NC_000068.8	Q9JHI5	Ivd	0.56104797481929
3	101483535	101512023	-	NC_000069.7	Q8VDN2	Atp1a1	1.23310483406705
2	34662102	34666541	+	NC_000068.8	Q9DC41	Hspa5	0.974989644940964
10	79974451	79981662	+	NC_000076.7	Q4FK74	Atp5d	0.516416375942512
3	36503072	36530036	-	NC_000069.7	P48036	Anxa5	1.22179966326229
15	78810925	78814665	+	NC_000081.7	P16045	Lgals1	0.48305880440781
4	115924162	115932267	-	NC_000070.7	P99028	Uqcrh	0.501187225068361
6	11900371	11907449	-	NC_000072.7	Q62425	Ndufa4	0.749894208483423
11	75620121	75656667	+	NC_000077.7	Q5SS40	Ywhae	1.0375284083156
11	104427604	104478041	+	NC_000077.7	Q9CZ19	Myl4	10.6169552707743
8	93825643	93857911	-	NC_000074.7	P23953	Ces1c	1.17760594807369
4	128887017	128905322	+	NC_000070.7	Q9WTP6	Ak2	0.926829815371539
14	20979436	21083744	+	NC_000080.7	Q64727	Vcl	0.837529291908041
2	130121229	130126371	-	NC_000068.8	Q91VA7	Idh3b	0.601173748705247
X	150784892	150787438	+	NC_000086.8	Q99N15	Hsd17b10	0.699841994725699
15	98927772	98935986	+	NC_000081.7	Q52L87	Tuba1c	1.5170503904926
5	32616192	32651057	+	NC_000071.7	P62141	Ppp1cb	0.895364762749954
5	108581112	108582265	-	NC_000071.7	Q06185	Atp5me	0.386366976551958
5	92479659	92562487	+	NC_000071.7	A0A0R4J1N4	Art3	0.691830983338703
13	25001938	25015472	-	NC_000079.7	Q4VA32	Acot13	0.441570451354541
3	14831274	14873425	-	NC_000069.7	P13634	Ca1	2.80543365317567
8	27530801	27546160	+	NC_000074.7	Q544R1	Plpbp	0.950604785406461
14	21881629	21895947	+	NC_000080.7	G3UX26	Vdac2	0.91833259123912
7	44984693	44988397	+	NC_000073.7	Q9QZV4	Hrc	0.668343921210939
13	12284312	12355613	-	NC_000079.7	Q8K3Q4	Actn2	1.61808007670301
13	73467995	73476601	-	NC_000079.7	P52503	Ndufs6	0.509330881326221
17	45878704	45884187	-	NC_000083.7	Q71LX8	Hsp90ab1	1.0739894125321
4	43654227	43656445	-	NC_000070.7	Q5M9J2	Hint2	0.993116058649836
8	70346813	70355208	-	NC_000074.7	Q9ERS2	Ndufa13	0.794328238077721
17	13226726	13237006	+	NC_000083.7	Q4FJX9	Sod2	0.413999673978451
12	84477491	84497798	-	NC_000078.7	Q8K0L1	Aldh6a1	0.824138116186447
3	141945346	142101480	-	NC_000069.7	D9J302	Pdlim5	0.51404365078422
14	30271088	30296681	+	NC_000080.7	P40142	Tkt	1.48593565270081
3	107919566	107925289	-	NC_000069.7	A2AE89	Gstm1	0.950604789068316
5	45591374	45607571	-	NC_000071.7	Q8BVI4	Qdpr	0.554625711764082
3	90418341	90421637	-	NC_000069.7	Q91V77	S100a1	1.25025903153651
4	89055607	89099327	+	NC_000070.7	Q9CQ65	Mtap	1.03514217085365
6	40448302	40458757	+	NC_000072.7	Q8R2K3	Ssbp1	1.22179969285529
12	84034635	84040651	+	NC_000078.7	Q9QYR9	Acot2	0.59292532233208
3	14951329	14965830	+	NC_000069.7	P00920	Ca2	3.62242991118659
11	70542670	70547625	-	NC_000077.7	Q8CEH8	Pfn1	1.18032064007905
6	24518661	24527689	-	NC_000072.7	Q9CPP6	Ndufa5	0.5754399410801
12	113103856	113109126	+	NC_000078.7	Q4FJU3	Crip2	0.691830971187993
9	51958450	52000038	+	NC_000075.7	Q3U111	Rdx	1.09900585074821
10	97401363	97408565	+	NC_000076.7	P51885	Lum	1.36458312544257
8	95565041	95581523	+	NC_000074.7	Q8K1Z0	Coq9	0.51760683149863
6	128460530	128503683	-	NC_000072.7	Q61838	Pzp	1.80717414904618
14	55895346	55897908	-	NC_000080.7	Q9D967	Mdp1	1.39315679373862
11	95557783	95571599	+	NC_000077.7	P67778	Phb	1.07894674133495
2	122065320	122095818	+	NC_000068.8	Q64442	Sord	0.619441078455367
2	71104614	71198125	-	NC_000068.8	Q8BH59	Slc25a12	2.2438819547762
6	51437414	51448054	-	NC_000072.7	O88569	Hnrnpa2b1	1.10917481591338
13	23805760	23806541	-	NC_000079.7	P43274	H1-4	0.790678628031556
7	19430169	19434326	-	NC_000073.7	Q6GTX3	Apoe	0.988553087732896
11	30455992	30599778	-	NC_000077.7	P56375	Acyp2	0.608134991886258
18	36875385	36877640	-	NC_000084.7	Q9CQ75	Ndufa2	0.384591774625744
12	54905602	54910065	-	NC_000078.7	Q3UHW9	Cfl2	1.24451463418003
1	120041010	120048826	-	NC_000067.7	Q548W7	Dbi	1.08893008214613
13	114424331	114524630	-	NC_000079.7	Q923F9	Ndufs4	0.571478637506618
3	14928598	14937441	+	NC_000069.7	P16015	Ca3	2.55270128275088
7	127602684	127610565	+	NC_000073.7	Q1XH17	Trim72	0.950604794828629
9	69360965	69399074	+	NC_000075.7	Q542G9	Anxa2	1.19674055733259
11	70868672	70873852	-	NC_000077.7	Q8R5L1	C1qbp	0.509330874278082
6	126798826	126826107	-	NC_000072.7	A0A0R3P9C8	Ndufa9	1.20781386104076
4	141148090	141152621	+	NC_000070.7	P35385	Hspb7	0.677641507621345
5	45650716	45670033	+	NC_000071.7	Q9CPY7	Lap3	0.642687714461734
6	71806200	71852250	+	NC_000072.7	Q3U7N2	Immt	0.961612293929507
7	126086445	126089903	+	NC_000073.7	Q8BFR5	Tufm	0.399024909527239
7	121686038	121701071	-	NC_000073.7	Q569N0	Ndufab1	0.503500607222789
8	23067091	23083829	-	NC_000074.7	Q5EBQ0	Vdac3	0.926829830827896
17	7005530	7050179	-	NC_000083.7	Q4KML7	Ezr	1.29121928963602
1	9618173	9648195	+	NC_000067.7	A0A087WRE7	Adhfe1	1.3995873297796
4	107901027	108002168	-	NC_000070.7	P32020	Scp2	0.847227429596952
19	41900310	41907104	+	NC_000085.7	Q3U7Z6	Pgam1	1.0351421675459
17	12597496	12638271	+	NC_000083.7	Q3V1T9	Plg	1.42232878195811
17	34043546	34057290	+	NC_000083.7	Q9Z1P6	Ndufa7	1.0000000109585
15	35932122	35938392	-	NC_000081.7	Q9CPQ1	Cox6c	0.557185747838071
3	82949553	82957170	-	NC_000069.7	Q3TGR2	Fgb	1.0139113786488
8	15107653	15183420	+	NC_000074.7	Q3UQS9	Myom2	0.966050890956002
12	104304745	104311998	+	NC_000078.7	P07759	Serpina3k	9.77237202295471
10	117650502	117681879	-	NC_000076.7	Q52L50	Rap1b	1.31219992095634
4	123606503	123611979	-	NC_000070.7	B1ARW4	Ndufs5	0.591561628329101
6	60708557	60806839	-	NC_000072.7	O55042	Snca	1.58854677276314
9	50662372	50663654	-	NC_000075.7	Q6P3C8	Hspb2	0.826037959862192
7	27147403	27165406	+	NC_000073.7	Q3U6G1	Blvrb	3.30369539370724
7	141027564	141031272	+	NC_000073.7	P99027	Rplp2	1.01859141352629
1	4878046	4916958	+	NC_000067.7	J3QP56	Lypla1	0.96605088428425
1	171049133	171053948	+	NC_000067.7	A7YL62	Apoa2	0.833681194657344
2	13579122	13587637	+	NC_000068.8	Q5FWJ3	Vim	1.41253754591232
8	72889132	72906986	+	NC_000074.7	Q6IRU2	Tpm4	3.81065827570017
14	67040313	67148490	-	NC_000080.7	O08553	Dpysl2	1.4421153504178
15	77799251	77813194	-	NC_000081.7	G3UZY2	Txn2	0.680769357000212
17	25067870	25069276	-	NC_000083.7	Q8R0F8	Fahd1	1.16412602266993
4	150321165	150333336	+	NC_000070.7	Q5FW97	EG433182	0.470977325132738
10	75695187	75696111	-	NC_000076.7	Q545F0	Mif	0.831763766429417
12	103612889	103623477	-	NC_000078.7	Q91WQ0	Serpina6	0.498884488295388
1	172327813	172334942	+	NC_000067.7	Q9WVA4	Tagln2	3.67282294597278
9	65967451	65973911	+	NC_000075.7	Q9DCY1	Ppib	1.75388048208254
10	79540192	79547813	+	NC_000076.7	J3QP71	Bsg	0.769130433162963
9	44824546	44832470	-	NC_000075.7	Q9D037	Atp5l	0.726105970932238
7	4880052	4898716	+	NC_000073.7	P85094	Isoc2a	0.459198019858472
15	74915867	74920764	-	NC_000081.7	A0A087WRP7	Ly6c1	0.724435951056924
5	129802080	129835391	+	NC_000071.7	Q7TMG8	Nipsnap2	0.907820529903238
17	31739089	31750300	+	NC_000083.7	Q8BK30	Ndufv3	0.488652358763419
16	31241115	31277719	+	NC_000082.7	Q80XN0	Bdh1	0.338064834971767
4	135673745	135689979	+	NC_000070.7	Q3UMP2	Hmgcl	0.644169273577941
11	120236513	120239321	-	NC_000077.7	Q4KL81	Actg1	2.48885733343038
4	63262793	63266400	+	NC_000070.7	Q60590	Orm1	5.19995999504055
3	32791206	32805708	+	NC_000069.7	Q8BU20	Ndufb5	0.47533523201276
19	47843412	47853229	+	NC_000085.7	O09131	Gsto1	0.833681184319138
8	93892700	93924432	-	NC_000074.7	Q8VCT4	Ces1d	0.922571433630816
19	5540483	5544059	+	NC_000085.7	Q544Y7	Cfl1	1.57761128293172
15	82234340	82238492	-	NC_000081.7	Q9CQZ5	Ndufa6	0.451855950006544
11	54869779	54924297	-	NC_000077.7	Q99JX6	Anxa6	1.0814339462811
18	56657794	56706112	-	NC_000084.7	Q9DBF1	Aldh7a1	2.34422886391817
8	86264262	86281990	-	NC_000074.7	Q3TFF0	Dnaja2	0.796159362642766
11	100847562	100861443	-	NC_000077.7	O54724	Cavin1	1.05925372221806
12	103819554	103829878	-	NC_000078.7	A0A0A0MQA3	Serpina1a	6.90239807566317
10	95351024	95381520	+	NC_000076.7	A2RTT4	Ube2n	0.707945788409134
11	4651968	4654344	-	NC_000077.7	Q5NCJ9	Uqcr10	0.801678061158701
11	70534845	70538356	-	NC_000077.7	Q5SX53	Slc25a11	0.346736856403578
2	26275554	26287133	+	NC_000068.8	Q3TTM6	Pmpca	0.626613863213168
1	179992803	180023585	-	NC_000067.7	Q60936	Coq8a	1.48593560676442
X	93410615	93460699	+	NC_000086.8	Q3KNM9	Apoo	1.12201847285072
6	124689252	124693908	+	NC_000072.7	Q3V235	Phb2	1.17760596708363
11	120451124	120464079	-	NC_000077.7	Q3URP6	P4hb	3.49140311142242
2	36025672	36080296	+	NC_000068.8	Q9D6S7	Mrrf	0.586138164561394
8	84293387	84298252	+	NC_000074.7	Q9CR61	Ndufb7	0.803526114760405
19	47071910	47079086	-	NC_000085.7	Q78IK2	Atp5mk	0.477529272950863
2	151384403	151403611	+	NC_000068.8	Q3ULN5	Fkbp1a	1.51705035459709
6	124890638	124894909	-	NC_000072.7	Q66JR8	Ptms	4.58141884004459
13	58538946	58551157	-	NC_000079.7	Q3U9Q3	Hnrnpk	1.21618599155267
X	20524541	20549418	+	NC_000086.8	A0A1S6GWH5	Uba1	0.691830983954292
2	154901230	154916417	-	NC_000068.8	Q5M9P0	Ahcy	3.30369541079106
6	6041218	6217304	-	NC_000072.7	Q8C140	Slc25a13	1.164126028668
15	97990470	98030328	+	NC_000081.7	Q99K08	Pfkm	1.14815361957352
9	54858065	54865318	+	NC_000075.7	Q3TL95	Psma4	1.17489755768161
2	32285902	32292752	+	NC_000068.8	Q8BWM0	Ptges2	1.33045441088166
8	123301376	123303646	-	NC_000074.7	P08030	Aprt	1.79887093862224
5	114569095	114582134	-	NC_000071.7	Q9D273	Mmab	0.966050891513019
11	55337463	55352034	-	NC_000077.7	O08997	Atox1	2.25943574321269
12	30943325	30961616	-	NC_000078.7	Q561M1	Acp1	1.5812480441015
12	84820007	84821863	+	NC_000078.7	A0A1Y7VK19	Isca2	0.80723503093858
6	42222869	42227375	+	NC_000072.7	Q9DCM2	Gstk1	0.701455308576676
11	120375463	120379580	+	NC_000077.7	Q9DB15	Mrpl12	1.26182751885387
9	107962612	107971736	-	NC_000075.7	A0A0R4J107	Apeh	0.891250938899238
12	65109206	65120712	-	NC_000078.7	Q3UBU9	Fkbp3	0.845278840114361
14	66321821	66361971	-	NC_000080.7	Q3UQ71	Ephx2	1.02565192749529
2	174302868	174305894	-	NC_000068.8	Q6VEU5	Atp5e	1.06169557444656
11	116062709	116089871	-	NC_000077.7	Q9R0H0	Acox1	0.879022531031137
9	45840926	45847356	-	NC_000075.7	P37804	Tagln	2.7289777728712
16	37467964	37474730	-	NC_000082.7	Q4VAE8	Ndufb4	0.895364762240764
13	119472063	119545793	-	NC_000079.7	Q922E1	Nnt	1.43879858559952
13	21995916	21996320	+	NC_000079.7	B2RTM0	Hist2h4	1.07646522058867
11	54757209	54761332	+	NC_000077.7	P70349	Hint1	1.52405275623726
2	91442742	91466802	-	NC_000068.8	Q3TJ94	F2	1.18576874363426
19	5149235	5157024	-	NC_000085.7	Q0PD66	Rab1b	1.0568175073334
4	40270591	40279421	-	NC_000070.7	A2AP31	Ndufb6	1.07646519047279
1	86272441	86287177	-	NC_000067.7	Q8CE30	Ncl	1.55596562668703
2	30290488	30306029	-	NC_000068.8	P47934	Crat	2.02768272136879
19	44537010	44543881	-	NC_000085.7	Q9D6J5	Ndufb8	0.770903459776649
14	66205932	66218997	+	NC_000080.7	Q549A5	Clu	1.28233058327153
19	28968715	29026122	-	NC_000085.7	Q9D8W6	Ak3	0.866961858668079
10	127102131	127117828	+	NC_000076.7	Q3TPZ5	Dctn2	0.847227417223367
14	52142728	52151461	-	NC_000080.7	A0A2I3BPW0	Ndrg2	1.06414302343053
19	4036570	4040007	+	NC_000085.7	Q91XE4	Acy3	1.05681750645531
4	57943373	57956411	-	NC_000070.7	P10639	Txn	1.74582215284951
15	58805650	58811365	+	NC_000081.7	Q9CQJ8	Ndufb9	0.475335233854222
17	56585962	56597511	-	NC_000083.7	Q9DBG5	Plin3	0.699842002436315
11	78389946	78393151	+	NC_000077.7	P29788	Vtn	2.07491351771816
17	71326455	71433851	+	NC_000083.7	Z4YJF5	Myom1	0.633869703772839
3	82933460	82940934	+	NC_000069.7	E9PV24	Fga	1.10917481943344
7	24286968	24308350	+	NC_000073.7	Q9DCM0	Ethe1	1.44211537162624
13	74840485	74956993	-	NC_000079.7	Q921U7	Cast	1.08143395716108
17	33961458	33979460	-	NC_000083.7	Q78ZJ8	Rab11b	0.995405423089892
4	43513726	43523583	-	NC_000070.7	A2AIM4	Tpm2	0.816582370959272
14	55715880	55727797	+	NC_000080.7	Q3UIB5	Dhrs4	0.839459978503317
1	58625556	58635123	+	NC_000067.7	Q9D6H6	Ndufb3	0.70631755856364
9	46144348	46146934	-	NC_000075.7	E9QP56	Apoc3	1.46554785606069
4	132257866	132262784	-	NC_000070.7	O35143	Atp5if1	0.58076440927646
