chromosome_name	X4.x	X5.x	X7.x	X1.x	Accession	geneName	Geomean
3	479215181	479261337	+	NC_008803.1	F7GGJ7	TPM4	1.51306964210783
3	15143879	15266904	+	NC_008803.1	F6RXC0	ITGA2	0.479406792091822
1	345727262	345752585	-	NC_008801.1	F7B2X8	SPARC	1.84135924078275
1	73738693	73750050	-	NC_008801.1	F6UBE9	PGAM1	1.44833054805037
2	190977221	191003779	+	NC_008802.1	F6V6C6	LMNA	0.644787882211474
7	174644463	174988780	+	NC_008807.1	F6VHK2	TNS1	1.55055718290684
8	206464913	206474234	+	NC_008808.1	F7BD64	ZYX	1.39714063224213
3	106184049	106204361	+	NC_008803.1	F7GDM7	CCT5	0.811878999104793
8	260383139	260408113	-	NC_008808.1	F6RPA6	SRI	1.42864698396845
X	58764673	58847989	+	NC_008809.1	F6X6Y2	SH3BGRL	2.83933968463243
6	291823416	291853650	+	NC_008806.1	F7DEX0	FKBP9	1.29329019712813
3	476537643	476544635	NA	ENSMODG00000037004	F7BJN2	NA	0.733956087163985
1	14931670	15042662	-	NC_008801.1	F7FX61	IQGAP1	1.16737485319722
7	186642553	186666947	+	NC_008807.1	F6ZQM3	IDH1	1.46811330193767
5	28378361	28579768	-	NC_008805.1	F6Q8E9	PDLIM5	1.51234674783907
3	496982854	496987955	+	NC_008803.1	F6PIV8	RPL6	0.749832032096756
1	201684017	201709382	+	NC_008801.1	F7E4L7	PDIA3	0.830138928626043
6	13285992	13293116	-	NC_008806.1	F6VVN3	RPS6	0.645711831129547
2	516764247	516803075	-	NC_008802.1	F6TA21	YWHAE	1.22940539579454
1	50165657	50206186	-	NC_008801.1	F6TF19	LOC100010438	1.42886383741855
8	108477779	108483912	-	NC_008808.1	F7CD13	PHB2	0.733453133742699
1	460615813	460620218	+	NC_008801.1	F6SJL4	RPL7A	0.714623255140189
8	266353962	266360512	+	NC_008808.1	F7BC17	RPSA	0.777462715686452
1	709220455	709240714	+	NC_008801.1	F6XJK0	GOT2	0.820274271045092
2	191187929	191205834	-	NC_008802.1	F6XJH1	CCT3	0.865749876402165
NA	78563	101635	-	NW_001583226.1	H9H7N3	FUBP1	0.724515494169358
8	187324508	187875210	+	NC_008808.1	F7BW23	SND1	0.863537707504507
3	152215221	152220257	-	NC_008803.1	F7BV76	FABP5	1.83929352560831
DS029608.1	8016	9905	+	NW_001586553.1	H9H5V6	RPL28	0.719664811727976
1	717325408	717367679	+	NC_008801.1	F6RDZ5	IMMT	0.803406472986136
1	121841829	121865846	+	NC_008801.1	F6VD67	IDH2	0.869429317968277
2	404483075	404753264	-	NC_008802.1	F6QKM6	EPB41L2	0.625662001478977
4	5856777	5871457	+	NC_008804.1	F6RKL8	CCT8	0.875248688539213
3	437858368	437896960	-	NC_008803.1	F6WZ33	GSDMD	1.53506841218587
2	105183890	105223034	-	NC_008802.1	F6QMP7	CSRP1	1.77885049494243
2	184076096	184082465	-	NC_008802.1	F6PJ02	NME2	1.65409930150027
1	454484249	454491696	+	NC_008801.1	F7AFN2	SET	0.685446119637838
3	277123834	277186257	+	NC_008803.1	F7BT84	VAPA	0.765669065977479
6	61229809	61251833	+	NC_008806.1	F7AY64	LOC100026672	0.776629365109186
1	654892197	655019982	+	NC_008801.1	F6SUE6	LRPPRC	0.857307305475214
4	425690207	425692137	NA	ENSMODG00000040676	F6ZTX1	NA	0.527261657317288
2	442164100	442176346	-	NC_008802.1	F7CRE5	TCP1	0.853196289230796
2	255549933	255558031	-	NC_008802.1	F7EK35	ACADVL	0.814546290143
6	57687810	57693973	-	NC_008806.1	F6WX66	RPS15A	0.738606832959265
2	202379826	202392359	-	NC_008802.1	F7CE42	PHB	0.772177865179898
5	184996444	185003193	+	NC_008805.1	F7AQ39	RPL9	0.810527276812703
1	735802155	735952921	-	NC_008801.1	F7DMI7	DPYSL2	1.16659790968242
4	202473897	202605042	+	NC_008804.1	F7D459	ITGAV	1.20031232969769
NA	10590	165922	-	NW_001583457.1	H9H6E2	HK1	0.797217147479444
7	189338894	189342565	-	NC_008807.1	F7EG66	EEF1B2	0.557248229622821
1	690319575	690329921	+	NC_008801.1	F6QIS8	COX4I1	0.732553327000861
2	193248045	193251291	NA	ENSMODG00000041619	F7DJF3	NA	0.657323279898925
4	429147232	429175656	+	NC_008804.1	F6WXU2	YBX1	0.672082780951498
8	92649751	92654625	+	NC_008808.1	F6US49	LGALS1	1.43789042931028
2	9128510	9137003	-	NC_008802.1	F7GDV9	AKR1A1	1.40043804494325
X	71766142	71774736	-	NC_008809.1	F7C1J2	UBA1	1.19704062024079
NA	123506	126113	+	NW_001584359.1	H9H6D3	RPS19	0.651966128919646
8	67344800	67359573	-	NC_008808.1	F6SHS6	LUM	1.63200945964915
4	92805445	92835725	-	NC_008804.1	F6XU08	TFRC	0.633900128141512
DS029334.1	538070	544794	+	NW_001583347.1	H9H5Z3	PA2G4	0.753088867217164
6	166461749	166489856	NA	ENSMODG00000042741	F6TLA1	NA	0.830384751131704
8	268897618	268942640	-	NC_008808.1	F6SRK5	CTNNB1	0.806400488219856
2	165998568	166006073	NA	ENSMODG00000048991	F6TUI5	NA	1.18324284128932
3	506520899	506527927	NA	ENSMODG00000049519	F6WYB0	NA	1.51897584646839
4	361487971	361536044	+	NC_008804.1	F6SCL6	CLIC4	1.25006730590847
2	256210915	256213817	-	NC_008802.1	F7DMM7	PFN1	1.69730546698031
1	539499491	539510553	-	NC_008801.1	F7FKL8	RPS7	0.79009842446635
8	310141887	310147424	-	NC_008808.1	F6QIU8	NDUFA4	0.759940444231605
1	312515693	312525911	+	NC_008801.1	F7F8C2	CKB	1.30356934200789
8	120466013	120489522	-	NC_008808.1	F7CUD2	ATP6V1E1	1.23594460544456
1	560843375	560905764	-	NC_008801.1	F7GDF3	ANXA4	1.21308561194117
8	258509432	258738631	+	NC_008808.1	F6TCV7	ITGA8	1.11785330345531
DS029589.1	26043	26696	-	NW_001586317.1	H9H6Q2	MIF	2.23367645509628
4	10077768	10081629	-	NC_008804.1	F6W0H8	CSTB	4.23321642036687
7	176458138	176496309	-	NC_008807.1	F6V0T8	IGFBP2	1.56176104754831
7	171146522	171172382	+	NC_008807.1	F7FUK4	NIF3L1	1.30038834323642
3	244191608	244211389	NA	ENSMODG00000045848	F7BZC8	NA	0.784241450689093
6	122690916	122698181	+	NC_008806.1	F7DAK0	TPM2	2.18140190269555
2	142860752	142872095	+	NC_008802.1	F7E3Z9	HNRNPU	0.64667015752819
5	102438634	102929215	-	NC_008805.1	F7EJF7	PALLD	1.14495018035598
2	274410235	274413676	+	NC_008802.1	F6UB55	RPL10A	0.792841244151499
1	406873903	407171310	+	NC_008801.1	F6Y829	PAPPA	1.63365657593161
NA	10180	11887	-	NW_001582481.1	H9H6A1	PRDX5	1.31126246395279
4	49747857	49772989	-	NC_008804.1	F7AF77	PDHA1	0.850102708019417
2	270779114	270787164	+	NC_008802.1	F6TQC9	RPS18	0.745449522118796
1	223873167	223885870	-	NC_008801.1	F7CY56	CALM1	1.32736015652087
4	42647748	42663684	-	NC_008804.1	F7GAX1	EIF2S3	0.82179144849824
2	187934316	187946877	-	NC_008802.1	F6SL70	S100A13	1.40755327469513
1	66462680	66469940	+	NC_008801.1	F6QXP9	RPS17	0.722141545553935
3	69313416	69317041	-	NC_008803.1	F7GBR1	RPL17	0.792391592992554
1	308279017	308327106	+	NC_008801.1	F6SEX9	HSPA4	0.889815574871502
2	477236198	477293761	-	NC_008802.1	F6YHE4	SLC25A24	0.80045005255611
4	62343138	62348224	+	NC_008804.1	F6W129	RPL24	0.644317686948767
7	251804423	251890656	-	NC_008807.1	F7BU73	HDLBP	0.879330844745824
1	144821661	144878761	-	NC_008801.1	F6UHK2	ANXA2	1.08500903433066
8	195260653	195282565	NA	ENSMODG00000014148	F6X332	NA	1.37197144647989
6	201150989	201190101	-	NC_008806.1	F7FMJ6	UQCRC1	0.75595814742593
1	202719370	202732335	+	NC_008801.1	F7G5N8	B2M	1.4986834014438
DS029377.1	36994	42133	-	NW_001583820.1	H9H5Z8	TP53I3	1.71893999339362
1	173466843	173470258	+	NC_008801.1	F7GBS5	PSME1	1.22857019240698
2	266954157	266959109	+	NC_008802.1	F7F082	TUBB	1.96386170934462
2	267897633	267903623	-	NC_008802.1	F6UK56	CLIC1	1.4103056354321
1	343745523	343750247	-	NC_008801.1	F7FN91	RPS14	0.724982232032316
1	449482743	449488861	+	NC_008801.1	F6YAH2	CTSA	1.55799030316039
2	105719333	105788019	-	NC_008802.1	F6Y639	LMOD1	1.83320643785551
4	412977640	412979802	-	NC_008804.1	F6TPW7	RPL13A	0.793557016788543
5	244168105	244213614	-	NC_008805.1	F6XCE7	NUCB2	1.19582914119949
1	630559027	630589135	+	NC_008801.1	F7B661	CCT4	0.860849520353578
2	232004334	232014667	+	NC_008802.1	F6Q2Q8	ARHGDIA	1.48428805401713
1	530147965	530180636	+	NC_008801.1	F6ZC14	YWHAQ	1.29691019391682
1	697429854	697436193	+	NC_008801.1	F7ACE7	RPL13	0.805247862941689
2	82387844	82555955	+	NC_008802.1	F7CBU9	PLA2G4A	1.71704470145492
NA	28501	30713	+	NW_001584623.1	H9H8N2	CD151	1.4918525946549
2	187864345	187868448	NA	ENSMODG00000017397	F6SKU1	S100A4	1.82237295931899
3	232791584	232968416	+	NC_008803.1	F7C0D8	OXCT1	0.846181638019647
4	168183069	168275547	-	NC_008804.1	F7DK16	FAP	0.814522637761462
1	628757965	628779895	-	NC_008801.1	F6PLH7	MDH1	1.1689866496129
8	240051598	240105766	+	NC_008808.1	F7GAX7	ITGB1	0.998998936690736
2	251294266	251295383	-	NC_008802.1	F7C8C0	LOC100011471	0.614880776382577
3	437760612	437792965	+	NC_008803.1	F6S7I7	EEF1D	0.848619809544606
2	107037414	107045521	-	NC_008802.1	F6WM29	LOC100015203	1.49106770319369
3	459649396	459682272	-	NC_008803.1	F7E424	BSG	0.724924122015786
2	278932692	278953135	-	NC_008802.1	F7ECV7	GLO1	1.40474634384896
NA	19862	22080	-	NW_001585965.1	H9H7E2	TALDO1	0.855297005549004
1	508699342	508734661	-	NC_008801.1	F7F0V5	PPM1G	0.594887796959085
1	139416259	139474920	+	NC_008801.1	F7DI08	ALDH1A3	1.64598575293531
2	255414260	255419014	-	NC_008802.1	F7G3Z4	EIF5A	1.36110917735206
2	198918598	198982164	-	NC_008802.1	F6WDS9	LASP1	1.29025695180324
8	69348709	69491201	-	NC_008808.1	F7FN86	EEA1	2.60296728787875
4	75404035	75456412	+	NC_008804.1	F7CCX9	ATP6V1A	1.26738948222842
2	231053231	231111567	+	NC_008802.1	F7GKK4	FASN	1.14156994910539
3	432217464	432221729	-	NC_008803.1	F6TDX6	RPL8	0.795988452347752
1	182637846	182685465	+	NC_008801.1	F6RHX8	TMOD2	1.21422883522145
2	508385040	508397826	-	NC_008802.1	F7BUJ9	CCT6A	0.892295711833927
4	359306066	359391823	+	NC_008804.1	F7B3C5	CAPZB	1.13969970433192
2	407249413	407253008	+	NC_008802.1	F7EIJ4	RPS12	0.607469468236883
2	516938595	516984810	-	NC_008802.1	F6SRM2	MYO1C	1.28624370687477
5	283715220	283735440	-	NC_008805.1	F6W5V4	ARHGAP1	1.75143118287795
4	297488975	297494639	+	NC_008804.1	F7GL67	RPL21	0.559904310862668
DS029684.1	13427	24339	+	NW_001586652.1	H9H710	CCT7	0.891638869900482
6	278310610	278317222	-	NC_008806.1	F7EGP0	MANF	0.839872892650713
4	218614244	218689748	+	NC_008804.1	F7GF25	HSPE1	0.685642946558397
4	435060927	435087498	NA	ENSMODG00000040070	F7A9B9	NA	1.33354862064159
3	268818153	268843116	NA	ENSMODG00000043700	F7GDT3	NA	1.64019395153871
1	717916080	717922474	-	NC_008801.1	F6Z5L3	MAT2A	0.76091861355032
8	257189230	257424894	+	NC_008808.1	F6R7Y2	RSU1	1.24595954769064
6	86075699	86086150	+	NC_008806.1	F6WGL5	FUS	0.773291101783393
X	34088507	34224637	-	NC_008809.1	F6QDK0	GPC4	1.6725301811145
6	72554118	72581742	+	NC_008806.1	F6SZX9	EIF3B	0.620881638494964
5	248269487	248271819	+	NC_008805.1	F7CR27	RPL27A	0.618954289360027
5	20925002	20946270	+	NC_008805.1	F7BJP5	ALB	0.591385023046469
1	173557921	173566176	-	NC_008801.1	F6T1M0	NEDD8	1.56251716864335
2	229955246	229963474	+	NC_008802.1	F7ECU0	DDX5	0.676597034950822
5	300777064	300794385	+	NC_008805.1	F7ELC1	SLC3A2	0.714068430912085
2	518940207	518971789	-	NC_008802.1	F7BCC7	ALDH3A1	1.66433730567206
2	487870774	487903384	NA	ENSMODG00000005035	F7E982	ATP1A1	0.933451240561965
NA	21371	23301	-	NW_001586306.1	Q0QEX5	RPL18	0.811825658642969
2	42511816	42725139	+	NC_008802.1	F6WAS1	DDAH1	1.2413691645513
3	429536681	429552649	-	NC_008803.1	F7G4A4	PRKCSH	1.10794205729698
8	284074264	284078548	+	NC_008808.1	F6YKQ8	RPL15	0.814222905088817
7	171088372	171105896	+	NC_008807.1	F7CFW3	BZW1	0.824713336147746
8	104810345	104818564	+	NC_008808.1	F7B8F9	M6PR	1.40634271705201
8	299070275	299070681	NA	ENSMODG00000013402	F6STW5	NA	0.845425103265593
5	34898628	34905478	-	NC_008805.1	F7E028	HNRNPDL	0.661696635661974
1	453045163	453156457	-	NC_008801.1	F6Y3H2	NIBAN2	0.856414147165292
1	9388138	9407790	-	NC_008801.1	F6TJ83	IDH3A	0.816961676220478
4	348769598	349020043	+	NC_008804.1	F7EKP5	STIM1	1.19029598321129
7	77562117	77588231	-	NC_008807.1	F7D889	LAMP1	1.24477927238884
8	49627458	49810175	-	NC_008808.1	F7FJ64	PPP1R12A	1.27119235243517
1	117637120	117900463	-	NC_008801.1	F6SZF3	CEMIP	1.96882965197547
2	506646801	506650816	+	NC_008802.1	F6RZ66	RPL23A	0.758551313759942
NA	997	4254	-	NW_001583604.1	H9H792	LOC100021214	1.28965731850785
3	456981052	456989602	-	NC_008803.1	F7E6M5	CIRBP	0.649431959520783
8	89941224	89986861	+	NC_008808.1	F6RKU2	TOM1	1.26901331553495
4	384651211	384656116	-	NC_008804.1	F7EVI4	BLVRB	1.68763534432503
1	345779098	345807201	-	NC_008801.1	F7BQ41	ATOX1	1.93435331809674
8	9926254	9945456	-	NC_008808.1	F7G177	ST13	1.15157557181342
5	182942873	182954788	-	NC_008805.1	F7APK9	UCHL1	1.61819364778999
5	39354908	39362052	-	NC_008805.1	F6ZBY0	RPL34	0.559950527435207
6	149666086	149695782	+	NC_008806.1	F7G770	ARHGDIG	1.27249701142956
4	356124901	356174296	-	NC_008804.1	F7A567	CDC42	1.18831072556849
2	26124984	26175972	-	NC_008802.1	F7G7R5	AK4	0.748443447563726
6	51503780	51538612	+	NC_008806.1	F6U6I4	PTGR1	1.52355957885434
4	302644603	302674801	-	NC_008804.1	F7G0C3	HSPH1	0.605548675482287
3	184034372	184065279	NA	ENSMODG00000045434	F7FBV8	NA	0.725747252786993
1	562400847	562406656	+	NC_008801.1	F6TIM3	PCNA	0.711599587720915
2	194085635	194110383	+	NC_008802.1	F7BYN4	STAT3	1.25867790616863
2	3265953	3287066	+	NC_008802.1	F6R0F4	TXNDC12	1.18590179888118
6	253597142	253653463	+	NC_008806.1	F7GFV0	RAB7A	1.12215714909844
2	203583932	203612085	-	NC_008802.1	F7CV32	COL1A1	1.12328668950824
8	12797492	12810022	-	NC_008808.1	F6ZXH8	DPP3	1.36647641296335
2	198998684	199003111	+	NC_008802.1	F6WU43	RPL23	0.808778125674054
3	230861789	230962384	-	NC_008803.1	F7C0X4	NNT	0.907775952128674
7	24668529	24769501	+	NC_008807.1	F6WHS7	PIR	1.18013674014573
6	145465857	145481155	+	NC_008806.1	F7F766	NMRAL1	1.31012990250395
2	300687429	300720491	-	NC_008802.1	F6YYR3	MCM3	0.734926474922194
3	431797725	431809050	+	NC_008803.1	F6SVN1	PGLS	1.3370852380941
1	434911797	434947604	-	NC_008801.1	F6S0U4	VPS35	1.15529651527463
1	52067845	52092009	+	NC_008801.1	F7A7G7	VDAC2	0.866141272229853
DS029356.1	10132	12534	-	NW_001583589.1	H9H7Q1	HSD17B10	0.80528305735561
1	685728438	685751196	+	NC_008801.1	F7G5K7	NUTF2	1.46093869930574
3	362563170	362567968	-	NC_008803.1	F6PGS6	RPL30	0.810226032163193
4	241179056	241207464	-	NC_008804.1	F7BHC0	DLAT	0.885630481507022
1	89947915	89955417	+	NC_008801.1	F6YXQ4	PRDX3	0.808516342871088
1	38038747	38054474	+	NC_008801.1	F7D3B5	OAT	1.17381120153993
6	202009437	202015485	-	NC_008806.1	F7DTY4	IMPDH2	0.62238199104353
1	387682671	387713696	-	NC_008801.1	F6Z693	AHCY	0.909229976756789
1	387167338	387225009	+	NC_008801.1	F7EIX3	CHMP4B	1.20967192807411
2	187918355	187928208	-	NC_008802.1	F6SL37	S100A16	0.474421231257495
6	289255382	289336694	NA	ENSMODG00000021167	F6XX83	SEPTIN7	0.853714925125332
4	426472271	426497424	-	NC_008804.1	F6VYY4	AK2	0.803525673229122
2	135173807	135272340	+	NC_008802.1	F6ZEJ6	CAPN2	1.15327938376035
5	34846705	34864317	-	NC_008805.1	F7EH18	HNRNPD	0.74291743151848
1	65519970	65537232	+	NC_008801.1	F6WJB8	HEXA	1.28270585434869
DS029398.1	134456	168188	NA	ENSMODG00000017612	H9H781	NA	1.48065823399245
8	265797829	265883394	-	NC_008808.1	F7CIB8	CRTAP	1.2894251529852
2	406600052	406666134	-	NC_008802.1	F7E0Z1	STX7	1.24977866101983
3	234015912	234021816	+	NC_008803.1	F7BFG9	RPL37	0.848397914598781
6	141009203	141075171	+	NC_008806.1	F7DC74	PSAT1	1.68394466184016
6	202502964	202505718	-	NC_008806.1	F7CS77	GPX1	0.712410151475488
1	255613722	255624401	+	NC_008801.1	F7B0C1	FKBP3	0.823336364625091
2	130327000	130391995	-	NC_008802.1	F6SVJ6	EPRS1	0.903497785463972
6	82778062	82824659	+	NC_008806.1	F6ZF84	FSCN1	0.640043293844704
1	477393146	477395655	NA	ENSMODG00000016769	F7GGC3	NA	0.762270798970207
2	485802991	485861180	-	NC_008802.1	F6TRB2	CSDE1	0.863465625248506
2	405866090	405869880	-	NC_008802.1	F7BSS5	CCN2	1.39224751552595
8	298221684	298231006	+	NC_008808.1	F6TBC0	HNRNPA2B1	0.8257245471713
1	581166885	581201925	+	NC_008801.1	F6RX69	ATP6V1B2	1.14953658222176
1	149777703	149786342	-	NC_008801.1	F7BZB1	PPIB	1.11217797288329
8	159836140	159928835	-	NC_008808.1	F7A5M5	LAMB1	1.16164645481341
6	55128807	55180128	+	NC_008806.1	F6SN28	LOC100025365	0.861854132871513
8	108309658	108324583	+	NC_008808.1	F7CWU5	USP5	1.13230924478357
2	442150655	442164247	+	NC_008802.1	F6RDB9	ACAT2	1.41520064433906
4	128630714	128682751	NA	ENSMODG00000000612	F6TB04	NA	1.11276529339956
1	527825824	527859442	+	NC_008801.1	F7DLQ1	PDIA6	0.901435443815765
3	485801060	485964480	-	NC_008803.1	F6YGW0	CLIP1	1.31786651421443
2	495960596	495981411	-	NC_008802.1	F6YZG6	CTSK	1.83045115169815
3	143441995	143483808	-	NC_008803.1	F7E6U1	VPS4B	1.26721216756975
7	28384887	28387948	-	NC_008807.1	F7ENP3	TMSB4X	1.61630998119303
1	545899294	545924414	-	NC_008801.1	F7G3E2	ACP1	1.49205195731704
DS029374.1	244204	276638	-	NW_001583787.1	H9H7P9	ALDH4A1	0.874326888965068
1	680370705	680581367	-	NC_008801.1	F6XVG8	CDH11	1.21580240753134
5	269818660	269875389	+	NC_008805.1	F6VV61	CAPRIN1	0.737532714439166
1	500698512	500724597	+	NC_008801.1	F7FY78	YWHAB	1.41897318832009
2	198610819	198615643	-	NC_008802.1	F6UYZ4	RPL19	0.838151734731826
1	710962369	710995846	-	NC_008801.1	F7GKY9	DBNL	1.16271998108463
3	302431407	302470488	+	NC_008803.1	F7DHK3	CNDP2	1.30105859289243
1	302904571	302930501	+	NC_008801.1	F6U7N7	PPP2CA	1.17325864628365
2	172330529	172402609	-	NC_008802.1	F7ATX4	CLTC	0.951737100954585
8	294297704	294304618	-	NC_008808.1	F6U375	RPL14	0.801530927238354
8	36912101	36931892	+	NC_008808.1	F7F689	CCT2	0.924957614865189
5	96245942	96248462	NA	ENSMODG00000039182	F7GBV0	NA	0.5323508273153
4	412907939	412912716	-	NC_008804.1	F6VVT7	PRMT1	0.792191932748711
4	92805445	92835725	-	NC_008804.1	F6XTZ2	TFRC	0.388542670524303
8	26022790	26260731	-	NC_008808.1	F7AUH6	PPFIBP1	0.787331819256255
7	73477397	73502095	+	NC_008807.1	F6Z6L2	LOC100019817	1.42126793052065
2	211043060	211086724	+	NC_008802.1	F6R9N2	DDX42	0.656030653896876
1	745145409	745176802	+	NC_008801.1	F6VNU2	DDX1	0.850913056580271
5	268328593	268351760	+	NC_008805.1	F6YBW3	EIF3M	0.78636592616445
4	75379064	75403244	-	NC_008804.1	F7CD07	NAA50	0.840064021412196
1	433112625	433119333	+	NC_008801.1	F6UY50	UQCRFS1	0.819116141281573
3	360220962	360228309	NA	ENSMODG00000040367	F6QUM2	NA	0.789105141779199
8	129484680	129514716	+	NC_008808.1	F7CHH8	ATP5F1C	0.7624991662784
3	460558698	460560095	-	NC_008803.1	F7D8M7	RPS28	0.774633916601184
1	8273724	8347461	+	NC_008801.1	F7CUV6	ETFA	0.869766136764307
X	11487004	11514810	-	NC_008809.1	F7FTW2	BCAP31	0.880749084876348
1	278412975	278493508	+	NC_008801.1	F7B980	SEC23A	1.20321830169618
1	173488533	173492144	-	NC_008801.1	F7DBX2	PSME2	1.20456539684152
2	251246138	251247344	+	NC_008802.1	F6PX60	LOC100018877	0.748725342809182
2	225163138	225189867	-	NC_008802.1	F6R7N8	PRKAR1A	1.12696152032468
5	256071240	256107708	+	NC_008805.1	F7FCI6	HTATIP2	1.26207060943736
2	23684760	23782497	+	NC_008802.1	F6SSS3	GNG12	1.2393341943159
2	165363568	165408398	+	NC_008802.1	F7BJZ7	COPA	0.967399163278503
6	92759510	92828843	+	NC_008806.1	F7GFD5	ALDH1A1	1.75831547196777
1	9526044	9628698	+	NC_008801.1	F6QCH4	TBC1D2B	1.57760821025563
8	10665034	10738658	+	NC_008808.1	F7FCJ1	FBLN1	3.01115882659007
4	354584036	354691983	+	NC_008804.1	F7D7F7	LUZP1	0.91129293786783
X	3274741	3280663	+	NC_008809.1	F6QUY0	GDI1	1.16043712404598
3	101271323	101309336	-	NC_008803.1	F6QCU8	NSUN2	0.669116062558931
