chromosome_name	X4	X5	X7	X1	Accession	V_2	Geomean
3	132006126	132022095	+	NC_041730.1	XP_028916480	ECHS1	1.38995261520398
8	54732426	54862975	+	NC_041735.1	XP_007665541	HIBADH	1.00693169237034
5	5095976	5102484	+	NC_041732.1	XP_028922709	ETFB	1.28233057964247
8	57048857	57053122	+	NC_041735.1	XP_028926987	LOC100077443	2.08929615043321
7	50413704	50467878	+	NC_041734.1	XP_028924611	BDH1	1.80717411320972
6	42681235	42698189	-	NC_041733.1	XP_028923804	PGK1	1.35207259483376
17	18105249	18110306	+	NC_041744.1	XP_028937502	ATP5PF	1.60324537958919
11	35358009	35384805	-	NC_041738.1	XP_028930769	GOT2	1.48251810085029
X1	106824433	106828659	+	NC_041749.1	XP_003428901	ATP5F1D	2.06538015416841
X2	9310382	9313142	+	NC_041750.1	XP_028908208	PRDX2	0.312607932549593
2	27147052	27153190	-	NC_041729.1	XP_028914412	TUFM	1.00230524102986
16	2039133	2063939	-	NC_041743.1	XP_028937256	CASQ2	2.00909281493586
11	60107424	60135345	-	NC_041738.1	XP_028930327	SLC4A1	0.377572198238711
1	31740215	31893037	-	NC_041728.1	XP_028915128	SPTB	0.48977882145077
11	56988078	57005823	-	NC_041738.1	XP_028931941	DLAT	1.19674055510811
4	51063180	51080255	+	NC_041731.1	XP_028919104	LOC100075583	0.390840898704962
1	181792208	181802722	-	NC_041728.1	XP_028920172	TUBA4A	0.984011087342236
X1	111437705	111467795	+	NC_041749.1	XP_028906342	TPM4	0.563637647227469
5	40544568	40568101	+	NC_041732.1	XP_028921563	VDAC3	1.00230524123643
7	57769283	57777752	-	NC_041734.1	XP_028925613	ATP5PB	2.08449089128362
X5	4223760	4225437	+	NC_041753.1	XP_028911017	APOA2	0.405508530169047
16	2187287	2214042	+	NC_041743.1	XP_028937232	ATP1A1	0.845278844196378
5	62527138	62547023	+	NC_041732.1	XP_028922186	SDHB	1.18850220852025
3	21137561	21147140	-	NC_041730.1	XP_007664746	NDUFS3	0.974989656531355
11	1453125	1455708	-	NC_041738.1	XP_028930278	LOC100091270	1.52405276403878
10	46560335	46597846	+	NC_041737.1	XP_028929308	FLNC	1.67880402064617
X1	69905235	69913987	+	NC_041749.1	XP_028907351	PDHB	1.02801631248753
11	32583623	32617550	+	NC_041738.1	XP_028931237	GPI	1.55596562200403
10	49814238	49831617	-	NC_041737.1	XP_007669255	LOC100080918	1.76197605262119
6	21283171	21289534	+	NC_041733.1	XP_028923263	HSD17B10	1.24738352001842
14	52672487	52693617	-	NC_041741.1	XP_028935202	CPT1B	0.749894210825522
17	2158781	2161768	-	NC_041744.1	XP_028937545	HSPB1	3.07609679839907
8	18969015	19003913	-	NC_041735.1	XP_001507891	EEF1A2	1.64437171979932
11	2179321	2182308	-	NC_041738.1	XP_001516079	PGAM2	1.48593567583389
3	474185	479669	-	NC_041730.1	XP_028914818	GSTP1	0.87902251907143
11	26649117	26659981	-	NC_041738.1	XP_028931736	LOC100074926	0.995405432558494
X3	24346570	24386517	+	NC_041751.1	XP_028909690	HSDL2	0.946237154809924
6	25364487	25394127	+	NC_041733.1	XP_007664250	FHL1	2.89067991638724
12	16750790	16777671	-	NC_041739.1	XP_028932975	ETFDH	0.966050890161816
5	10443109	10461701	+	NC_041732.1	XP_028921679	IDH3A	1.41905753413078
4	8447100	8450113	-	NC_041731.1	XP_028919457	LOC107546954	1.27350306824907
20	19027663	19045847	-	NC_041747.1	XP_028904204	ACAT1	1.29717926331054
7	38088356	38151767	-	NC_041734.1	XP_028924860	NDUFA10	1.22179965684293
1	164999279	165040290	+	NC_041728.1	XP_028913721	TF	0.928966394805426
X1	33258717	33300862	+	NC_041749.1	XP_028907000	ANXA6	0.796159359068466
16	45318234	45320887	+	NC_041743.1	XP_028936183	ATP5IF1	1.41253753479117
18	19157719	19190411	+	NC_041745.1	XP_028902313	SUCLG1	1.40604751830054
4	63423650	63454246	-	NC_041731.1	XP_001509087	YWHAZ	0.895364759929935
15	16956453	16970584	-	NC_041742.1	XP_028935576	PDHA1	1.42889396041784
5	3018900	3025902	-	NC_041732.1	XP_028920638	ECH1	1.35207254451206
5	1692473	1701599	+	NC_041732.1	XP_028921161	BLVRB	0.727779804145776
17	5953494	5982923	+	NC_041744.1	XP_028937874	YWHAE	1.66724718850195
4	54059454	54091413	+	NC_041731.1	XP_028919687	DECR1	2.29614864384554
11	1372560	1377727	+	NC_041738.1	XP_028931872	PPIA	1.66724718752988
2	6799657	6812405	+	NC_041729.1	XP_028914403	ACADS	0.952796166753183
7	26068332	26113198	-	NC_041734.1	XP_028925638	ACADL	1.39636837209467
2	1077653	1086858	+	NC_041729.1	XP_028905122	ECI1	1.09395635288097
12	51555215	51709310	-	NC_041739.1	XP_028932756	LOC100081375	1.2882495699918
8	67090718	67098856	+	NC_041735.1	XP_028927159	NDUFA4	1.33659550279074
4	3124438	3131335	+	NC_041731.1	XP_028917804	NDUFB9	1.1091748237045
4	32962730	32977232	-	NC_041731.1	XP_028918959	CRAT	0.977237224185994
5	52312100	52359542	+	NC_041732.1	XP_028922026	ANXA2	0.743019145090906
1	38409391	38432418	+	NC_041728.1	XP_028922913	DLST	1.29121928294663
11	54155211	54165206	-	NC_041738.1	XP_001513712	ATP5MG	1.25602996597669
10	48759131	48963115	-	NC_041737.1	XP_007669227	CHCHD3	0.751622895072134
4	31969640	31993143	+	NC_041731.1	XP_028919651	AK1	1.69044092638416
1	168185939	168218813	+	NC_041728.1	XP_028927177	PCCB	2.36591966485792
5	326498	327562	+	NC_041732.1	XP_028921165	HSPB6	1.63305196473408
X1	115221356	115230405	+	NC_041749.1	XP_028907656	NDUFA13	1.4791084186095
13	37544132	37547561	+	NC_041740.1	XP_001506614	GSTK1	0.990831966243267
3	31183499	31207846	+	NC_041730.1	XP_001507188	LOC100073534	0.427562885447
21	16576109	16580109	+	NC_041748.1	XP_001511987	NDUFB10	1.3273944481794
16	19196636	19252178	+	NC_041743.1	XP_028936347	ACADSB	1.45545907309098
3	459737	466576	-	NC_041730.1	XP_028917126	NDUFV1	1.55955249224811
18	41893998	41933998	-	NC_041745.1	XP_028902333	PGM1	1.59955804014639
16	41955336	41974801	-	NC_041743.1	XP_028936849	AK2	0.968277850714279
3	14767774	14775405	-	NC_041730.1	XP_028916999	PRDX5	1.82389568105603
1	54572053	54581714	-	NC_041728.1	XP_028922767	LOC100087033	0.744731980613961
4	46248616	46256022	-	NC_041731.1	XP_003431001	HSPA5	1.00230523434783
X3	31426658	31428806	-	NC_041751.1	XP_001514349	ATP5ME	1.0739894186118
1	17265356	17270563	-	NC_041728.1	XP_001509034	LOC100077093	0.954992600741822
4	59236726	59247264	-	NC_041731.1	XP_028917802	LOC100073821	1.09647821764162
14	34727857	34737992	-	NC_041741.1	XP_001511451	NDUFA12	0.972747217765116
11	57043842	57045911	-	NC_041738.1	XP_028931537	HSPB2	1.05681751319439
X1	11607626	11626866	-	NC_041749.1	XP_001514974	LOC100084704	1.05925373548041
X2	2089393	2092404	+	NC_041750.1	XP_001512375	NDUFA2	1.50314196750224
X5	4232234	4241483	-	NC_041753.1	XP_028910966	NDUFS2	0.997700068258167
X1	40145706	40152605	-	NC_041749.1	XP_028905657	LOC100080559	2.11348900532818
4	62472588	62484043	-	NC_041731.1	XP_007661832	LOC100074669	1.01157947851088
5	60069994	60128080	+	NC_041732.1	XP_028921222	ALDH4A1	1.00000000084546
9	20887439	20905141	-	NC_041736.1	XP_028927728	PRKRA	1.05681749828703
6	22525514	22533043	+	NC_041733.1	XP_028923128	UBA1	0.974989631558576
5	95213231	95253233	-	NC_041732.1	XP_016083933	NDUFV2	1.05925372236362
9	60070282	60088903	+	NC_041736.1	XP_028927892	CALM2	0.605340877974563
X1	79460547	79510830	+	NC_041749.1	XP_028906324	ACAD9	0.642687710401103
5	100270904	100472670	+	NC_041732.1	XP_028921932	MYOM1	1.0568175372154
17	1395790	1404944	+	NC_041744.1	XP_028938482	LOC114817946	1.02329300125189
10	58877771	58879771	+	NC_041737.1	XP_007660668	SPRYD4	0.941889607333521
2	4895462	4903191	+	NC_041729.1	XP_028938493	PEBP1	0.651628395491707
X1	107242475	107255348	+	NC_041749.1	XP_028906860	NDUFS7	1.07398939088795
19	1800199	2033126	+	NC_041746.1	XP_028903046	RYR2	0.907820567899846
8	50705573	50767102	+	NC_041735.1	XP_028926526	GPD1L	0.827942175427293
1	130607117	130619733	-	NC_041728.1	XP_028920451	NCL	0.950604793213761
5	4887273	4895883	+	NC_041732.1	XP_028922197	PPP2R1A	0.874983776798998
X5	2725977	2800615	-	NC_041753.1	XP_028912146	SPTA1	1.00693169634185
2	145836910	145943932	-	NC_041729.1	XP_028903052	PKP2	0.997700066295668
1	37676924	37681936	+	NC_041728.1	XP_001520078	LOC100091117	1.03276142209505
3	2138381	2163799	+	NC_041730.1	XP_028916587	CTSD	1.00000001921908
9	29710708	29793910	+	NC_041736.1	XP_028927592	PYGB	0.995405409999135
10	54826661	54830774	-	NC_041737.1	XP_028928967	TUBA1A	1.70215852460566
13	22017396	22026994	+	NC_041740.1	XP_028933522	VIM	0.732824535276045
5	67958835	67979518	-	NC_041732.1	XP_028921504	PGD	0.590201072726377
10	55363958	55379907	+	NC_041737.1	XP_028929850	PFKM	0.332659557962351
16	24814669	24822268	+	NC_041743.1	XP_028936549	PRDX3	1.13501081270996
10	43415743	43424991	-	NC_041737.1	XP_007668878	NDUFA5	0.716143390254597
8	36862701	36872421	-	NC_041735.1	XP_028926260	CTNNB1	1.06905485131937
13	19117808	19213258	+	NC_041740.1	XP_028934018	NEBL	1.03752842197202
10	13949976	14222613	+	NC_041737.1	XP_028929508	PCCA	1.10407862185575
X5	6176080	6191057	+	NC_041753.1	XP_028912056	FIS1	2.36047828211238
X1	14122227	14168402	+	NC_041749.1	XP_016084146	LOC100078272	0.847227425038732
10	53040262	53051762	-	NC_041737.1	XP_028929668	BCAT2	1.22461621047959
X5	40706253	40709747	-	NC_041753.1	XP_028910510	NDUFB6	1.41253753330808
18	8284864	8292479	+	NC_041745.1	XP_028902460	GATD3A	0.579428688872302
5	70442229	70465230	-	NC_041732.1	XP_007664258	PARK7	0.43251383196697
X5	67175508	67188340	-	NC_041753.1	XP_028911537	HNRNPK	1.02565193656225
16	6043556	6060308	+	NC_041743.1	XP_003430908	PRDX6	1.87931676910051
16	34284310	34288569	+	NC_041743.1	XP_028936900	ATP5MK	1.10407865780621
11	15390469	15401325	-	NC_041738.1	XP_007654244	CAVIN1	0.939723310954858
7	70706948	70712158	-	NC_041734.1	XP_028925804	LOC100681387	1.59955806251833
5	276453	288811	+	NC_041732.1	XP_028921200	LOC100089037	1.37720947891299
15	1181733	1183794	+	NC_041742.1	XP_028935407	NME1	1.05438692435244
X4	16009	43197	+	NC_041752.1	XP_028910131	LOC100090391	1.02801629868
7	80093284	80104049	-	NC_041734.1	XP_028924999	HSPE1	0.972747230596618
9	41237256	41285100	-	NC_041736.1	XP_003430635	RAB10	0.855066721301476
18	2393022	2401983	+	NC_041745.1	XP_028902429	PRDX1	1.46554783832837
6	44343482	44381025	-	NC_041733.1	XP_028923543	MSN	0.981747953754488
X5	7499557	7504282	-	NC_041753.1	XP_028911202	SLC25A11	1.54170045774184
2	139408389	139409604	+	NC_041729.1	XP_001508196	LOC100088690	0.403645398874075
11	19372372	19408771	-	NC_041738.1	XP_028931206	ACAD8	0.885115627873491
13	10175448	10238524	+	NC_041740.1	XP_028933709	LOC100080281	0.972747234634353
9	57889588	57953386	-	NC_041736.1	XP_001506566	ACYP2	1.57761126285515
18	1554061	1558735	+	NC_041745.1	XP_028938853	LOC114818207	1.08642562771702
X2	8443	22846	-	NC_041750.1	XP_028908922	EPHX2	0.990831965106528
X5	8381263	8386381	-	NC_041753.1	XP_016080824	TUBB	1.23594740803743
X5	33080421	33100915	-	NC_041753.1	XP_028911248	ALDH7A1	0.671428858226707
14	44599240	44602324	+	NC_041741.1	XP_007664567	LGALS1	3.66437568706738
1	64978958	65019128	+	NC_041728.1	XP_028930983	ADSS1	1.09900583374828
X5	7121688	7124552	-	NC_041753.1	XP_028911258	EIF5A	1.03992014579939
3	7235387	7260104	+	NC_041730.1	XP_028916194	EHD1	1.04231741301035
1	84949461	84953377	-	NC_041728.1	XP_028924101	EEF1A1	1.47570652981597
1	61714548	61784993	+	NC_041728.1	XP_001512683	DYNC1H1	0.809095899999376
14	3318152	3395487	+	NC_041741.1	XP_028934585	FERMT2	0.734513858095732
X1	108684085	108693333	+	NC_041749.1	XP_028907772	PLIN3	0.841395122532839
2	25911766	25924795	-	NC_041729.1	XP_003430031	TRIM72	1.1168632601084
X1	18392563	18423054	-	NC_041749.1	XP_028906842	YWHAQ	0.33651156824159
4	32505664	32573649	+	NC_041731.1	XP_028918348	SPTAN1	0.935405666098839
3	49832350	49850921	+	NC_041730.1	XP_028916141	LOC100091585	0.824138098418336
14	16593291	16626782	+	NC_041741.1	XP_028934597	CAND1	0.299226468836854
X1	90598761	90748251	-	NC_041749.1	XP_028906346	PRKAR2A	0.837529281115063
11	14998868	15016334	-	NC_041738.1	XP_028931717	LOC100086720	1.11173171352443
7	48556654	48631741	+	NC_041734.1	XP_028924538	OPA1	1.16680959545925
12	33573751	33831158	+	NC_041739.1	XP_028933019	CAMK2D	0.724435953054174
11	57242376	57282170	+	NC_041738.1	XP_028930765	KPNB1	0.741310238103835
11	42279863	42287173	+	NC_041738.1	XP_028931056	APRT	0.959400615912715
X3	4539324	4551339	+	NC_041751.1	XP_028909950	NDUFS6	1.33967668118237
2	108774697	108832521	+	NC_041729.1	XP_028908935	FHL2	0.510505001137494
16	42894174	42900916	-	NC_041743.1	XP_028936615	HMGCL	0.77268060120331
X5	658908	662960	+	NC_041753.1	XP_028910512	FLAD1	0.926829818116113
10	49900250	49920457	+	NC_041737.1	XP_007669299	BPGM	0.348337312557147
9	19618666	19674537	+	NC_041736.1	XP_001515208	MTX2	0.907820532638525
1	54764114	54771976	+	NC_041728.1	XP_007655269	LOC100089477	2.93089326358151
8	14221832	14225820	-	NC_041735.1	XP_028926986	ATP5F1E	1.48936110355918
7	180359	182768	-	NC_041734.1	XP_028924146	FABP5	1.40281368980769
17	37353401	37371372	+	NC_041744.1	XP_028937973	CPT2	1.00461580284912
17	37709580	37800878	+	NC_041744.1	XP_028937669	SCP2	1.5346169592133
X2	11905329	11917425	-	NC_041750.1	NP_001177732	UQCR11	1.2246162018753
10	39122681	39160918	+	NC_041737.1	NP_001229660	CAV1	1.01157944656657
5	69490909	69511384	+	NC_041732.1	XP_003428480	ENO1	1.03752841624279
3	5554399	5558882	-	NC_041730.1	XP_028916334	CFL1	1.38675582566673
16	1686528	1689834	-	NC_041743.1	XP_028937272	NDUFB4	0.883079906930556
X4	5096843	5102625	+	NC_041752.1	XP_028910047	PHPT1	1.01157945927369
2	36359703	36364471	+	NC_041729.1	XP_028908713	ATP5MF	0.988553102160078
7	82348898	82390951	+	NC_041734.1	XP_028924994	HIBCH	0.77090346368824
11	34248275	34261830	+	NC_041738.1	XP_028931540	COQ9	1.10917482539572
10	53055196	53060257	-	NC_041737.1	XP_028928543	HSD17B14	0.866961882783411
7	78014840	78019540	-	NC_041734.1	XP_028925634	NDUFB3	0.986279500265876
5	104045990	104115703	-	NC_041732.1	XP_028922563	ANXA4	0.959400636765504
19	31120720	31127848	-	NC_041746.1	XP_001506954	COQ3	0.952796154821817
4	43670442	43679378	-	NC_041731.1	XP_028919783	NDUFA8	1.04954242595892
X5	3683395	3684299	-	NC_041753.1	XP_001505687	LOC100076871	0.820351548433185
7	17871824	18079903	+	NC_041734.1	XP_007665830	CDH2	1.97696963681307
X5	3227093	3243944	+	NC_041753.1	XP_028911833	LOC100083795	1.03276142334513
12	1011254	1109681	+	NC_041739.1	XP_028932418	SORBS2	1.24165232273991
8	56046451	56058509	+	NC_041735.1	XP_003430726	HNRNPA2B1	0.990831953554995
X1	117277784	117289988	+	NC_041749.1	XP_028907700	NDUFA7	0.984011113413994
6	47233926	47247688	-	NC_041733.1	XP_028923668	AIFM1	0.696626521377656
1	86168807	86197147	-	NC_041728.1	XP_028914496	PDIA6	1.05681751293803
13	25402730	25422311	-	NC_041740.1	XP_028933791	PMPCB	0.810961070432608
20	1021108	1059549	+	NC_041747.1	XP_016082255	SGCG	1.17219535679661
1	4339472	4414180	-	NC_041728.1	XP_028928268	NDUFS4	0.887156007085516
X1	105677644	105700430	+	NC_041749.1	XP_028906644	LONP1	1.48936107940908
2	64780408	64791783	+	NC_041729.1	XP_028913633	SOD2	0.922571429376568
3	16227391	16264516	+	NC_041730.1	XP_028915509	AHNAK	0.924698183334998
12	19296699	19303398	+	NC_041739.1	XP_016083774	LOC100081457	0.571478636751549
14	39587163	39605235	+	NC_041741.1	XP_028934827	HSP90B1	0.997700062825943
1	129593055	129655821	-	NC_041728.1	XP_028927818	EFHD1	1.13240038283129
16	42035470	42039211	+	NC_041743.1	XP_028936931	NDUFS5	0.924698177821139
2	47898079	47904405	+	NC_041729.1	XP_003428321	RPS15A	1.48251811789919
3	17792156	17806822	-	NC_041730.1	XP_028914787	TMEM109	0.862978545605517
3	51941339	51953367	+	NC_041730.1	XP_028917432	HINT2	0.990831945850388
19	4007607	4018346	-	NC_041746.1	XP_028903407	HNRNPU	0.734513865151725
3	52113718	52152853	+	NC_041730.1	XP_028916524	TLN1	0.647142607991393
14	43068237	43107632	+	NC_041741.1	XP_028934951	TOM1	1.25602996982689
5	39976449	40190809	-	NC_041732.1	XP_028920677	ANK1	1.15080038762317
5	338802	358580	-	NC_041732.1	XP_028920766	KMT2B	0.521194714630629
17	33068805	33092991	-	NC_041744.1	XP_028937682	TOMM70	0.837529284846079
13	42119712	42124716	+	NC_041740.1	XP_028934167	LOC100084590	0.883079907282926
14	52573530	52594118	+	NC_041741.1	XP_028935230	LOC100086896	0.977237213288351
5	3840742	3842518	-	NC_041732.1	XP_007659067	APOC2	0.959400624157498
8	1103358	1108846	+	NC_041735.1	XP_007658420	LOC100085972	0.907820535114006
X1	14453070	14507349	+	NC_041749.1	XP_028907379	LOC100085630	0.939723325344796
12	16737669	16751544	+	NC_041739.1	XP_028932976	PPID	0.903649481936926
16	24877267	24907098	+	NC_041743.1	XP_028936044	EIF3A	0.868960447945535
6	14949107	15028735	-	NC_041733.1	XP_028923584	LOC100084604	0.519995998418914
1	145816202	145892306	+	NC_041728.1	XP_028922740	FXR1	0.75335556914489
9	61229620	61295405	+	NC_041736.1	XP_028927435	LRPPRC	1.1402497873335
16	34913944	34930783	+	NC_041743.1	XP_028936659	ACTR1A	1.03038612306915
X1	39897100	39934791	-	NC_041749.1	XP_007668484	HSPA4	1.0543869094981
14	46416025	46432761	+	NC_041741.1	XP_028935124	ADSL	0.7447319763749
1	101922735	101980330	+	NC_041728.1	XP_028928287	LOC107547261	0.62950617274072
X1	6443086	6470756	-	NC_041749.1	XP_003428624	ACP1	0.974989628255287
5	3864514	3866700	-	NC_041732.1	XP_028922515	APOE	1.01859138825239
16	3554390	3573429	-	NC_041743.1	XP_028936592	MPC2	1.21898960232091
1	66605618	67043055	+	NC_041728.1	XP_028937822	SLC8A1	0.957194071408459
14	6413992	6421094	+	NC_041741.1	XP_028934560	FKBP3	0.797994699031992
10	54644077	54653383	-	NC_041737.1	XP_028929593	ARF3	0.668343918363565
2	145649050	145723218	+	NC_041729.1	XP_028908179	DNM1L	1.16680960995094
8	29124793	29166734	+	NC_041735.1	XP_028926198	SNTA1	0.707945788047804
2	54305644	54367017	+	NC_041729.1	XP_028909632	USP7	2.81838290639085
X1	78765870	79422658	+	NC_041749.1	XP_028906837	IQSEC1	0.476430976529972
9	57354413	57426751	+	NC_041736.1	XP_028927557	RTN4	1.13240038548677
2	93555852	93631711	-	NC_041729.1	XP_028908951	ENPP1	0.874983784333586
6	28610984	28647422	+	NC_041733.1	XP_028923769	RADX	0.887156003888725
14	17444794	17460303	+	NC_041741.1	XP_028934475	CCT2	0.950604776062151
1	179838313	180037643	-	NC_041728.1	XP_028918883	LOC103166230	0.779830122226206
3	103238036	103369299	+	NC_041730.1	XP_028917263	MYPN	1.48251807392325
1	155494048	155536944	-	NC_041728.1	XP_028914232	KPNA4	0.547015962978074
X5	7918062	7932196	+	NC_041753.1	XP_028911130	VARS1	0.642687711168251
X1	4119119	4127694	-	NC_041749.1	XP_028907805	RPS7	0.926829817211127
17	6543046	6562670	+	NC_041744.1	XP_028938378	ALDH3A2	0.995405422536599
16	39843472	39854568	+	NC_041743.1	XP_028936074	SFPQ	0.891250944004207
9	18301442	18440576	-	NC_041736.1	XP_028928115	OLA1	0.984011106927956
7	78225619	78245257	-	NC_041734.1	XP_028924917	BZW1	1.00461579397699
7	1920957	1924037	+	NC_041734.1	XP_028924666	RPL7	1.16949939947132
3	1184071	1220325	+	NC_041730.1	XP_028916459	NAP1L4	1.06414303427419
X5	56029623	56215895	+	NC_041753.1	XP_028911562	PGM5	0.377572191844511
X5	58860910	58931130	+	NC_041753.1	XP_028910787	GDA	0.590201083155371
