chromosome_name	X4	X5	X7	X1	Accession	V_2	Geomean
8	69068764	69141348	+	NC_041735.1	XP_028926969	SLC25A13	0.920449560732161
1	31402921	31477724	+	NC_041728.1	XP_028918618	MTHFD1	1.00693168171173
3	65392909	65425758	-	NC_041730.1	XP_028916096	ACAA2	0.91411323124826
2	112405004	112430906	-	NC_041729.1	XP_028938870	LOC100093389	2.355049238846
X2	19177970	19203819	-	NC_041750.1	XP_028908876	SDHA	0.605340870651505
X4	4541731	4546508	+	NC_041752.1	XP_028910223	TUBB4B	0.608135002236566
4	8011141	8017826	-	NC_041731.1	XP_028918380	GPT	1.33352144895682
16	41955336	41974801	-	NC_041743.1	XP_028936849	AK2	0.622300290660015
3	89164777	89194778	+	NC_041730.1	XP_003431368	PBLD	0.954992595060993
X4	1495721	1501229	-	NC_041752.1	XP_028910389	PHB2	0.937562012140397
5	2126692	2140825	-	NC_041732.1	XP_028921974	CYP2A.B	2.42102903597987
13	525235	533152	+	NC_041740.1	XP_028933472	ACAA1	0.755092235947489
4	60658713	60673537	-	NC_041731.1	XP_028917809	LOC100074929	0.601173739033822
2	90585120	90625015	+	NC_041729.1	XP_001509667	ALDH8A1	0.721107470262056
17	21625616	21631995	+	NC_041744.1	XP_007667926	LOC100081857	0.959400644961845
2	21830893	21845624	+	NC_041729.1	XP_007662398	LOC100088088	1.21059814361236
11	3553069	3566718	+	NC_041738.1	XP_028931969	AKR1D1	0.767361487431897
3	122823683	122848180	+	NC_041730.1	XP_028916385	GOT1	0.562341322207595
2	27031579	27037561	+	NC_041729.1	XP_028938286	SULT1A	0.889201123615372
3	141667051	141686980	+	NC_041730.1	XP_028916061	OAT	0.81096106991724
11	1372560	1377727	+	NC_041738.1	XP_028931872	PPIA	1.14815362554955
4	13650946	13668482	-	NC_041731.1	XP_028918956	PDIA4	1.23026877288655
16	1670442	1685572	+	NC_041743.1	XP_028937251	HGD	0.746448748061954
17	12039832	12110716	+	NC_041744.1	XP_028938580	CLTC	0.897428790301114
1	130607117	130619733	-	NC_041728.1	XP_028920451	NCL	0.997700070267205
3	49832350	49850921	+	NC_041730.1	XP_028916141	LOC100091585	0.833681178144546
14	4207256	4238355	+	NC_041741.1	XP_028935170	PYGL	0.893305488626389
X1	52033909	52109383	+	NC_041749.1	XP_028907605	ALDH1L1	0.851138041379218
13	35784586	35795957	-	NC_041740.1	XP_007655142	ATP5F1C	0.676082983462611
16	528957	539648	+	NC_041743.1	XP_028936574	HAO2	0.644169262295277
10	6488356	6499286	-	NC_041737.1	XP_028929294	UGT2A2	0.792501326455276
X5	40550424	40606913	+	NC_041753.1	XP_028910712	ACO1	0.831763769572305
9	52532288	52574931	-	NC_041736.1	XP_007670250	UGP2	0.706317556650758
5	17900175	17942685	+	NC_041732.1	XP_028921607	SLC27A2	0.895364765733494
1	86168807	86197147	-	NC_041728.1	XP_028914496	PDIA6	1.03514218368522
X1	55353223	55368763	-	NC_041749.1	XP_028907376	IDH2	0.824138115485924
2	38082633	38099014	+	NC_041729.1	XP_016081152	LOC100082250	1.49279439412054
5	63519597	63531381	+	NC_041732.1	XP_028920180	AGMAT	0.948418449671254
13	42119712	42124716	+	NC_041740.1	XP_028934167	LOC100084590	0.785235627550696
X5	6872944	6879785	-	NC_041753.1	XP_028912138	EIF4A1	0.77446179566975
3	80396777	80441925	+	NC_041730.1	XP_028916448	MAT1A	1.5240527353976
10	59012354	59021838	-	NC_041737.1	XP_028928773	LOC100091602	1.62554875513534
16	6043556	6060308	+	NC_041743.1	XP_003430908	PRDX6	0.760326280879434
18	2393022	2401983	+	NC_041745.1	XP_028902429	PRDX1	0.986279492707279
16	34552941	34575936	-	NC_041743.1	XP_028936545	AS3MT	1.45881426897526
X5	2042256	2053110	+	NC_041753.1	XP_028912173	SELENBP1	1.34896290501411
10	54826661	54830774	-	NC_041737.1	XP_028928967	TUBA1A	0.909913300809284
6	21283171	21289534	+	NC_041733.1	XP_028923263	HSD17B10	1.09900583905442
18	41893998	41933998	-	NC_041745.1	XP_028902334	PGM1	0.592925318175992
1	180964430	180994118	-	NC_041728.1	XP_028914266	LOC100093207	0.924698169012942
2	22287261	22332916	-	NC_041729.1	XP_028913705	UPB1	1.00000000016989
4	117171567	117215342	-	NC_041731.1	XP_028919079	CTH	0.616594997103572
14	35282092	35296855	+	NC_041741.1	XP_028935097	AMDHD1	0.755092214694983
7	50413704	50467878	+	NC_041734.1	XP_028924611	BDH1	0.762078999062891
3	119108430	119125432	-	NC_041730.1	XP_028915908	VDAC2	0.988553090840955
X5	59419151	59494922	-	NC_041753.1	XP_007665209	ALDH1A1	0.696626512060164
12	49504126	49523640	+	NC_041739.1	XP_028932697	LOC100086684	0.803526116963187
X5	4223760	4225437	+	NC_041753.1	XP_028911017	APOA2	0.726105951668616
X1	51323729	51397186	+	NC_041749.1	XP_028907163	UROC1	0.366437577005303
7	35987125	36023425	-	NC_041734.1	XP_001510659	LOC100079726	0.895364768114791
X1	74668344	74685306	+	NC_041749.1	XP_028907317	CHDH	0.43853070132592
17	5953494	5982923	+	NC_041744.1	XP_028937874	YWHAE	1.33045440872944
12	49385474	49435901	-	NC_041739.1	XP_028932937	LOC100086103	0.770903466219351
5	2112032	2121633	-	NC_041732.1	XP_028920148	LOC100082758	0.995405420675472
14	39061485	39105131	-	NC_041741.1	XP_028935060	PAH	0.622300301613704
6	44343482	44381025	-	NC_041733.1	XP_028923543	MSN	0.948418459430403
12	16750790	16777671	-	NC_041739.1	XP_028932975	ETFDH	0.905732587976716
11	49803547	49829433	-	NC_041738.1	XP_007669834	HSD17B2	2.624218479249
7	80093284	80104049	-	NC_041734.1	XP_028924999	HSPE1	1.26765186425845
12	38416516	38444740	-	NC_041739.1	XP_028932523	HADH	0.829850771711884
10	56907654	56917025	+	NC_041737.1	XP_028930001	KRT18	1.56675109147657
X1	90242048	90265449	-	NC_041749.1	XP_001506033	LOC100074417	0.935405676242714
2	4895462	4903191	+	NC_041729.1	XP_028938493	PEBP1	0.336511570748828
X2	27469903	27480638	+	NC_041750.1	XP_028908966	ALDH5A1	0.903649476200921
7	70706948	70712158	-	NC_041734.1	XP_028925804	LOC100681387	0.599791080139917
5	3018900	3025902	-	NC_041732.1	XP_028920638	ECH1	0.77090347679596
3	16201109	16211192	+	NC_041730.1	XP_001505899	EEF1G	0.990831945950282
3	76210248	76231373	-	NC_041730.1	XP_028916636	AMACR	0.620869035736713
19	7766657	7783746	-	NC_041746.1	XP_028902939	LOC114805660	1.01157947672982
5	5095976	5102484	+	NC_041732.1	XP_028922709	ETFB	0.731139081209974
7	57769283	57777752	-	NC_041734.1	XP_028925613	ATP5PB	0.950604802291042
19	5678255	5698658	-	NC_041746.1	XP_028903405	EPHX1	0.864967940006092
4	54059454	54091413	+	NC_041731.1	XP_028919687	DECR1	1.26765186903127
1	184720407	184736946	-	NC_041728.1	XP_028927063	LOC114813849	0.977237207791936
10	54149971	54164120	+	NC_041737.1	XP_028929796	SLC27A5	0.755092212911702
19	2987887	3011148	+	NC_041746.1	XP_001514157	KMO	1.48936110471628
1	133549354	133587083	-	NC_041728.1	XP_028924213	EHHADH	0.809095889952891
10	32168233	32178072	-	NC_041737.1	XP_028929626	FAHD2A	1.43548945223629
2	55989145	56074443	-	NC_041729.1	XP_028911575	ABAT	0.879022509316761
6	34665153	34667281	-	NC_041733.1	XP_028923843	SLC25A5	0.864967909445718
13	23467045	23485955	-	NC_041740.1	XP_028933727	DLD	0.630957355754167
8	69315017	69336340	+	NC_041735.1	XP_028927166	LOC103168141	0.568852926186315
19	13749512	13753613	+	NC_041746.1	XP_028903321	GNMT	1.15877736111069
X5	7121688	7124552	-	NC_041753.1	XP_028911258	EIF5A	0.847227412487134
X1	33258717	33300862	+	NC_041749.1	XP_028907000	ANXA6	0.818464796661239
4	112300625	112351073	-	NC_041731.1	XP_028918316	ACADM	0.59156163052966
2	93555852	93631711	-	NC_041729.1	XP_028908951	ENPP1	0.952796169966908
9	41161440	41187999	-	NC_041736.1	XP_028927878	HADHB	1.16949939899229
9	52647484	52659612	-	NC_041736.1	XP_001511259	MDH1	0.719448970650073
11	32884058	32903768	-	NC_041738.1	XP_028931836	LOC100079382	1.18576875485856
10	59199142	59205215	+	NC_041737.1	XP_028930011	SHMT2	0.954992580375877
16	2187287	2214042	+	NC_041743.1	XP_028937232	ATP1A1	0.758577589835657
X1	85462073	85464894	+	NC_041749.1	XP_003431282	GPX1	0.610942023394756
1	38409391	38432418	+	NC_041728.1	XP_028922913	DLST	1.03276141381661
6	22254654	22262070	-	NC_041733.1	XP_007663242	LOC100092373	0.466659385271098
21	1367190	1388052	-	NC_041748.1	XP_028905124	RPN2	1.13240036540303
12	19296699	19303398	+	NC_041739.1	XP_016083774	LOC100081457	1.01624870817551
3	124739958	124749022	-	NC_041730.1	XP_028916460	PGAM1	0.660693469482286
2	27147052	27153190	-	NC_041729.1	XP_028914412	TUFM	1.40928877603276
10	49814238	49831617	-	NC_041737.1	XP_007669255	LOC100080918	1.03992016713111
10	56875804	56885821	-	NC_041737.1	XP_001507306	LOC100078521	1.55955253123633
3	52113718	52152853	+	NC_041730.1	XP_028916524	TLN1	0.656145264134251
17	17297540	17303468	+	NC_041744.1	XP_028938756	SOD1	1.54525444016482
17	20768037	20775447	-	NC_041744.1	XP_001513754	ATP5PO	1.25314120043833
X2	6483304	6487004	+	NC_041750.1	XP_028909250	ABHD14B	0.672976662199966
11	45924122	45932743	-	NC_041738.1	XP_028931027	LOC100076685	0.855066721693521
18	1431335	1446837	-	NC_041745.1	XP_001520882	LOC100092213	0.492039526948657
4	60677715	60699482	-	NC_041731.1	XP_001506391	LOC100074817	0.839459975740859
5	48774294	48783101	+	NC_041732.1	XP_001508975	PPIB	0.981747970056154
3	14767774	14775405	-	NC_041730.1	XP_028916999	PRDX5	0.721107467495209
10	45788907	46171443	+	NC_041737.1	XP_028928678	SND1	1.16949939475165
18	2368969	2379750	-	NC_041745.1	XP_007664545	AKR1A1	0.575439942918993
5	1692473	1701599	+	NC_041732.1	XP_028921161	BLVRB	0.905732612732743
X2	827010	834045	+	NC_041750.1	XP_028908838	LOC100074860	1.06169557177848
21	24276885	24305901	+	NC_041748.1	XP_028904578	PRODH	0.968277857455964
2	6159047	6166875	-	NC_041729.1	XP_028914146	RPLP0	0.860993743095583
13	36834573	36860886	+	NC_041740.1	XP_028933583	GDI2	1.29717928289633
8	56046451	56058509	+	NC_041735.1	XP_003430726	HNRNPA2B1	0.946237173470585
3	87165990	87200684	+	NC_041730.1	XP_028916913	PPA1	0.864967911370505
11	54059179	54064270	-	NC_041738.1	XP_001516245	TTC36	0.787045796601033
8	12848262	12854166	+	NC_041735.1	XP_001510286	PCK1	1.32739447484553
X1	43634749	43683545	-	NC_041749.1	XP_028907492	VDAC1	0.849180469272105
4	51063180	51080255	+	NC_041731.1	XP_028919104	LOC100075583	0.470977335754172
X5	7513464	7518025	-	NC_041753.1	XP_028911247	PFN1	0.576766466976131
1	26504250	26519563	+	NC_041728.1	XP_028927380	BHMT2	0.559757604150485
18	27182745	27221820	-	NC_041745.1	XP_028902417	IMMT	0.944060898297489
14	44077660	44089766	-	NC_041741.1	XP_028934904	TST	0.801678054099612
X5	51247495	51332804	+	NC_041753.1	XP_028910492	GLDC	0.885115622325652
X2	5561836	5571195	-	NC_041750.1	XP_028908761	HNRNPH1	1.14815362438669
7	42953484	43009531	-	NC_041734.1	XP_028924563	HDLBP	0.979490004204883
6	22525514	22533043	+	NC_041733.1	XP_028923128	UBA1	0.972747231459179
17	37695679	37709645	-	NC_041744.1	XP_028938583	ECHDC2	0.751622911323455
20	30112681	30119709	-	NC_041747.1	XP_028904334	RPS3	1.13762729111149
X5	67175508	67188340	-	NC_041753.1	XP_028911537	HNRNPK	0.758577574203815
1	54572053	54581714	-	NC_041728.1	XP_028922767	LOC100087033	0.52601725941778
13	39133356	39138011	+	NC_041740.1	XP_028934192	LOC100092951	0.997700063717603
14	36763151	36770413	+	NC_041741.1	XP_028935034	SLC25A3	0.809095905275922
10	58879739	58891358	-	NC_041737.1	XP_028929666	GLS2	0.788860117985725
11	53773115	53785765	+	NC_041738.1	XP_028931291	HYOU1	0.816582377774873
X5	40995963	41004379	-	NC_041753.1	XP_001509068	LOC100076650	0.578096043436205
10	57043323	57052492	-	NC_041737.1	XP_028928791	CSAD	0.883079891698984
13	22017396	22026994	+	NC_041740.1	XP_028933522	VIM	1.07151933108384
5	70442229	70465230	-	NC_041732.1	XP_007664258	PARK7	0.603948624404253
8	57048857	57053122	+	NC_041735.1	XP_028926987	LOC100077443	1.51356125478921
4	103823947	103887329	+	NC_041731.1	XP_028919417	LOC100083241	0.183231440738518
4	118737879	118764363	+	NC_041731.1	XP_028919538	LOC100074628	0.920449592753105
9	61513291	61527827	+	NC_041736.1	XP_028928443	HAAO	0.772680580313707
X5	4084307	4104911	+	NC_041753.1	XP_028911340	LOC100093305	0.647142622110962
5	47409350	47452330	+	NC_041732.1	XP_028920700	PKM	0.916220501911728
14	43600267	43700316	-	NC_041741.1	XP_028935137	MYH9	1.09144034214724
X2	8443	22846	-	NC_041750.1	XP_028908922	EPHX2	0.963829022723157
12	19276910	19284916	+	NC_041739.1	XP_001512278	FGG	0.95499257093279
2	21895414	21918013	-	NC_041729.1	XP_028913945	SEC14L2	0.849180488714153
21	16470768	16488847	-	NC_041748.1	XP_028904939	HAGH	1.5631476243987
8	36123421	36130454	-	NC_041735.1	XP_007664325	RPSA	0.496592317273506
18	9303654	9349280	+	NC_041745.1	XP_007665425	LOC100081953	0.781627810410956
X4	16009	43197	+	NC_041752.1	XP_028910131	LOC100090391	1.02801631890964
2	1077653	1086858	+	NC_041729.1	XP_028905122	ECI1	1.14815361648505
6	17049896	17061193	+	NC_041733.1	XP_028923786	RPS4X	0.543250324237607
9	41237256	41285100	-	NC_041736.1	XP_003430635	RAB10	1.10153932994268
X1	89945924	89973389	-	NC_041749.1	XP_028907313	RPN1	0.924698163704986
3	5554399	5558882	-	NC_041730.1	XP_028916334	CFL1	0.647142618394343
X1	18392563	18423054	-	NC_041749.1	XP_028906842	YWHAQ	0.466659379753252
1	17265356	17270563	-	NC_041728.1	XP_001509034	LOC100077093	0.732824530497115
2	46097874	46124327	-	NC_041729.1	XP_001507390	LOC100077249	0.972747245671879
1	24787387	25016220	+	NC_041728.1	XP_028916519	IQGAP2	0.968277856068631
2	6799657	6812405	+	NC_041729.1	XP_028914403	ACADS	0.891250935066331
15	25476673	25493905	+	NC_041742.1	XP_007671048	ASMTL	0.625172690851034
2	167166699	167190629	+	NC_041729.1	XP_028938485	MGST1	0.803526123610377
20	17973327	17988481	-	NC_041747.1	XP_028904115	FDX1	0.948418463712202
2	20282834	20290772	+	NC_041729.1	XP_028914044	ERP29	0.990831958192417
12	37775642	37796349	+	NC_041739.1	XP_001518449	ETNPPL	1.82810025759707
18	2985779	2991543	-	NC_041745.1	XP_028902577	RPS8	0.993116060651597
3	132006126	132022095	+	NC_041730.1	XP_028916480	ECHS1	0.558470188727301
11	56046147	56051394	-	NC_041738.1	XP_001511669	LOC100080807	0.711213529295083
18	8284864	8292479	+	NC_041745.1	XP_028902460	GATD3A	1.37404196748161
X5	3651802	3652184	-	NC_041753.1	XP_028911498	LOC100087345	0.70307231265662
2	26146449	26150584	-	NC_041729.1	XP_028913530	HSD3B7	1.01859141133262
7	65459360	65464542	+	NC_041734.1	XP_007668731	HSD11B1	1.9364219363172
11	32583623	32617550	+	NC_041738.1	XP_028931237	GPI	0.805378450093161
4	90730118	91562677	+	NC_041731.1	XP_028918764	DPYD	0.883079884228346
14	35299144	35323079	-	NC_041741.1	XP_007668243	HAL	1.08143398535216
11	1453125	1455708	-	NC_041738.1	XP_028930278	LOC100091270	1.63681653511228
16	847187	858316	-	NC_041743.1	XP_028937247	FMO5	0.93540567839275
3	81279924	81375134	-	NC_041730.1	XP_028915910	NNT	0.440554864852439
16	4959508	4975130	+	NC_041743.1	XP_001514895	LOC100084402	1.75388053689532
X3	9215388	9226167	-	NC_041751.1	XP_001515235	CMBL	1.21059813746164
X5	552333	559048	-	NC_041753.1	XP_028911582	FDPS	1.04712854715599
11	42279863	42287173	+	NC_041738.1	XP_028931056	APRT	0.783429632134759
2	20612707	20615926	-	NC_041729.1	XP_028914291	RPL6	0.625172689847878
12	19308029	19317178	-	NC_041739.1	XP_007670002	FGB	1.0423174405252
3	124569350	124593981	-	NC_041730.1	XP_028916632	HOGA1	1.02801631021594
5	6610352	6618450	-	NC_041732.1	XP_028920120	RPL4	1.29419585382892
10	52013478	52017273	-	NC_041737.1	XP_028928893	ASPDH	0.85310012595693
20	7112058	7126020	+	NC_041747.1	XP_001513116	SLC25A15	0.924698173777335
X1	14453070	14507349	+	NC_041749.1	XP_028907380	LOC100085630	1.15345325430049
9	42516199	42581669	+	NC_041736.1	XP_028928238	RRBP1	0.948418477495201
7	1920957	1924037	+	NC_041734.1	XP_028924666	RPL7	1.11173174047495
5	62527030	62547023	+	NC_041732.1	XP_028922185	SDHB	0.990831962136767
9	60070282	60088903	+	NC_041736.1	XP_028927892	CALM2	0.693425806994323
2	1637041	1654446	+	NC_041729.1	XP_028938769	SDSL	0.988553104056751
5	13846317	13858166	+	NC_041732.1	XP_028920954	LOC100081055	0.476430998070835
3	126029704	126052189	-	NC_041730.1	XP_028914811	LOC100092254	0.439541609202214
17	18105249	18110306	+	NC_041744.1	XP_028937502	ATP5PF	1.19949931157664
16	42894174	42900916	-	NC_041743.1	XP_028936615	HMGCL	0.816582385266237
14	44695240	44697046	+	NC_041741.1	XP_001516616	LOC100086507	1.31522481336317
13	37544132	37547561	+	NC_041740.1	XP_001506614	GSTK1	1.12460496181127
18	19157719	19190411	+	NC_041745.1	XP_028902313	SUCLG1	0.743019123624599
1	54764114	54771976	+	NC_041728.1	XP_007655269	LOC100089477	0.981747939509763
4	66345642	66428579	-	NC_041731.1	XP_028918942	DPYS	0.977237221153069
12	46858496	46906515	+	NC_041739.1	XP_028932912	BDH2	1.40928881065114
3	2138381	2163799	+	NC_041730.1	XP_028916587	CTSD	0.755092230617341
14	8447064	8477394	+	NC_041741.1	XP_028934536	SEC23A	0.704693079059568
3	95140152	95166384	+	NC_041730.1	XP_028915800	OGDHL	0.895364772022907
5	104045990	104115703	-	NC_041732.1	XP_028922563	ANXA4	1.04472021256226
10	54220136	54224927	+	NC_041737.1	XP_028930133	RPS5	0.726105978149871
X3	19951569	19984571	-	NC_041751.1	XP_028909540	ECI2	0.822242652488277
X5	3692790	3693484	-	NC_041753.1	XP_001513112	LOC100093134	1.2331048498564
8	67090718	67098856	+	NC_041735.1	XP_028927159	NDUFA4	1.10917485156224
X5	23029386	23035454	+	NC_041753.1	XP_007670784	RACK1	1.04954242533962
4	8447100	8450113	-	NC_041731.1	XP_028919457	LOC107546954	1.01157945824755
X5	7240528	7246166	+	NC_041753.1	XP_028911196	ASGR1	1.06659611098566
5	59673666	59680317	+	NC_041732.1	XP_028921873	AKR7A2	1.7258378934077
13	32694662	32711588	+	NC_041740.1	XP_028933585	PHYH	0.899497579684515
X1	44546929	44574602	-	NC_041749.1	XP_028907566	SAR1B	0.755092240325191
5	67958835	67979518	-	NC_041732.1	XP_028921504	PGD	0.417830358658037
10	54644077	54653383	-	NC_041737.1	XP_028929593	ARF3	0.671428840050249
1	181792208	181802722	-	NC_041728.1	XP_028920172	TUBA4A	0.948418455004535
17	1395790	1404944	+	NC_041744.1	XP_028938482	LOC114817946	0.769130429739007
12	6857273	6900229	+	NC_041739.1	XP_028932213	HPGD	3.3265954855994
1	37676924	37681936	+	NC_041728.1	XP_001520078	LOC100091117	0.897428790827973
X1	90598761	90748251	-	NC_041749.1	XP_028906346	PRKAR2A	1.10917481153062
X1	107409992	107418665	-	NC_041749.1	XP_028907590	REEP6	0.974989630250076
2	133981314	133988511	-	NC_041729.1	XP_028938331	LOC100082227	0.545757856862884
18	4426141	4428959	+	NC_041745.1	XP_001509528	HYI	1.09144034793558
4	59236726	59247264	-	NC_041731.1	XP_028917802	LOC100073821	1.17219535974605
5	77667961	77685535	-	NC_041732.1	XP_028920716	DDOST	1.03276141897301
12	28733699	28764902	+	NC_041739.1	XP_028932822	LOC100081596	0.291742700366398
9	2208325	2276518	+	NC_041736.1	XP_028928170	KYNU	0.877000817098705
12	49625767	49635557	+	NC_041739.1	XP_028932866	LOC114815607	0.575439927041373
20	25259871	25271689	-	NC_041747.1	XP_001513115	C20H11orf54	1.30016959311667
14	44089783	44092231	+	NC_041741.1	XP_001517033	MPST	1.46554782426609
7	73489809	73520570	+	NC_041734.1	XP_028924856	NDUFS1	0.695024319065285
X5	58860910	58931130	+	NC_041753.1	XP_028910787	GDA	0.859013517823893
1	184228309	184237740	+	NC_041728.1	XP_028936677	DBI	0.334965433609598
2	134913208	134937766	+	NC_041729.1	XP_028914037	LOC114809133	1.09144033086706
X3	24346570	24386517	+	NC_041751.1	XP_028909690	HSDL2	0.523600436605036
16	24814669	24822268	+	NC_041743.1	XP_028936549	PRDX3	0.760326279867271
5	3864514	3866700	-	NC_041732.1	XP_028922515	APOE	0.583445112174437
X1	107241569	107255348	+	NC_041749.1	XP_028906859	NDUFS7	1.00461578394354
X2	9310382	9313142	+	NC_041750.1	XP_028908208	PRDX2	0.598411596945299
6	27207706	27218820	-	NC_041733.1	XP_028923765	PGRMC1	0.868960427187157
16	34284310	34288569	+	NC_041743.1	XP_028936900	ATP5MK	1.13240036650634
10	6586260	6604604	-	NC_041737.1	XP_028929298	SULT1E1	3.8282474327036
5	82401398	82460722	+	NC_041732.1	XP_028921255	LOC100075566	0.899497596810491
8	38968898	39038893	+	NC_041735.1	XP_001514073	ACAD11	0.787045795574052
5	48172462	48178504	+	NC_041732.1	XP_001509615	RPS17	0.8472274199269
4	32787505	32792967	+	NC_041731.1	XP_028918567	LOC100076403	0.885115608172952
